,MGH258,UKF243,UKF248,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
DCN,-0.017935576536981634,-0.13242776104883924,-0.002491318353505472,-0.025517269910082362,-0.0041447784720351636,-0.027576731139003136,0.08185829335359855,0.038546078961831834,0.05536375061757884,0.02739003631646888,-0.06283161557907047,-0.041463282002531826,0.16040572127402816,0.025873371011230436,0.04062050577225974,-0.041577460181315584,0.03289239229035216,0.04515253068990652,-0.0396444819691779,0.02737791613558911
RARRES2,-0.03131281027184295,-0.03856344708151896,-0.023765454500656775,-0.027314837263892073,0.06295717689413827,0.05642282626792713,0.13046763818300275,0.03626143335572173,0.028817591727367777,0.022331549097912767,-0.03608379983160653,-0.0499694714904567,0.020826639071461737,-0.001014825673903862,0.0012925574186605463,0.0017903069431568922,-0.0606244788861295,0.06426844561581796,-0.03142493302488374,0.03354537133125578
SEMA4A,0.037407851435665856,-0.0628485242579901,0.0023603967162844864,0.04381727305201365,0.039832603140967475,-0.11183541084101527,-0.0765434247816884,-0.02253127149085323,-0.009665675723690738,0.006671880439776842,0.018509269508310354,-0.0500964006101953,0.07696620613339794,0.07949489386681122,0.08956131995248706,0.1200425931288914,0.10125149239405597,0.009581585787847376,-0.0018759625494637385,-0.000763151402231099
GDF11,-0.016685394425181348,-0.043423716282345884,0.014178437125996073,-0.0026814309872339437,-0.018720699662536706,0.13168959051904155,0.07712001682836997,-0.0004846967124208539,0.019969749527622368,-0.016600820603657588,-0.012565289354395565,0.029113246168748295,-0.0019754550053546352,0.00992510623948021,0.029628900142134047,-0.04929325167376812,0.0346349660995699,-0.049964972682488035,-0.002559433531774989,0.06747729106889407
GPC3,-0.02360768180434043,-0.034046608591636614,-0.010513922915785382,-0.04310008345059813,-0.012580851526035566,0.1845254561445285,-0.024386995720665283,0.011539660421103073,0.03518776740396129,0.13368445131501208,,-0.03926438472343894,,-0.0412382989961999,-0.027022104900654844,0.06412452630279619,0.22401950259475834,-0.025741847995023406,0.01661266576188171,0.05899922391773955
OSTN,,,,-0.03881519768837682,-0.0223844345479658,,-0.01869906759464415,0.03480918504103621,0.04435310071846297,,,,,,,,,0.013652153320051602,,
GRN,-0.022294765839040102,-0.016059167079958258,-0.010523944144409278,-0.07690864852143824,-0.010110697476059522,0.07548337176366605,0.1073268554979229,-0.005493910565560177,-0.006240934718756864,0.031083020161258596,-0.04663735934316261,0.03173189000751199,0.060640998574307214,-0.1050161812159999,-0.06708044980360447,0.0600138752988855,-0.06940672576657697,-0.05697295593985873,-0.1023775899134358,-0.01658340227087756
CALM1,0.06562376656813651,-0.0720266603000207,0.047040798254291,0.013179483134696263,-0.04728252607177605,-0.17329841561474066,-0.09251165676371556,0.01121193565616594,0.007409751795984562,-0.0006072948842632846,0.046457914642508195,0.06925851102524949,-0.062276286856747694,-0.032550776236795795,-0.019639084342457706,0.046967165684691774,0.12510797775081664,-0.02948455923057317,0.06292423765356327,0.001873612735656335
ANGPTL4,0.006881192998277354,0.08428425634937474,-0.02240348288385437,0.047957086577319515,0.03104015588752963,0.04411537622150426,-0.0036637030458765685,0.03318247059110374,0.038459177825866914,0.022020069457854983,-0.025197813431215674,-0.0612282499564894,-0.047041823396494084,0.07016206438130895,0.09321837931155476,-0.027046839908595473,-0.18951594399729008,0.0597934280839582,-0.0036442922206495467,0.0033166334372953794
BMP8B,0.08858853426496069,0.08870263267575858,0.020275099349358297,0.035655144007618766,-0.0009637606338018461,0.1638126194940441,0.03259443954736727,-0.0393282471468269,-0.020887457975505345,0.023933913088826888,-0.01789475762367655,0.0031052874095733613,0.04857271707898681,-0.04671592266836306,0.016673825011740848,0.08855913697083367,0.02965471234533022,-0.013427802265894068,0.02755977604459357,-0.006028737796460285
TNFSF4,-0.029671232410383677,-0.05369940424233048,0.05873509951953339,0.014937195041084416,0.030704101137021367,0.06921560856116563,0.025445804913327,-0.014797317549723698,-0.00952113794245172,-0.02583063516394029,-0.021054905633695532,-0.04244021771428192,0.016492532295900534,-0.02076129081570021,-0.035054014920566874,0.05770331943500694,0.10737576273080367,-0.027092979633653837,0.008303475021419815,-0.006615264583663506
RBP4,,-0.03536248956961616,0.025582987971824928,-0.01456189862666088,0.062053601347036,-0.06360702428123809,-0.07136744292409335,-0.03786892048342205,-0.0027275944891339693,-0.01954198857583072,0.03105991570186956,0.027912364855030656,-0.08497995235671413,,0.06907815077597233,0.18562756459380347,0.2199690445841353,-0.022025781949410697,0.07569442918192636,0.11127300432475383
DKK3,-0.07244465611097012,-0.11288201692476132,0.001938992859754507,-0.03272938562635903,0.013072340663597748,-0.16832368348513257,-0.1064622753650141,0.010370594428766462,-0.07685825156347638,0.03176378833869349,-0.005471659025609817,-0.051572419810365415,-0.004164495211319766,0.036140453628856234,-0.08828539436954781,0.13165993538954837,0.13065795658317536,0.014799450253979905,-0.11093116209047542,0.055975229151617775
COL11A1,0.06932353055691837,,0.026923309248737457,-0.06613748047692157,0.024836985749906833,0.20685524845840528,0.02631629682509314,0.013174931604820417,0.12776030358140097,-0.02806983701578133,0.04493223890603211,0.1112829001550554,0.06728857098168513,,-0.021299845913664534,0.10053233008694329,0.06111585968960262,-0.003437627654245623,0.013659367436933648,-0.014815889049647256
