,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,,,,0.01588500349151625,,,,,,,
BMP1,-0.025747604473297738,0.06362497280909012,0.025659466304453,-0.009754607806440876,-0.030301833587563397,-0.03545726895238235,0.014950273323980958,0.3191585762208278,0.2045421922989955,-0.10394466619135788,0.08427983023176013,-0.13968642949781312,-0.013590214307848255,-0.07925840281793484,-0.09945793984767093,0.0817947452944911
NDP,0.0061950259083806405,0.05859317017104873,0.010216071774351401,-0.05422137408739378,-0.08132687558235792,-0.002077961998400072,0.06207871993813677,-0.010248131622511807,0.034847503970250424,0.04031261072486746,0.06872817607651269,-0.09901855973004134,-0.009533415588286822,0.004215219930154767,0.08713034621547543,-0.03719558669517224
TNFSF18,0.0993570665951049,-0.04110126687634384,0.08124898579647209,0.037032075362727145,,,,0.09550624027126714,0.0662809724770561,0.02701781648429129,,-0.005662807057904277,,,,
RTN4,0.029074035232029484,-0.09304625962361518,-0.10168119873418437,-0.06968913048948347,0.02102526693217752,0.00998120388510857,0.05758756952722308,-0.5371478261123063,-0.27271219125509366,0.1288085390249404,-0.08224120964275257,-0.19855638754800306,-0.0013881095583809452,-0.07517959835215124,-0.15534146068990912,-0.07870085353224578
HEBP1,0.08252107361944011,-0.021224631635323468,-0.028584577809913254,-0.10177183800929718,-0.013432920455909304,0.009923281787672739,0.04680732941255609,0.21449700889304746,0.08579853004659668,0.019382873340836815,0.007280275594537586,-0.05835933802831586,0.03727068193748591,0.07175592335095246,0.06105932751144023,-0.04226315627494901
WNT7B,-0.004943508302541794,-0.0403165958087612,0.011001580363224942,0.007565492702542707,-0.035035060986305495,0.024213419740523535,0.17233482779215528,-0.051629794137755855,-0.11422374087707066,-0.0002823360286141055,0.008172080942720273,-0.0710255273248893,-0.023639538931013223,0.03879119680242766,0.0449914799025264,0.04327474944101176
PTMA,0.07427210188587333,-0.018529285308672087,0.18961428458427163,0.04842174052635649,-0.016513694568628334,0.012157372452877506,-0.08143741013901838,0.7066497501287216,-0.1362355956871647,0.07210205623803778,0.08858579930839088,-0.06786356636380085,-0.1275895862143855,-0.021659983629503162,-0.015887279826812397,0.05358222380430574
FASLG,0.02815156436785998,,,,,,,,,,,,,,,
CEACAM1,-0.04461348866301146,,-0.010275048054373155,-0.017881024503870274,,0.09992225691352725,-0.014580710033154377,,0.0491631831870235,0.00047250345478793896,,,0.1083078013056743,-0.0445329488269512,0.0053591485949174384,0.025954642122156694
PDAP1,0.0018379157011347638,-0.007403901018719578,0.02681257933597595,-0.05889229486656716,0.09669013397761723,-0.0028568654497358116,-0.060315578720893596,0.19684807619817635,0.23846477430129875,0.03556463495382968,0.07816544827838277,0.07995465799110008,-0.015076380347418983,-0.09745311541731927,-0.09631177827296894,0.033818987883937356
QDPR,0.07862827651027367,-0.06366268903551207,0.038399480673931896,-0.15355002938927878,-0.07825737088251497,-0.01232690084935839,0.1806074973789151,-0.09596370439666894,-0.1948822196272514,0.0842652309637839,0.05737354763879039,-0.03828798831515689,-0.003686134348531356,0.11603476476721604,0.16346181645624192,-0.00893643209302894
POMC,-0.015240121162357434,-0.06872783030436679,-0.024696304825428325,-0.051583435080966016,,-0.03426000547154958,0.08783795209088714,-0.03215737940468,0.0056191814637529735,0.02600947049271341,0.0022203299159114214,-0.07812131958142247,0.03374550641579425,0.050893762254830555,0.06172816525536387,0.06124465684617327
CCL18,,-0.05512017840105694,-0.07610505441520221,,,,,,,,0.03506621889885473,,0.14024926254820158,-0.044411324712240595,-0.018234593973064185,0.022417659978503555
CCL17,,,,,,-0.028907098840266487,,,,-0.05332862851284716,,,,-0.0420292373532678,-0.07055202959449089,
VEGFD,,0.03516149284728044,-0.02357552198944613,0.06865213577875286,,0.05033939518076571,0.0460468289761861,,0.10008092963900117,-0.01753339259505302,0.009280027693221284,,-0.06145559955704076,,0.06903184574683437,
TNFSF13,,,0.04903896502370228,,,-0.019939469820040072,,0.04443719282422898,,,,,,-0.00014534572371159804,0.06296753056184126,-0.04353821034856733
WNT5A,-0.04368726176036393,-0.05137306191252617,-0.04831878447850038,0.15198093393486994,-0.02321650795828748,0.024541641132841404,0.2413426398655599,0.48775944003580496,0.17794216666445886,0.019368211958021457,0.046429322682834555,0.032105055881154455,0.03280696760001365,0.032765294775432774,-0.035208888568283685,-0.02731912228072105
CXCL8,,0.06177707717661932,-0.13316524633123394,-0.03893404628373351,0.023243205184066584,0.020993417964212363,-0.2647148815050759,0.00512289120054413,0.12730918406138664,-0.05632991252039637,-0.03726792802087314,,0.07602673941814303,-0.264453482966894,-0.26567270658396,-0.05028143630717411
GRN,-0.011323849154336346,0.01550699551729171,-0.00986305230282544,-0.13974929533522537,0.010128577144323974,0.03059467101627669,-0.03867802977500878,0.42254654631385996,0.18092515223622294,0.0282189378220321,0.018182267428657493,-0.09623974142844259,0.04571929412094299,-0.08051788206614142,-0.20358572258138766,0.11302313822172678
MIA,0.005254418955877518,0.015550855076183395,-0.0001340508923709706,-0.0007369824067383153,0.00957485279746184,-0.005275459223731297,-0.08429556804067062,0.10616750312822033,0.06909124689125593,-0.031461806207114515,0.008826072572028698,-0.13763371624627968,-0.05083798863234127,0.2507116594125946,0.3697823561582121,0.2186885654500421
COL4A4,-0.01770146062238073,0.032741095875163335,-0.05219980641837943,0.16795688877315926,-0.055220395365521494,-0.01653225338418023,0.1570308353332216,0.004090574347767374,-0.014543759177439256,-0.03289954743329794,,,,0.16675799013779316,0.028407292161466913,-0.050907975363312534
TAC1,-0.07864877300980647,-0.010950626533571048,0.04461822508453549,-0.027602573656246698,-0.02822546770374606,-0.0341969523301916,0.10283264969820151,-0.413670016304757,-0.1551322533246149,0.20082801402839326,,,,,,-0.03159455839853457
RARRES2,-0.013313789940934448,-0.026347415056136726,0.008785326052328044,0.08426138699908829,-0.05668980282798068,0.043646532060836504,-0.29179060650841937,0.310156910401228,0.21168152167326276,0.21110497214604315,-0.0720991175977932,0.12935084854458131,0.0980544589058577,-0.19811672725846932,-0.1340167965156544,0.006358237995174735
FGF7,0.059201688623774534,-0.007845209126575652,,-0.046931922457219194,-0.021107969889944872,0.05511744989215548,0.00607723881092951,0.061028719926040295,0.028080276787315832,0.021143206282376155,0.03876848858133534,-0.03965721024211706,0.030082126061519474,0.04536574732957175,0.033499145532266045,0.06057249756899723
EFNA2,,,,,,,,,,,,,,,-0.05360439194387713,
HBEGF,-0.023274782802159635,0.07437371443979299,-0.07058798966067936,-0.11901893410342235,-0.04882233346626519,-0.003410939090775394,-0.1304117470468077,0.35890003850115304,0.05428058513828061,-0.18168520481608746,0.045833519303704204,-0.10489135621077939,0.01867340970677536,-0.027039582134585363,0.02852871990604815,0.06768538311708136
CSF3,,0.04683840650564375,,,0.0920664833485201,0.051445144399415416,-0.18004503093050192,,0.013630405299529939,,-0.03596632115442099,,,-0.16814865234423254,-0.1836743351302065,0.050084732095092024
PI3,,-0.0319595438184332,-0.10750760196852734,,0.0771642511365305,0.0070226300406128735,-0.13052920817887467,,0.05047767613059132,,,,0.024257360119452506,-0.35572450389318233,-0.356431381885058,0.0982339581109463
PCSK1N,-0.039326112733739385,-0.032161682149579485,0.08084321959758038,0.01765512264308023,0.054098594920934766,-0.02918196815811811,0.099839143411167,-0.1817059864803368,-0.025621091918166895,-0.1202741220152082,0.05216536206028815,0.006223522613026066,0.015274621012175565,0.028650100899591954,-0.031281210458928094,-0.02215824215035135
NTS,,,,,,,-0.08129656326032542,-0.04500399283150074,0.0950116672932849,0.012131867854134969,,,,-0.04837723201861738,0.059526067834415365,0.02955103996609105
SFRP1,0.05902608992170985,0.02621418990415761,-0.014166614974774944,0.09597875141206813,,-0.025222561101293308,-0.012609162204160152,0.21672455469831117,0.021542592574039884,-0.02640900783305478,-0.012831902474915495,-0.038557973527292344,-0.005337644994633221,0.017137483095455156,0.10105591124025258,-0.058107800614005195
CXCL13,,,,0.1830501314369091,0.050595845175398224,,0.0695466749167943,,,,0.07988712028882704,,,-0.02719398310576582,-0.05700581073608064,0.07540480137067594
MICA,0.01731374049040271,-0.007931345151015593,0.002521176370183641,-0.006821834155152473,-0.040199344247385485,0.0645751599628275,-0.05970789384622164,0.039047050969236705,0.11297253847144068,-0.07611073733377285,-0.039668624066556066,-0.14837431599053663,-0.00648081321761946,0.009407720610503939,0.07472180034212489,0.012680126839909649
TG,0.05238419574841656,0.03921326244399979,-0.004383648669469736,-0.013133340317390028,,-0.0060014446044386865,0.06442091307353846,0.0034687181769507687,0.07400267150219805,0.04503717709197305,0.02635360026453136,0.03367655385964524,0.026580090361041565,0.07018706856210839,0.1382323040798441,-0.019342960168356474
ADA,0.030709170883140832,0.048765869254130484,-0.023765127573951675,-0.033869167609989356,0.09744671548709044,0.0099940638841776,0.05587841284589861,0.14006351962318914,0.18397697914820693,-0.012136361255739575,0.0897295165328264,-0.005984280755908848,0.052628643739768284,0.05606394695032627,0.08223373098090711,0.057779175070415176
LAMC3,-0.020762458722968086,0.029522339280827963,0.04000306639901838,-0.017824893070630208,-0.026488992399804095,0.024517224180388392,0.06722413401394779,0.23243535036274934,0.2384265323312952,-0.05117320316939784,0.12007857440420766,-0.1177475753370718,-0.05904251954123512,0.09264588772720408,0.08638485560098953,0.011609834064288069
CCL7,,,-0.0407247773915932,,,-0.019679394402712644,-0.04972076586442615,,,,,,,-0.06299213902720215,,
NGF,,-0.0005977003219777885,-0.02510321526897753,,,-0.018914669008625675,0.03536151661934258,-0.05790511477507861,,,0.08658439685093425,,,0.020479897389480625,0.028668983990874877,0.1859060903900183
TNFSF15,,-0.04455982062900911,,,,-0.02191396817427121,-0.0699994574072774,0.12755673946625024,,,-0.021324842377952277,-0.013972323466179076,,0.03130446524322353,,0.01184350014471143
HMGB1,0.0944958939765752,0.021013668563380734,0.1779904307853909,-0.07178693573181215,0.022835641262415607,0.004657581675487401,0.13302475569269612,0.2674490582196512,0.1639211443374869,0.09312265043319144,0.05758654271189852,0.054088088194171095,0.03148608907556442,-0.14760749205779503,-0.15709052881161414,-0.07555033136790525
ITGB3BP,-0.040980712029563736,0.0294178226205385,0.059838985977187516,0.10937511832022133,-0.003170121550953151,0.05289712437464169,-0.029440821617154743,0.4316667629284785,0.15485214967958796,-0.0048597504358550685,0.055149280118111314,0.1313273815720506,0.038789770998484005,-0.008862126891848246,-0.043683030428185714,0.055429617484523526
AANAT,,0.08991159823530225,-0.022042747517114717,,,0.009117564479284445,0.03247748796299517,,-0.01583198243150743,-0.024687359457948747,,,0.05645743453364773,0.013259965559183354,0.05460772812899582,
RELN,0.06509780769872124,-0.04218805724636062,0.026272801774289246,0.28911152917751193,-0.019033585488330427,0.0450269979918861,0.03936014130840033,-0.12763334955461697,-0.08691541163498091,0.06268659066620236,,,,,,-0.02075812279352295
IL15,-0.02975272337162075,-0.053950306340446806,-0.0027174390520132824,-0.0365551215903411,,0.04979478185143189,-0.026421769975735393,-0.03129470031507081,-0.015984777410665688,0.05678324349618326,0.045017302283433494,0.016211157408940958,0.07144448422493936,0.03699150110013182,0.026293834738440432,0.11440220195744215
