,UKF243,UKF255,UKF260,UKF266,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
DCN,-0.03511376393431754,0.00020444730667932217,0.03070358352626794,-0.040407543060500484,0.0333966847262804,-0.026073563548754827,0.05175840002313507,0.046637074950761984,-0.011617293605853271,0.025639841256398066
RARRES2,-0.016201500350943986,-0.06699668983537181,-0.09333423159149572,0.042340129867260774,-0.02889213117938399,-0.03856517918366948,-0.025061174930252873,-0.019008299647881817,-0.04164899414037335,0.03987550201899196
SEMA4A,-0.00029200301291929567,0.06098578898335509,0.05500272189785143,-0.06646283605777945,-0.020859667389308754,-0.062383608663074096,0.07801212578689709,0.03119056788028414,0.017835936928129622,0.041953676215973096
GDF11,-0.015152603005125553,0.12709761501626235,0.09258899982845195,0.1016733251588427,0.007441101999731969,0.032064875829554175,0.03423187582747529,0.057171043112616726,-0.012067449062668165,-0.018622267024324405
GPC3,-0.01825161942828202,0.14620092386685749,0.07168433718462981,0.1539161713518747,-0.016624616730914102,0.05936084507910394,0.013068417839523203,0.10402449437883816,0.021387603665803286,-0.04796688167091251
OSTN,,-0.026982091312428087,0.007854957885404924,,-0.025690591399830275,,,,,-0.02750269831627344
GRN,0.06150131928551904,-0.04506311777711657,0.01773313491319322,0.017799986393194925,-0.05132855126639603,-0.010574214618931136,0.018959578673301166,-0.019040274740507745,-0.03667839208685889,0.06897888688739416
CALM1,-0.09885838143050311,-0.017292742537693265,-0.011172690407703459,-0.14831379765362018,-0.014562752923541165,-0.0038125847576420627,0.011287965162037355,-0.03248696874937932,0.04135509075839102,-0.051933680400369754
ANGPTL4,0.1157200178993095,-0.11095223538766673,-0.05767965230838085,-0.020910065921485275,-0.0018383578677793418,-0.13027347262843664,-0.055437011322807386,-0.09237059653323196,-0.02828545171123354,0.04933424344736533
BMP8B,0.08168544948999777,0.007633372060715976,0.007525493324775147,0.14693170236254108,-0.027977692427085917,0.016145056842997045,0.03691780600481243,-0.022658503101044006,0.03756577532731534,0.12077384138958383
TNFSF4,-0.04353955243704386,0.07776598410668895,-0.042526955866192984,0.034540882616474394,0.007370461831779747,0.04174322387523421,0.06969700631604432,0.02439309147885583,-0.03706388544604344,0.08941197380606682
RBP4,-0.0036193466878592455,0.04137329587869695,-0.058285819713571774,-0.06108411438702172,-0.026695546010823485,,0.0692016594530553,0.06393952391564231,-0.008403262900927504,0.012435584626540035
DKK3,-0.06731504383385876,0.07439857155217933,-0.03469011790660048,-0.1448646392821617,-0.017208353209499448,0.023522598261945436,0.08817500292394197,0.10165968106391349,-0.07102716751116318,-0.03571915884434853
COL11A1,,0.09242247380019586,0.04140643436782517,0.17319047941977214,0.0297604948557365,,0.0037884261790381932,0.008774771110310338,-0.044305796738752304,0.05611852222514367
COL5A1,0.10089533968272374,-0.00865566944039559,-0.02068055992034137,0.11043165925459163,0.043657570299644614,-0.0745974567458187,-0.05335526338515267,-0.08476266175473036,-0.014252129450679227,0.04722471922149347
KISS1,,,,,,,-0.027102111557486045,0.050249566451267,-0.019964930959297213,
MEGF10,-0.10564281701845599,0.13259207583047697,0.041296855070839904,0.11056171611066738,-0.008741297065625526,-0.004790985042126689,0.05027925545238195,0.027301559268638594,0.0020259745024139163,0.028120517622998123
CEACAM1,,,0.09229644574227114,,-0.020657049235148214,-0.04017286432008799,0.013850216472976807,0.06966314941614186,-0.01603498306079712,
EFEMP2,0.04505909240445846,-0.0011139884561071473,0.07557564991280315,0.06480343077895623,0.07585187842507884,0.010570452347294207,-0.006987307494963455,-0.05899441290202873,-0.02808837760124687,0.08203310984986908
IGF1,-0.05249695790321819,0.04586016085107827,0.00893400676126453,-0.027541798655670708,-0.02956881113871716,-0.024645688430734995,0.10833638902318139,0.13932857122013376,-0.017700581270217487,-0.03001207150030599
COL6A3,-0.012089158074237046,-0.06128895544218861,0.04711199562804468,0.052320635560621,0.10654471583840176,-0.03383298181355241,-0.029320870365714402,-0.02660599110639058,-0.043158196516970504,0.07135314504990928
RLN2,,-0.026982093673186693,-0.01428888363665574,-0.007626292944618241,-0.014841427803918932,,-0.017697216703299143,,0.027828665209251167,0.06846632701078623
WIF1,-0.053893810803363085,-0.00388290788341273,0.021007637646812627,-0.09322545762186964,-0.012828818349299593,,,,-0.018559338651121485,-0.037756426318644544
PLAU,0.155478263157822,0.007849093866287645,-0.027446655265589554,0.13437081715696986,0.06551112003776158,-0.08529398705714304,-0.009043175166245017,-0.0023319989873404725,-0.024001062961753063,0.012627693739347523
CXCL12,0.05922986556501228,-0.01058064989146896,0.028872411571017866,0.051421397858575864,0.013897391888200446,0.13201025499877872,0.0187507156828181,-0.015450111213855306,-0.007414435813505516,0.02595649539516281
