,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.01999596539975195,
BMP1,-0.030588264757369428,0.04715112959367984,0.005835541631676845,0.049668938259977105,0.0853701254301873,0.034504183132027466,0.0065215910758545615,0.004517801089609035,-0.056050873922037545,0.07626372447606043,0.03675849342219076,0.009572204381319786,0.028131383599658777
NDP,-0.05150721743819905,0.05179410019404706,-0.042851842721680876,0.014987144906891202,0.039604823521431076,-0.015860899426698327,-0.03954954169411062,-0.04970090843471487,-0.04235346776670285,0.030211304868908533,0.0004560822752003527,-0.04290175461377203,0.05110048512740272
TNFSF18,-0.01196780317864329,0.05520183724256938,-0.043726951033463156,-0.015420608718785277,,,,,,0.08972236753138237,,0.01856164023662484,-0.028861133296038254
RTN4,-0.02440256655041187,-0.00033923762072906466,-0.07331243464647141,-0.027739874899722017,0.05269374206419306,-0.0421258622491415,-0.013550405481368905,-0.049069694753589584,-0.03812225058421798,0.13289229199013547,-0.04687825019268853,0.050337719528538716,0.021925765628731754
HEBP1,-0.06970091879527164,-0.014569169747026578,0.02393908448761409,-0.015049198787938266,-0.003075576162837844,-0.05163507747973914,0.002648204425644623,-0.030333270815967994,-0.05829034293246783,0.06470402598556231,0.004199619104395014,-0.018064841492733113,0.029090023042395118
WNT7B,0.030912118673541437,0.02218054480233805,-0.04638192184809541,-0.028049530436708867,0.01317014473869964,-0.03141737098907679,-0.013400612838901607,-0.017435780514934995,-0.05143445833402381,,-0.03517601606244392,-0.003507447310829707,-0.016723844622261813
PTMA,0.01986114636512254,-0.07828954188579614,-0.036006241236254774,0.0002085123260766366,0.09589503878764997,0.013400977188585685,0.052260984760875095,0.05680123519275347,0.011062063169409908,-0.15023299126306353,-0.13532501052656007,0.02557852787433073,-0.06304029717985313
FASLG,0.012103562869809945,,,,,,,,,,,0.006371808048224692,
CEACAM1,0.08732472300955219,,-0.02783100596522631,-0.005543558510279619,,0.017557552231405236,-0.01971874559837747,,,-0.03464684028570324,-0.011228894872472518,-0.02412953320980839,
PDAP1,0.046024052761112134,0.003847923306376862,0.00401940407332057,0.061636401495465086,0.030576175039923877,-0.002293380102005238,0.02558263300539319,-0.07481483682487451,0.03864918010910286,0.03713958747209301,-0.012359490161791569,-0.026993735265195305,0.03899682625015334
QDPR,-0.057902766784964116,0.04636187817894705,0.005508463492333048,-0.011048571812991943,0.046746372601739285,0.0196503443438032,-0.0482099751074228,-0.07848013397040841,0.0281293182603407,0.018813198039347667,-0.11541905932151184,-0.003308579744600269,0.013492442899227025
POMC,-0.01054849714692991,0.012128755160953276,-0.031495118767426014,0.05763281406826037,,-0.04237990097409964,0.046506383248135955,0.05302724817363967,0.08118530989438026,-0.07617734388823182,0.11956876190104775,-0.002125891311701855,-0.001549698605230182
CCL18,,0.013072865676267531,-0.024225842217890526,,,,,,-0.013873609405412308,,-0.0316498791689606,,
CCL17,,,,,,-0.02637762515449752,,-0.02547029340846256,,,,-0.015719022881022254,
VEGFD,,-0.02414100394131022,0.02652425411185594,0.0005490561191233281,,-0.029387587295882756,0.0706808497678746,0.009534852441537832,0.06898538329663464,-0.081343549012267,,,
TNFSF13,,,-0.026208732353870196,,,-0.018194695482889368,,,,,,0.03871504817868686,0.0016152496903757637
WNT5A,0.0747409715790764,0.11961169724916253,-0.005323680176273283,0.029508661135046875,0.07503584385435691,0.02631823173431356,0.005720874859296714,0.039179202344983816,0.05156011066889619,-0.014433003494280817,-0.01920328462377678,0.008521804178050022,-0.04467201116116495
CXCL8,,-0.05487908536061285,0.05281165888062539,-0.006011558425163161,-0.07666756549296773,-0.009375877879839883,-0.00923075013944331,-0.010495122713086672,0.14527168348455116,0.0031558724112749894,-0.014452660840107164,0.021760281612123285,-0.02745451918792704
GRN,-0.005440493054050236,0.007054727062467927,-0.0067116669174451206,0.03256671612009911,0.1098955824461274,0.05197792751665968,0.006524337605696925,-0.007355952424483936,-0.02118076381022414,0.12706579812690957,0.1416551603189032,-0.02251797168590872,-0.027760096301457652
MIA,0.024276466913709334,0.02120564615966597,0.025560650149489807,-0.02741995393450858,-0.02707400329828383,-0.03929254228723084,0.023701459304848543,-0.01811179320978197,0.06753118461698228,0.10481415702633264,0.11686552545010334,-0.005433730559334659,0.06022738678286333
COL4A4,-0.012701909561204648,-0.0017427037366123104,0.043880495114186895,-0.009220579598224773,-0.06300980456224091,0.009550264758149792,0.07077687240661198,0.10449611793775293,,-0.06710021909657377,0.01882636324102279,-0.04616182871836,-0.0068832547606837305
TAC1,0.029279887971864225,0.013981994072320546,-0.05327006168261038,-0.0057980527013015825,0.12827277482230817,-0.022582159814901016,0.009081192089714505,0.042826422420813984,,,,-0.02066425395462614,0.10015016912639092
RARRES2,0.0069413637280394125,-0.01785970570519873,0.04939504444236564,-0.023904310086850913,-0.014164823415543034,0.0010398007530732917,0.008318959589212235,0.023674155954018884,0.1239918760677761,-0.08204664877074526,0.08998920354226812,-0.0184724391068564,-0.01852700428567994
FGF7,-0.04172517016192036,0.0051485462235465315,,-0.025199352523278536,0.08682222342809086,-0.026992967554085968,-0.051224985924950284,0.022461589560929755,0.0805359775294748,-0.04107388449360659,0.02586411121210404,-0.023453823012120782,-0.011179969490903219
HBEGF,-0.02387059356132204,0.12576647530674773,-0.03128420591051332,0.014260729090709742,0.0650433513688262,0.03267274613890232,-0.04547114527960213,0.10862517098423347,0.023030093425942214,-0.09902259463789728,0.049783090785057514,-0.007696103008461319,-0.09163347999033007
CSF3,,0.045591178590292866,,,-0.044104468029115974,-0.031439829238905655,-0.044511412198413466,,0.12467086198642577,,,-0.01654970614822365,0.020298394939717086
PI3,,-0.006800662659679988,0.01176297635725952,,-0.08337214728463595,0.06162627949469067,-0.03994146414734537,,,,,-0.035957013359223945,-0.03126393386234528
PCSK1N,-0.0074659746474501675,-0.006324133165691724,0.05673206507063908,-0.015084180542333816,0.041764325488387787,0.03903679853555651,0.03200973016413053,-0.047057356389611574,0.07197279695218253,-0.013487784450352616,0.02396716782926625,-0.018473389886581492,0.09139000425489592
NTS,,,,,,,0.0377560292488168,0.017310789291071736,,,,0.07867125061585603,
SFRP1,-0.037008938644588256,0.07363673060347097,-0.0007030614373578122,-0.016838092330463714,,-0.02301549753721988,-0.013289659778373463,-0.034412629904601325,0.036123141500462516,-0.0026458797612843024,0.06033138663584123,-0.02393835753518648,0.02509605335656238
CXCL13,,,,0.004998757980379873,0.10905526376461933,,0.023047375996105415,,0.08874168322571964,,,,0.037130709666790454
MICA,-0.03809749876470671,0.107107009160094,0.01792223605748226,-0.019996430212000402,-0.007313695691854611,-0.03519854335222931,0.009054693313214285,0.019076971060572247,0.026039762147487815,0.04041059323812271,0.07714521587238965,-0.011603028407407038,0.03607714974227598
TG,-0.01259729333131048,-0.01561100450167123,0.003980734065027744,0.03806642269567873,,-0.024837368285602585,0.06420992843230533,-0.012864495569274225,0.048065159465631356,0.009880960049153632,0.01731514204932475,-0.018710698987793702,-0.016823514722206518
ADA,0.018596335947329443,-0.030046082440440287,-0.0005435335104126081,-0.015465412267681248,0.08353288671751023,0.02744653694438906,0.03686315104884988,-0.0036224975798115,0.07238587648829968,0.03673517584057173,0.021621064892853512,-0.026489750598656187,-0.06448353413370239
LAMC3,-0.0051307371582728556,-0.01898020190155761,0.015125702434265906,0.03634313814966175,-0.0031658008330191054,-0.007815679617188232,0.056174062140728884,0.03352221295309334,-0.00012257018584197417,0.02364523102848884,0.037174371545064804,0.05239277623589176,0.0314440690858892
CCL7,,,-0.006436629819224036,,,-0.01795737758709948,-0.03713091220227469,,,,,-0.01734248780269884,-0.06250298262513229
