,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.04356732578375414,,,,,,,,,,,,0.04872167951423875,
BMP1,7.757935963907427e-05,-0.09093537333967545,0.013756276999070133,0.03291448575899216,0.03213396552684535,-0.0460599860703113,0.03065294062768203,0.18821907710632294,0.2324157160113471,0.050611077170459574,-0.02788736096750546,0.10639791283898797,0.09201171194684055,0.04633441477944844,-0.014097170437654773,0.009658146968143811,0.08044617094179929,0.024619658790734605,-0.07714691505148225,0.00477170160090362,-0.08014514893165738,0.17587475423224186
NDP,0.013721763370807258,0.0661980193715109,0.022579591617383925,-0.033221577725212885,0.04869184791438228,0.07366308533903532,0.04747032741603383,0.021641311095675412,0.04148517584335333,0.041672276625894435,0.03344616981590982,0.045751337987766774,0.059827559229011715,0.03589282312847209,0.07123005469296534,0.1288719513205471,0.2459722041854099,0.057047268407053195,0.07488606081851377,-0.0395014802132792,0.20329173178659432,-0.0032715593412337178
TNFSF18,-0.048262303397949194,0.07664192873656302,0.08300132088126268,0.0012709337319328927,,,,0.04424348832409392,0.021741065113952882,-0.025282124591116208,,,,-0.0017514888537150449,,0.002723678993862335,,,,,0.023508534624446423,0.07601822714582152
IL36G,,,,,,,,,,,,,0.0752465811764279,,,,,,,,,
RTN4,-0.09989143140155549,-0.18836345692206488,-0.06500486325770626,-0.02919962740457933,0.005472905519568966,-0.015535236044597084,-0.0058606899284087445,-0.2889244430099182,-0.3016279495841089,0.03002496589331531,-0.0399985999238603,-0.061711069106134775,-0.1273443087370237,-0.02600244157154543,-0.028672644064862616,-0.01970300216527137,-0.21176290691379798,-0.003874729167124792,0.015139764547698085,0.09898393965988546,0.0041302794343408104,-0.1814037917370587
HEBP1,0.004732098183716067,0.061354274712786885,0.022458269759132694,0.03962118630980424,0.10239769567537152,0.013711635465938827,0.01947993756906274,0.12972017161897978,0.11716250828599237,-0.018639233573298754,0.031993057807279006,0.012352383744039658,0.05442523581665484,-0.05089469925430343,0.054730509366162174,-0.024942268923314612,0.020465181339569153,0.09691345585412987,0.017662558084019016,0.035644854079087955,0.1534971821829916,0.00140136349942762
WNT7B,-0.04251757767621586,-0.13753827429703688,0.012146748907716696,-0.009061436853810265,0.042201054591584054,0.038714181525165495,-0.007091372630471887,-0.021548915317768293,-0.07395877709309331,0.003515118576536336,0.0018683579486621776,0.03497239511190346,-0.03764563878876736,0.005179357585526731,-0.06081515320328932,,0.04315426303019476,0.011648467989569445,0.015416223699254624,-0.00591266537634334,0.05964639699422695,0.011536580724344592
PTMA,-0.06263109563851574,0.07264949283604046,0.08144451024769955,0.13159249920411567,0.015239199146285484,0.007899194700677596,0.014648138615205107,0.38125770238883055,-0.14915432978774093,-0.026578696002428456,0.014971445374359208,0.16176807207458138,0.14328734074867136,-0.018352301968304365,0.029620702941119372,-0.036107640165090646,-0.22679403081042873,-0.039741904976285956,0.015241381634558569,0.07080366409646131,-0.1591259419433912,0.04571047029153865
FASLG,-0.017969414566405748,,,,,,,,,,,,,,,,,,,,-0.057321642792078284,
CEACAM1,0.02492989007254479,,-0.012718224288130235,0.011802916612735363,,0.005672728553548964,0.0038016228159835166,,0.07733909667383733,-0.02870337966872148,,,,,-0.0205179549417049,-0.028580085930656043,-0.021430966061272785,0.0860182639834344,0.023637402844867022,0.024826028508120074,0.07978523658754721,
PDAP1,0.03846546373555901,0.05411308734212594,0.032441279490632594,0.057306518083788234,0.03711031237308444,-0.03756371419353405,0.08181854921857229,0.16239626953959063,0.27366486426764436,0.03037132770323096,-0.06741848121937406,0.13962501589193563,0.10613640543798297,0.009527678092582264,-0.014214445066049866,0.06891712814694478,0.07844962653147035,-0.027754638069219597,-0.08946873469774251,0.08985585716814254,0.11297402185633437,-0.035372326040417595
QDPR,-0.16480817692683405,-0.04733877413248647,0.03776835811303742,0.036227751996923324,0.020089911290965545,0.054705426669226224,0.018681230958797004,-0.07349459801905613,-0.2712589529733991,0.029576378513744166,-0.05269168901885668,0.09416178906136066,-0.019944100343117745,-0.0459600091410077,0.020488850457946833,0.003232589478760662,-0.3101273697932765,0.07948600973906732,0.060813705542605394,-0.0984529526825805,0.12718689658978943,-0.16935038856759826
POMC,0.02856470231683193,-0.06349161137453577,0.0074505287111819975,0.05603362941802799,,-0.011308969967898338,-0.04924095305737276,0.014867087741140811,-0.033269169637287405,-0.014403081241745408,0.013226121036015776,-0.01277749969263727,-0.008287313918682666,0.06936784195351181,0.048902730380085885,-0.013128314424027916,-0.006532122327261694,0.08602548870088537,0.026331644342656148,-0.003524135067847511,0.07434238445766445,0.05879244989804081
CCL18,,-0.03687454576877385,-0.0764843200984386,,,,,,,,,0.15528640276637992,,,-0.03926710594337012,,-0.08418372676060225,0.01848311204339114,-0.03756340049695331,0.06705212681613675,,
CCL17,,,,,,-0.05409131683371894,,,,-0.01095998419695949,0.05296674410495412,,0.007796478261395392,,,,,-0.09489620316339623,-0.05996643024505614,,-0.005999086545461756,
VEGFD,,0.08161117108242347,0.0673399506346925,0.05175688944889458,,-0.01610080107037146,0.05993281442110788,,0.10118088295040936,-0.0025792016134165686,0.01971601591352594,-0.0030419540465733727,0.025010622082695385,,0.1617361518775106,-0.03747843200966393,,,0.03546329538805997,,,
TNFSF13,,,-0.03235586821506122,,,-0.011325839068640256,,0.053014501439589995,,,,,,,,,,0.03441453033844648,0.12736670374759337,-0.02186592176543296,0.006254440012051121,0.09943549175169898
WNT5A,0.07163785021029409,0.055131667909521814,-0.02867146224899897,-0.02403612751456783,-0.027202809524376485,-0.0012914281333059965,0.036014180742511843,0.3195048243415191,0.20362283649639926,0.0431946969877229,0.046150371755040304,0.014239749763021368,0.05712979476742446,0.09140054229775779,0.05341006408509571,0.0868962311701731,0.1403780943692735,0.03485566812812928,0.05758460049059772,0.06564732398252034,0.0012885990030985456,0.1374567770630167
CXCL8,,0.09558775639189708,-0.07080424470641371,0.026995227806652353,0.009987373106081976,0.021707584849388617,-0.0019443385219787036,0.05404879252833319,0.14340397457453327,0.016191897790676736,-0.012832667275460664,-0.0078446336358348,0.06210233450703595,,-0.0613975907682176,-0.046184855376211184,0.13310540092124004,-0.1806424947344495,-0.23382871611644107,-0.035226431733125355,0.01713884266309954,0.004359984109210102
GRN,-0.17579686876010342,0.02381143018230829,0.04091078663999874,-0.06287565641437312,-0.03934106471450353,-0.048718077649066376,-0.039154108742487405,0.1472864896345912,0.16905826385730638,-0.0037533942505190918,-0.02838203281911378,0.019985104972090103,0.021483823060222267,-0.04197595641960102,0.11592147443112324,-0.05672062931043515,-0.021743067588803233,0.0287660004489991,-0.03148445931213335,-0.05223264836788719,-0.22769775352530716,0.04209955945450383
MIA,0.012817427671584069,0.015595357172316119,0.022067270211591706,0.041894112119857704,-0.02058356067151496,-0.022144286213961282,-0.006564669493667895,0.11334083468269374,0.17741470024932723,0.021107744679311258,-0.020213288804782924,-0.009134035170103687,-0.007721833237293794,0.0032133802082872807,-0.024283100708859622,-0.13314853160640047,0.031157347340549892,0.3311721649653105,0.23793406965557626,-0.051717937133942016,0.19131622060648454,0.22373392202677983
COL4A4,0.04105975787677989,0.051810253771494584,-0.0217324326867762,-0.03848941547445694,0.02970010988820791,0.033295196800188935,0.08925957973762529,0.009741989260129631,-0.024722941875143525,0.036037744490382204,-0.018184844655041308,,0.0470730482127551,,,0.05447662736068909,-0.0017330135183933905,0.12342489314543778,0.060071434577245876,0.03047375506922997,-0.018256976829568214,0.041467294182467786
TAC1,0.13678720159443433,-0.16256309844653882,-0.0060134428142071565,-0.05054305895015655,-0.009575709501739539,0.06376954973244947,-0.02022617891995116,-0.19699841537800644,-0.1614535690129207,0.04276086533040016,-0.002257849931987355,,-0.12434819948939758,,,,,,,-0.07174078678529315,0.02731578606912737,-0.11232294764840133
RARRES2,0.21488181809784088,-0.09878059722844648,0.06237069261944433,0.011721455363644322,0.003471756751326637,0.033003210971733296,0.028755986231199432,0.1449571343462975,0.29958228122007824,0.019727417796796255,0.021241880554487155,-0.027317879224124753,0.12982561738119677,0.025710175455786716,0.010336500377755652,0.008915965234025453,0.15878602037783793,-0.04924709398834191,-0.07718809248699075,0.056064796555285,0.09131561918545232,-0.0449225649093831
FGF7,-0.042386833432110485,-0.007113203641854414,,0.020787620233468692,0.019965455593756915,0.02797773374413214,-0.02840068278499434,0.11084353021209749,0.11089886596414772,-0.015368546700289743,-0.018479753352903357,0.03313240255013636,0.08643020972889612,0.023526519301879392,0.00039580052625474554,0.09457652910704939,0.1846257669374859,0.07342515767842142,0.05391788853800188,0.07965768609089291,0.21553903282042133,0.08977337060391287
EFNA2,,,,,,,,,,,,,,,,,,,0.0008152721902031094,,,
HBEGF,0.010696729453676055,0.005589757835755525,0.028259022541375196,0.072856197765781,-0.029685696964594315,0.04443715715871234,-0.027403460882771378,0.1637621152991813,0.13773946100945733,0.001646382254705932,0.007475540596240954,0.06437691045633213,0.04182324462528572,-0.03661677507548919,-0.01573361464371666,-0.08024534990733424,0.1583709748877479,-0.029571540102975784,0.06622858403472562,-0.012123036578863346,-0.05197193685507785,0.22567299495279491
CSF3,,0.14935990415146083,,,0.012693605322838879,-0.008443184881367591,0.045132241061483,,-0.045421616636959594,,,-0.013523537564781406,,,,,,-0.1544332774274616,-0.11535835180023955,-0.05476734878046112,0.011124919443495158,-0.01671477733831909
PI3,,0.018959799456227912,-0.05875995251158695,,-0.014508789813919839,0.020809667873955433,0.01815139713058613,,0.09759949494271379,,,,,,-0.06285637127376986,,,-0.24706443545257875,-0.28601963768190186,0.027358738718882794,-0.030498083228931,-0.035193001196893975
PCSK1N,0.19260238977935343,-0.18209997128532704,0.07405160067777877,-0.0051552281910417835,-0.0013764677707027836,-0.023787623312003178,-0.03667648546683709,-0.1142974958582949,-0.0811358778449337,-0.05812455945520072,-0.06021353337782563,0.06920315266697989,-0.14501317126001476,0.03691302446560835,-0.010884672634717317,0.06795256694530226,0.13245693540960674,0.0545352739651648,0.07885919583743545,0.12672737675287327,0.167438489566573,-0.13466964506967288
NTS,,,,,,,0.004736531411224106,0.0021697334554028587,-0.010590884421516752,0.0022197026095458713,0.04599848910538614,,,,,,,0.03313152787148925,0.022017713832594904,0.048008471125211664,0.19156820583438963,
SFRP1,-0.061864133334936414,-0.056774886573116176,-0.03411354382529027,0.0319030222494446,,-0.016845085681679955,-0.036617348500325345,0.13002696220522408,0.009227985940937494,0.07493954839959949,0.013658413266649998,0.070777472617354,-0.00602905236692425,0.09965730432663256,-0.009233363088043785,-0.030857471274640957,0.0019361118924132177,0.1283347322580224,0.0859357773547782,0.061016269120156334,-0.03515715992525005,0.12465952253563883
CXCL13,,,,-0.06578191823599422,0.03023679596043181,,-0.027985528024177538,,,,,0.07004063456038538,,,,,,-0.006626695177538966,-0.08616248665592222,0.007764851330756299,,0.02544722155177836
MICA,0.016995803215688526,0.04834286889421414,0.035498272580498334,0.041322674470090894,-0.045389586185196805,0.04866035274180573,0.04621204122533895,0.08235319688554525,0.15601368053582892,0.03480519291594581,0.010184694180504116,0.06183426509954229,0.12290029578253986,-0.015883949099984408,0.046942396313429245,-0.04844439948440637,0.08501245581080749,0.07472119458498534,0.03200025656931006,-0.042658633325147716,0.03654380435970971,0.12143441488724874
TG,0.010384464737209862,0.10241312681350255,0.04795984929437781,0.04879057883734395,,0.011700762581975235,0.08604317159092918,-0.05509040772843434,0.039663001034491635,-0.012494423210555633,0.0029263007966617662,0.050984000822382726,0.029486050915030763,0.0364319242055406,0.00892402228107782,0.023203711795960265,0.029185717834905194,0.03611806267165802,0.07251822417225862,0.021379958125317983,-0.04889208119776397,-0.04107398865870063
ADA,0.005036284993375449,-0.0458266335504833,0.011467130693422603,0.008118630757250308,-0.0016280191067885809,-0.022435678663714632,0.026505398022413473,0.07712370467955663,0.2100376008489382,0.026058801819856932,0.04122430493966742,0.15595575529064076,0.021756304796717633,0.0690264634686571,0.06603829668158169,-0.03381404618516407,0.11377344629928796,0.02825483077039843,0.07612508349580316,-0.05302592652351622,-0.00588721910823213,0.0482234357094116
LAMC3,0.11740070774155614,-0.1002688084388259,0.026467536634948528,-0.022117631859523833,0.005315224391148286,0.003601895365446141,0.05572418328527839,0.21731383470185228,0.17360846291151194,-0.019489129331043135,0.009379857434498018,0.03501469671461631,0.026935749939117456,-0.013526419668156923,0.13248614872037276,-0.1641921066017798,0.06744961753482494,0.06183318080651029,0.07023905173714588,0.00643398859883892,-0.1407660372043765,0.112756758874558
CCL7,,,-0.0019161045306528438,,,-0.027179882198215204,0.09942952067160843,,,,,,,,,,,-0.04305597697209237,,,0.01318627605449063,0.03523316298298409
NGF,,-0.0029661723250265708,-0.016303229313526204,,,0.013078805521005753,0.02172334350521379,-0.023770367500060775,,,,0.09224269922848637,,,,0.036456901531485876,0.016700075443653678,0.043710772818394444,0.07549753274540698,-0.024108437252445082,-0.07198528632164318,0.057718795078763235
TNFSF15,,-0.0638919021939976,,,,0.004008204193377681,0.07348614381416896,0.0889893141452083,,,,-0.022278818725109194,,-0.026762512357310583,,-0.09107138515792929,0.07076822588574103,0.007962804075028009,,0.012546748170778638,0.013228420869184934,0.004243936735306675
