,MGH258,UKF248,UKF259,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,-0.016603068072194273,,-0.017104441100323536
BMP1,0.03110121635767503,-0.0652184078450621,-0.04900424797263058,0.06550957433015396,0.01663546522247323,0.023268981215102645,0.05428071116667271,0.06133059636921323,0.010867335096203946,0.026980982343633934,0.029624158554229087,-0.05612188558562637
NDP,-0.004935085201929623,0.016773698330794094,-0.06952779922019793,-0.07354356102107767,-0.04529681409015302,0.01914310242474403,0.0141717987934031,0.034148378590649536,-0.026368755086433104,0.026646094018128112,0.007757739177157049,0.0255357585558557
TNFSF18,-0.018998240692298884,-0.024830501069595397,,0.1124656092215023,,,,,,-0.017122451041492435,,0.062404108707241196
IL36G,,,,,,-0.014337273623408402,,,,,,
RTN4,0.034240184229273,0.021661920254501765,0.01053083451264357,-0.07488607865885269,0.026985229997040224,-0.052254177358795735,-0.0013320774254640766,0.014329279053238716,-0.08229931504181277,-0.00629101842337732,0.08259151454775936,-0.02415072744299129
HEBP1,0.04763961681411534,-0.0035636083215213736,-0.052981795686243935,0.011227982318711879,-0.02032592129773928,0.042314060211651114,-0.06920896238738547,0.029949995852934615,-0.03548800511978651,0.037558103710721304,-0.019683457050662337,0.0241988627884288
WNT7B,0.011397893713689915,-0.03674641793864722,-0.0019137320640807338,-0.029674868328713612,0.15280224134826068,0.02619295760303175,0.032155115906237104,0.07316621576531643,0.062121012301926244,-0.02006789345578284,-0.03183423468238436,-0.03650798772387308
PTMA,0.03513612981595475,-0.07445754223501848,0.03021867795349778,-0.017555311087867884,-0.03840897083695642,0.08138579488575108,0.0016678776114909678,-0.020953563244688164,-0.015602207840766125,0.003676381703093676,0.03203510735227833,-0.025561768150155244
FASLG,-0.016736859739935998,,,,,,,,,,,-0.014834675931046204
CEACAM1,0.0186214207095079,0.005243029853031873,-0.008205585463839728,-0.02379446152535836,,,-0.04769189415997569,0.004184969552164463,-0.00240614117660529,0.09943294480459364,-0.02112884454627168,-0.0206402727407494
PDAP1,0.04407722889755737,-0.022472616133831457,-0.0050047563111251525,-0.05056132631905403,0.030155026862889844,0.02457798928405882,-0.08873549424564556,-0.030317066754503297,-0.0295208227574101,0.0024743999572296375,0.03987985843227314,0.008999653669711375
QDPR,0.039983463118345136,0.0011492664796696672,-0.07357596552830564,-0.008114483190570242,0.03207094927893537,0.01926101133303818,0.06591432600552623,-0.0021875339573864624,0.04946481442643275,0.05043298854029831,0.013869352866791616,0.021771886609992495
