,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.024568797386751978,,,,,,,,-0.03624390073810977,,,,
BMP1,-0.10945165084219734,0.017174927411854203,-0.03423043909003423,0.0173119082884864,0.012692816019862673,-0.006498585501512779,0.08513658097076524,0.06255969624601056,-0.05135480979259893,0.05548175689976834,-0.0733514704167714,-0.09856368635746363,-0.02108538799823731,-0.03960052624906248,0.00039358001755525264,-0.049176080229922835,0.04229280719251812,-0.020077490783046836,0.05249252761407973,-0.047252033089910266
NDP,0.024325902735840864,0.07144083450340621,-0.03459801642448384,-0.034040839249247265,0.013839655975984903,-0.033052848864371175,0.05963630820722268,0.024837793590141523,0.021719298702006076,0.025175083137104134,-0.05136696593858921,0.005990646498921922,0.05923756015585586,-0.03838205631943229,0.10468485202595916,-0.06475700312135123,-0.004639308386978584,0.007551657707434863,0.06956536106506335,0.02920230898630107
TNFSF18,0.08248806213772134,0.07156906221132683,0.035994098911265995,,,,0.11697997698755054,-0.03648392654381733,-0.032551392800092845,,,,,,,-0.03737769508879568,,-0.047673520741396025,-0.03363549359475709,
IL36G,,,,,,,,,,,,-0.006532339515470473,,,,,,,,
RTN4,-0.05368254454214361,0.009673616273964786,0.003832600883362432,0.05704453539930779,0.05475602155753008,-0.03722660380715997,0.0009306096918746122,-0.03775765303257039,0.047623218568203056,0.061992308720997806,0.06118605019321129,0.17622582715589957,0.05371223871671264,-0.09678313356093007,-0.0840849923002209,0.07256658549931169,-0.006675866275400246,-0.033650801735863295,0.00513672441956699,-0.0821412622426909
HEBP1,-0.00709837796468771,0.010570643460805855,0.03420444493937956,0.053391719448387435,0.014624261936419651,-0.01361662667636496,0.027858652002529172,-0.05113991657535999,0.008220635870924288,0.01029120250908072,-0.12308503819021503,-0.009941308394586516,-0.032087592462660505,0.01299015626278878,0.010785360050187313,0.002063856858793913,-0.0014570456228700983,0.04192061325561183,0.012483646029917488,-0.07416138896242418
WNT7B,-0.013003584660865918,-0.03718052313544649,0.0042759929906415455,-0.032553751100297075,0.0006670880233717716,0.09270088791341281,0.04007574385424426,-0.02758275718268761,-0.0063205103924543525,0.06666820232570048,,0.052098141232072175,-0.02950957449211772,-0.042688187183722616,0.029379975782647703,-0.03034877862818059,-0.02365267817776414,-0.04767347130753625,0.09124785656826968,-0.05552358077867178
PTMA,0.050295536034956956,0.03125139404591923,-0.03806420358878946,0.0008592943746903811,0.005613900029054509,4.088984638947052e-05,-0.0009233387987358047,0.027802712034578125,0.03575410653953925,-0.054464724539818404,-0.14277468281647843,-0.12283678672631275,-0.05685586732837547,-0.00718751839939525,-0.027630667067819834,0.043005917285499795,0.017521324285240607,0.059191243842245535,-0.07315298357744912,-0.1351013709592652
CEACAM1,,0.004859715913744073,-0.00863064735487999,,0.0023509223975907794,0.028203831363866932,,-0.048010769362583035,0.02476643112966315,,,,-0.02646465906966194,-0.032655855683425036,-0.025816664919168092,0.006337202984168154,-0.01569862650404825,,,
