,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.018557929241663367,,,,,,,,,,-0.020753583905219322,
BMP1,0.022972772780723478,0.043344459903718754,0.02838979772904383,0.01765932986559838,-0.04691629986679597,0.0074527692475811055,-0.0756001807883346,-0.009185616295964963,0.00553177153619801,-0.0018328945977686664,-0.004352154669385521,-0.0011691644140252209,0.00492337053276393,-0.06201754974229486,-0.004803705935094278,-0.03160142535693691,0.001028483777615826,0.021312005490903674
NDP,-0.006583581493574557,0.015404073127300971,-3.027501166283989e-05,0.03187689920902329,-0.06479561414540576,-0.03244494102066333,-0.008092144972409369,-0.014694432911279762,0.01250402974767255,-0.005843764544602647,-0.035619783889825146,0.02328947610959013,-0.04204003464691392,0.005263383210998437,0.009769960108416803,0.03048078526980506,0.0003120926723333154,-0.005014126036730025
TNFSF18,-0.003901532543162597,-0.019872599663920746,-0.029029276109930613,-0.031507333464098224,,-0.015681376867118683,-0.02755796779956737,-0.008372062070024172,,,,,0.0006381217428839671,,,,-0.011595145259217704,0.04085911707373267
IL36G,,,,,,,,,,,,-0.019986681714152573,,,,,,
RTN4,-0.06090192374122364,-0.08574690303250972,0.008975481108131974,0.015860795084397937,0.004678821731623043,0.017158374925629966,0.0929244355644736,0.0007781283942330763,0.03383222233881495,0.09393495457510927,0.019026569683769954,-0.05825319798326609,-0.07524349575571725,0.11750771438772716,-0.058046358647635694,0.03976830814501957,0.01791358810362039,0.01612354533115764
HEBP1,-0.06348650563037524,-0.048350090480327894,0.01747528423018814,-0.049861833909087536,0.05233579426924182,-0.00951885171079706,-0.04701161577087716,-0.022108191483108657,0.043748225104043435,-0.08751211439702283,-0.026616701243683493,-0.009263741477629314,0.02500681140402165,0.017698045275045766,0.09942115859487352,-0.0018470077322368422,0.009817128508500599,0.0566104948446284
WNT7B,-0.02098696240692917,0.058483795751309256,0.006311422229386722,-0.019571378859739978,0.032336531167955235,0.05758351839181117,0.08852228650270551,0.010417215220137587,-0.01632889907703527,,0.030672508477374925,-0.005974928442493567,,0.0074969205938568186,-0.04516371982513569,0.046401166206276455,0.06266959871854981,0.05147742890978395
PTMA,-0.020233493295562996,-0.011211239904938566,-0.013719878902501911,0.07334267823112638,0.0645977423208816,-0.0076554760708618065,0.05567943426252458,0.032107985886870874,-0.025371792791028518,-0.11958617292329533,0.024187969138871297,0.03212751716482964,0.11097286585453948,-0.006785239948641391,0.04827264791268684,0.031294539298142,0.011333981502360573,0.02385048805525793
FASLG,-0.02098696833988968,,,,,,,,,,,,,,,,0.1421995448769096,
CEACAM1,0.06954819861643988,,0.10447303691576235,-0.015019856135676714,-0.035607947783459694,,-0.036264716039746875,0.03499394797622646,,,,,-0.030603842339149787,0.10224997088722744,-0.014358539428922595,-0.026506979397255607,-0.0250437666825402,
PDAP1,0.04468147203805081,0.014179445781439344,0.038984938110480906,-0.028551713754204885,0.0398974057489979,-0.03278215104251741,-0.09175854874932769,0.03297481088397369,0.0018518079621848333,0.06292877419862268,-0.028009601503380305,-0.007189737820118162,0.06398628671755961,-0.03318532238932965,0.04462408398386298,0.006524905743708282,0.015747148580972353,-0.11352632062459175
QDPR,-0.0278672662477242,0.007416674860720245,0.005720314803966029,-0.0019380840101614941,-0.01534148139596166,-0.0477985585262736,0.014826521656858252,-0.0025303911263437097,0.043071097264465834,-0.11811948246154874,-0.0053180271312294174,-0.049359434655419,0.08122618723503994,-0.021886161878383412,-0.021461573811708382,0.06430534979428068,0.02100358623870616,0.05298445739607358
POMC,0.04101636485661681,0.043517348874802624,0.026307209372595505,0.05611482117508758,0.008938859224106782,-0.04814466404417556,0.017847988307995225,0.010117603646128204,0.05095028222134461,-0.04024223190356999,-0.022595476917605967,-0.017661540271814425,-0.05309970053015977,0.03366088161044354,0.04100689014623676,0.012914077614005471,0.018246790882749116,0.04052562837394059
CCL18,,-0.02665079015845497,-0.035236215681128336,,,,,,,-0.057880854266151596,-0.030110446254921073,,,-0.05071610301946103,0.018231927376863754,-0.04288120017425041,,
CCL17,,,,,-0.03161782893957088,,,-0.02653691893532783,-0.020210599610434882,,,0.0001711939474051279,,0.009807489654429527,-0.03041271542037391,,-0.01631459415674947,
VEGFD,,-0.030027650888936528,-0.03523622687027718,-0.021512930490141243,0.030816451574480333,,-0.031089509528590166,-0.028272842602107353,-0.014824719229635554,0.12033282497297045,-0.01526641759273384,-0.0195680940549034,0.05171497500684398,,0.00048224809518909853,,,
