,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.013038934290987254,,,,,,,-0.026650042672513658,,,0.06187870557464975,,
BMP1,0.01924524607699267,-0.042295038072032276,-0.009701481925429587,-0.099568107386622,0.027397952603860846,0.040754866709875666,0.10035387350559731,0.007897568318380926,0.01524252370196243,-0.05194603032783178,0.003053762062520455,0.04412079208316115,0.06515571369677281,0.02697558173085936,0.025865403685526627,-0.002853593170231602
NDP,0.0023518293458093093,0.10464092477891043,-0.048899975947934674,0.008800086480160386,-0.008902193848827901,0.013074752354030016,0.03728722675012166,-0.006074067812145304,0.03581993546187051,0.07381686298735574,-0.12032299717336005,-0.0014868060222633095,-0.014431862579021494,-0.00485706482343619,-0.013814555443331544,0.10303580013078337
TNFSF18,-0.03151832187460322,,-0.018930538829045013,-0.019362425982582025,0.08053617004541995,,,-0.029396011038754645,,,0.0021904496047161232,,-0.05654843778291279,0.0018552285908692747,-0.0401176825472971,
RTN4,0.0031501346181354545,0.15339178684366167,0.029118120970029176,0.10666323032862718,0.060378738297579726,0.03204814554104012,-0.13313877750201927,0.10676234271550891,0.016638756645102507,-0.0458605440144013,0.0351690482205094,-0.07816697804822986,-0.038037633254921516,0.01796700161624114,0.20035824931239762,0.12974099356742236
HEBP1,0.0611621390676561,-0.01249961951130415,0.0007205979592709638,-0.04829933386310054,0.013560587626628887,0.021996636034474874,0.05254740394915332,0.09152548699025312,0.05434659689512547,0.061535986268047384,-0.003921260581435106,-0.037899026016671424,-0.07648650165967805,0.07809434205790933,-0.028070944104443607,0.008489005874018532
WNT7B,-0.02969461091542021,0.009606350800421319,0.059474993725012866,0.017008264529029874,-0.014326356257745827,-0.015148168175482552,,-0.03236213894396308,0.0070411538292640165,0.052114690302183644,-0.020529770822096297,0.009645792887097826,0.05706217037294544,0.012411041233913983,0.06424953496860777,-0.09668158103253825
PTMA,0.027807923662904858,-0.11177966813737489,-0.019896654092423045,0.009108343705399344,0.017529924883644694,-0.010809534967639534,0.07994234375333084,0.08815098854339423,0.03663296052715042,-0.006705382536267881,0.06973006106695913,0.03144762650128796,-0.056271472547433275,-0.02175014387365195,-0.04497844818367346,0.08581383995002376
FASLG,,,,,,,,,,,,,,0.01981913632983399,,
CEACAM1,0.04973901903699047,-0.017709620769771554,,-0.025479849791753415,-0.022552080337346687,,,,-0.04746242508463062,-0.019303572984970385,-0.0270259418125348,0.006281071331958615,,0.012611582286800383,,
PDAP1,0.0580189593528172,-0.03769471183826209,-0.017476063679603367,-0.09510072192222414,0.006107053774085264,-0.040184211580699944,-0.044426988128299635,-0.02654134092024892,-0.056810552377428894,-0.041301074075838634,0.02662501452215411,-0.08209179833893569,0.06139636929501671,-0.02769494648511985,-0.027463504068204515,0.021884175971317178
QDPR,-0.01618384073671667,0.13687694092140726,0.010656446204958295,0.05448494386799445,0.008213267167880088,0.03987147553803384,0.07153031305482002,-0.04722044664677579,0.002364484513370566,0.07201995623722329,0.016736198676739977,0.021901906764956725,-0.0890742526166754,0.03145353864907676,0.12956464739514736,0.10455800061485211
POMC,0.004827002103065287,0.09366656911526912,0.05381355806929535,-0.032844938977930144,-0.016638025677676138,-0.010865494348396799,0.03647224576089003,0.04490598961933304,-0.005908130020038196,-0.043556553321082506,0.0001408432853625419,0.04355876098898974,,-0.043417696305198705,-0.10255622639148529,-0.13375450658407764
CCL18,-0.025033668616951006,,,,,,0.003739574001740756,,0.049354816253683514,0.003310370259413508,,0.07609720375211353,,,,
CCL17,,,,,-0.01788372247123637,-0.018749185746195204,,,-0.033672293351597375,-0.04323216414566545,-0.05034780321715998,,,-0.029816705155760823,,
VEGFD,-0.025033676566313296,-0.016943562466400993,,-0.02184371255022498,0.040349941814378155,-0.013752754486715995,-0.04326556054905539,,,0.07156361016109083,0.033481800346444816,,,,,
TNFSF13,-0.018891215662908863,,-0.018358673531003282,,,,,,-0.009207595864401254,-0.03683672337566394,-0.04944041576677292,0.03439740296594782,,0.04894150239562608,0.026054246920133164,
WNT5A,0.04648946711400682,-0.1147378831175596,-0.0018366565910088448,-0.07278061756392938,-0.02890453726135098,-0.013844773925748963,-0.010677926244232874,-0.054510998051080034,-0.04499961194549843,0.06355386090458807,-0.015770261304969953,0.00018276110488982868,0.060976451765824405,-0.0018116074974754539,0.011929808466693798,-0.07907713844600578
CXCL8,-0.012410276996816785,-0.04305597153147886,-0.026114022369789127,-0.010508775744581625,-0.056886416552320164,-0.012807162967675348,0.049715484083784504,,-0.10213825922030279,-0.1015183665234962,0.05014468526915591,0.03516160371877228,-0.0013000663068443948,0.01902010381164362,-0.11878002284563975,-0.14279319272423172
GRN,-0.009895553210108972,-0.12127912969629497,0.01756039058017881,-0.1018932254234738,0.00934877089972742,-0.013804621988380837,0.07679869416756491,-0.026489698211026334,-0.027770919608106535,-0.07257682579905289,-0.08109431372407262,0.07632983783733782,0.07098526165795799,0.05014684885267806,0.11320774691547363,-0.0003584731258019488
MIA,0.008716848091140933,-0.05141262302342821,0.036762172644124125,-0.03724691920909373,0.0070718937602533465,-0.015640861925512808,,-0.043848640986328465,0.10058117162379808,0.14868774309478036,0.022111422022756583,0.18350045274810994,,-0.008739501093794313,-0.030871262630216986,
COL4A4,-0.00731586347947351,-0.07460803690666339,-0.017467466770918455,0.0474850056191173,-0.018671159558585462,0.05904581671311673,,,0.04627543793158169,0.09809008102218138,-0.031245543306445887,0.011776093785494554,,-0.006799629221251401,-0.03393027221101305,
TAC1,0.06851126894432515,0.19210459136061703,0.0005298641357325429,0.031772384849217634,0.09977691377374824,0.05707342342002364,-0.049284167712251165,,,,,-0.05943020816692595,0.062278443357855665,0.01542745762214505,0.14248385577135964,0.06730549020426352
RARRES2,0.02698221237527439,-0.11018922688430097,-0.02189210333535047,-0.10746081267603666,0.029489363406127123,0.04150770661134721,0.0346082699784848,-0.052343009634959727,-0.06282266706033032,-0.01731842797255418,0.030386328791320277,0.006143892246634065,0.045657412017954355,0.07274289318392776,-0.08055819513759595,0.014458164896273306
FGF7,,-0.010169040473126075,0.023273144174577008,-0.036617414138955404,0.03386323754808566,0.05199053312197135,-0.009203679413256973,0.00017361365784574249,0.0157589879610886,0.06223576499533405,-0.007233170116283506,-0.009359744410400791,0.03951491667991904,0.040386923075698695,-0.027293186399718117,-0.042203336215576155
EFNA2,,,,,,,,,,0.0073657262039661,,,,,,
HBEGF,-0.015680042309839572,-0.08283328952367497,0.05560840160870586,-0.012254143141080217,-0.035595073010848514,-0.03531839217184394,0.03675381322005551,0.053180781618526664,0.004663507971683172,-0.015070152776755798,0.0004214562979846834,0.053776282475455635,-0.017036964768221738,0.025507501355533802,-0.08193364630161488,0.011060032818123693
