,MGH258,UKF243,UKF248,ZH916T1,ZH916bulk
IGFL3,,,,0.05690311126503419,
BMP1,0.041478571527054635,0.036798770762721075,0.08898323619820792,0.10906677085667169,0.00816524302285014
NDP,-0.002604548915352858,0.11040478020288955,-0.05160016064185894,-0.0131190054134286,0.06757445997674216
TNFSF18,0.003059746369162403,0.03532104515222104,0.051345686677257224,-0.020720721169261925,0.1004546368268768
RTN4,-0.036278677650759275,-0.009111552094677943,0.03806097051650741,-0.027874297747689313,-0.11500085804414048
HEBP1,-0.00612115679448781,0.016164056683734416,-0.00790926234571598,0.048870780800340886,0.04032607257068376
WNT7B,0.04923401000957864,0.032779624586316426,0.07066499729183606,0.13179264931663578,-0.02307556620957698
PTMA,0.07191811588633143,-0.12574695041839443,0.004557549135998069,0.007803035565548595,-0.023891705068160823
FASLG,-0.02577527003871631,,,0.03364720139851692,
CEACAM1,0.030345914453343597,,-0.005759073314199317,0.0033289569128303327,
PDAP1,-0.004192769901258309,0.05827635976942676,0.0048600323673648315,-0.0019308437528572369,0.02336566550287332
QDPR,-0.04342310763625848,0.06044894145872293,-0.022363540655810615,0.03929928659095501,-0.0179661306983866
POMC,0.007148846511422097,-0.027840980840523617,0.050245593286818276,0.043070745579259995,-0.006939821295530348
CCL18,,0.02515817082797947,-0.009230083806266156,,
CCL17,,,,-0.014324906889699519,
VEGFD,,0.04113234345927563,-0.002636876357470814,,
TNFSF13,,,-0.01098227400601365,0.07480990352884331,0.06817355091283453
WNT5A,-0.0015080137498310385,0.062480889026681,-0.003359123839587325,0.07540919512251329,0.007785169177777993
CXCL8,,-0.020256502123910457,-0.019178597425523285,0.034359757783693205,-0.012412645009523013
GRN,-0.007609997251274752,0.05431744479394323,0.039639088143402446,0.028716759597385146,0.011035479893275378
MIA,0.07796616534978898,-0.0119065537367618,-0.01751278588875826,0.030555607418925733,0.13150590694368539
COL4A4,-0.029850903404758385,0.020092739864701663,-0.012571457707415966,0.026973968896601863,0.03014416024021583
TAC1,-0.02577525601545243,0.004247169803235894,0.04364966417927609,0.041193621137112744,-0.06905566029626829
RARRES2,0.026542731506826147,0.06909831052755416,-0.03031977852898645,0.0578090292276286,-0.07429600380573673
FGF7,-0.03357836646048244,0.10934470373971199,,0.04160099412076681,-0.025925168509335503
HBEGF,0.019216410113172388,0.1068150884630904,0.016660841952491914,0.04222275175984225,-0.0026962298611028297
CSF3,,0.006433730274318549,,-0.028622985280377582,-0.03705034259591271
PI3,,-0.027486796243457342,0.05320031151993985,-0.026383608298010508,-0.06566056381566401
PCSK1N,0.017222917291022023,0.09053918007746548,0.013776105601172284,-0.02569627991430636,-0.08237314896644898
NTS,,,,0.03317657874024319,
SFRP1,0.03859182920886779,0.06204251206635919,0.0022484964065390863,0.004908678206393549,-0.013242602322685634
CXCL13,,,,,0.04970822814684194
MICA,-0.01941339072079904,0.04026319998855126,-0.023638053059671975,0.07547131031743538,0.0069567620786262505
TG,0.002151473716685778,0.035507887764958564,0.00020881663994612557,0.06307864395271758,0.046251056694445895
ADA,0.022263595319404934,0.08066545405080709,0.014103984992375506,0.08964496463514313,0.004860684606232515
LAMC3,0.11946590653973524,-0.027494310075162107,0.03476644731179026,0.015783680746702448,0.04568995546316068
CCL7,,,-0.01434719605121116,0.020988684778320225,0.03585685597708133
NGF,,0.03033455113849826,0.006302103404391783,0.017504397984961836,-0.007821787393113852
TNFSF15,,0.01975546258288092,,0.05495091404116581,-0.019988658072048672
HMGB1,0.0080278404829147,0.05217884021771245,0.020809567421468774,-0.04380721460365545,0.0397045300793792
ITGB3BP,-0.026308178189528762,0.09515484069715778,-0.04169754074907901,0.015101767791791726,-0.03360932614079985
AANAT,,0.005471044111754576,0.07857499522789867,0.16517627353699438,0.03718156665336111
RELN,0.05241572727160966,0.04832416737054564,-0.0490116583216367,,-0.005193705405562183
IL15,-0.04552735136806064,-0.08442320060058031,0.012396873437264892,0.0613864079315058,0.12411962023748523
BSG,-0.006078099543650733,-0.013514569901900104,0.03269908895556916,0.07111351399172695,0.08762670232556488
ADAMTS3,-0.00017859760032090625,0.0172257928922718,0.016701397137454693,0.029203373728400973,0.05504160695567569
CD34,0.09355537762202779,0.035654239852873276,0.05803567498559603,0.0683960658924082,-0.019339980442109293
PLAT,0.005589696398670569,0.13091111242109815,0.06605961423345816,0.05603832764691827,0.07945547627373002
LTA,,,,0.014777516349079403,
CKLF,-0.003923213794050812,0.13383435044595543,-0.013537659762664108,0.003515871082632086,0.08515407141468156
CD24,-0.0263041685933712,0.009901723657536003,0.01423072556519679,-0.017812994399028895,-0.037822142471512936
HSP90AA1,-0.0004925882286275863,-0.08196267069642862,0.03357510867399613,-0.01095642817622941,-0.13844382760541007
BMP4,-0.030720906296820873,-0.01901084897148233,0.01703735092160717,0.11026944307769995,0.055293782459435815
SCGB3A1,,,0.021074895292602147,0.02125614028947427,0.04987746694690514
IGFBP4,-0.0027305804210350556,0.0017104821795728014,0.046414024473821494,0.08224920697609743,0.00286220836530724
RSPO4,,0.01880375917035105,,0.0259618554822595,-0.013431244392177308
LEFTY2,0.03210278468254165,-0.008002337815478594,0.10968176903970828,0.11171103213013027,0.02425119615400337
PF4,,,-0.028876267918397956,0.018551977553920723,-0.0014120288338756355
ANGPTL2,0.043613998740473996,0.0006401158394948565,-0.007403528676608855,0.1076712016542581,-0.012878450097300962
LRIG2,-0.03803935557586923,-0.011294057546657268,-0.07172932401796536,0.0684606786090657,0.005475918138751067
ICOSLG,-0.06655731354125013,0.02188125947958171,-0.017878062422930358,0.030661882668454217,0.006473276143378578
WIF1,,-0.09423884074468089,-0.030310003994673974,,0.0130993966705566
NPPC,0.01398419660616895,-0.1031515211261799,0.014030792934780626,,0.0009402043967638159
LYZ,-0.024743764299394337,0.013573470131064417,0.023737543490570796,0.0483037717274483,-0.027755359902199146
EREG,,,,0.10877841578509932,-0.046795171330635765
SPTAN1,0.005576630830996598,0.0166474389475515,-0.02361656870065036,-0.04838078154834165,-0.01429361686522732
LIPC,-0.0382180835842535,0.06952042919629185,0.04399052345084188,0.061394604189791674,0.17495646531542702
COL8A1,-0.03095384072960154,0.2138644196344836,0.07324850367396123,-0.0031031807219542165,0.01680559025718606
GSTM2,0.00503519498935046,0.18838909051126246,-0.02521954541996476,0.08383127909673689,-0.013287220728699338
SPX,0.01894530999096128,-0.008183574693017347,0.008786070271501741,-0.033492960494266866,-0.019189281636205115
MFGE8,0.04261697304059069,0.08433624175291846,0.03315449945475047,0.1162513740100883,-0.06195119218741839
TGFA,-0.026598235371336768,0.0347523173899056,0.017079277577982836,0.09641724309149963,0.01365431260594783
SLIT2,0.04850558616179751,-0.06243325206578295,-0.01892051730833967,0.053463021773654536,0.03713631403611338
PLTP,0.0006772666066332538,0.03954199083640236,0.02050715518167018,-0.036400005706702925,0.01702961825457393
APOD,-0.021204079349048992,-0.0189396055518295,-0.011470988443006806,-0.09554715926929103,-0.08059404148270918
B2M,0.005949509221387342,0.03686978957460976,0.10167980132239844,0.010360139661592967,-0.02450502780294746
OMG,0.04392614772919987,-0.044180765639325,0.007882064375912243,0.10118010967935222,-0.07321490798296398
CXCL3,-0.024039021770878088,0.0004212704245659755,0.06495760500106278,-0.05246468133965711,-0.06328037485140245
CXCL10,-0.06678055085543994,-0.06908090597935494,0.013574812112765712,0.05569015664049294,-0.033195345912057785
RSPO3,,,0.0024233915816574245,0.06363906250376923,-0.015855233675703444
CORT,-0.02985090292425709,0.01877812803739133,-0.010105248193197702,,
NCAN,-0.034672590968459344,0.02765589309839861,0.02846613836753709,0.01055352944059168,0.03884204240929589
PRG4,,0.08226337141667238,-0.02573725940268321,0.028074547951697528,-0.0388383298122927
ZG16B,,,0.0532180453683322,0.028877930223491364,0.12584360598892377
TGM2,0.05813672654922888,0.044352326175185176,-0.015528313090448893,0.05904286212366212,-0.003166173442234145
VEGFC,0.04956264838065598,0.00582307084762546,0.02925708919129856,0.11547540996737587,0.02971375556332125
WNT6,,0.033260375359834844,-0.04491415359429711,-0.013837999100655342,0.05041383277046551
NRG4,,-0.050050489264723684,-0.025638722702657754,0.013279722551207991,-0.011003858080426789
PMCH,,,0.05418760976034634,0.05937345730577752,-0.02562868058901596
COL9A1,-0.007547186986312966,0.022673506563799493,0.011868203050129204,0.04588661514195052,0.04608645789175571
GDF11,0.05608075908661481,-0.007815052106550736,0.018245057920627056,0.05993377229323484,0.016400321897607963
RAET1E,,,,-0.03559644937240967,
IL24,,,,,-0.060238488595427075
SORBS1,-0.025963385055164365,0.09234943632084916,0.039140428097943936,-0.030596264877809143,0.03537847528899797
DLL1,-0.029745155785196795,-0.001672849211822375,0.0033603324409379634,0.05249319950875642,0.043317115204595656
TLN1,0.001215698532357454,0.04871987235026931,0.05995029825222737,0.01135877145813425,0.024912253270619675
COL2A1,-0.01090565273845279,-0.02138060271393058,0.012593481186240135,-0.03927190388768172,0.05949066653092681
SHH,,,,0.03624796826577863,0.11954094223575688
PON2,-0.009008725991404457,0.12449628849313374,0.05184989106900892,-0.051392343843041685,0.07572246564062542
ICAM5,,0.0005442601471997091,-0.024935515806581005,0.012917453518521523,-0.04154174803136303
HPX,-0.03184744451759323,-0.0348472282659459,-0.04381941391021083,0.022624892699957377,0.08396492980268823
SFRP2,,0.05478287649944318,-0.03700917204060401,0.10764441870613656,0.05799294459065791
CFC1,,,,,0.022942651575828508
CD70,,,0.0037594655114037505,-0.01685622496710093,-0.012467353078400568
HP,-0.05563290197828244,0.17038277526333848,0.0037047946166587622,0.004264928657990809,-0.02716610599262379
CXCL2,0.005340578398661401,0.03529623795402286,0.02566837817382834,0.02567598038729091,-0.0007256608400209212
NPPB,,,0.005791645507103389,0.07371992760145549,
CCK,0.00542756915640333,-0.0813278229800731,-0.009102236361772624,0.00043168070022184723,-0.10387082026458082
SEMA6A,-0.0006564674871108645,0.14306831351978688,-0.033908257042369314,-0.007825387140852435,0.12536343722097687
IRAK4,0.012109274882967766,0.036300434212677514,-0.005494316364137333,0.06627036611108349,0.03168060526234768
GSTP1,0.09177082893014524,0.04465856170083595,0.061520624865305774,-0.013922512883768836,0.04810713267593856
VCAM1,-0.031864513948174335,0.030884517931393962,0.02670342211460004,0.037545124214973254,-0.02872613578175008
NXPH3,0.07033259725898704,0.0055587542866938075,-0.023549727929040632,0.03901798738610665,0.05257099686818129
MTMR4,0.019054152373166707,-0.07132096186759132,0.015294977878169882,0.11329849783459216,0.0019922688158335554
LAMC2,,-0.05557388838596663,-0.02818735039011149,0.0358705632997513,0.001971784777694056
IL10,-0.015286576913611046,0.0530636120854053,0.00992661239312583,0.04708525389912721,0.053026091561682816
SEMA4D,-0.05664925021039397,-0.043903325348631984,-0.04113225050197183,0.035318849432008824,-0.04487438247043972
