,UKF248,UKF251,UKF266,UKF275,UKF304,UKF334,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.06839630029323118,,-0.023059378726456175,
BMP1,0.04620862135316173,-0.027195765611814093,-0.03199621296300551,0.06982048509536502,0.04888310998130806,-0.06323891177100519,-0.018055692643088466,0.012176421150192582,0.1282874532577953,-0.0040803133131883905,0.07851230320687015,0.042076583359357
NDP,0.05466467347988703,-0.0017953953932819033,0.003029876075479657,-0.0465328626852352,-0.04360147567910782,-0.026203741959990576,0.045957714195671434,0.03568850399260912,0.1352860424630326,-0.01530508321570008,-0.023509436589025715,-0.0048237892124187035
TNFSF18,0.034447577023781754,0.007431633260003778,-0.014292937988295572,-0.015129092542793137,,,,,-0.0006421335181712616,,0.024384397281280418,0.0782446734102554
IL36G,,,,,,0.02824844009469425,,,,,,
RTN4,-0.007079375865492369,-0.00609963976142478,0.029793533688392927,-0.030461824186831098,0.08722083347961859,0.05173265822052925,-0.0490465647878183,-7.213389509722272e-05,-0.15502329988333233,-0.0020006871004129333,-0.050389671798901255,-0.039654282340871476
HEBP1,0.07319694259110426,0.004223809639668954,0.012597857070734254,0.035690795600694984,0.03199168171957365,-0.021837977917359013,0.05400824372931482,0.05817973405212683,0.03689149791849055,0.02617962028872641,-0.05220775499439741,-0.030708819099683777
WNT7B,-0.012391207311530534,0.008118111456002578,0.024041604257753084,-0.03702204236318362,,0.02338772749155214,-0.0313983541609353,0.051403568800470124,0.01828152314630847,-0.022067361396779603,0.011722144611659366,0.0529250746258426
PTMA,-0.001203204712075915,0.017920176837547656,-0.032638632807827805,-0.05679433912332807,-0.06311154057650667,-0.09007520724463774,-0.081768487695856,-0.062476033823420166,-0.11772129089523461,-0.04375240922324413,0.06484388158480255,-0.03513940424897649
FASLG,,,,,,,,,,,0.06278836928929989,
CEACAM1,-0.019877316227502086,0.1359278961220264,,-0.012335789497539325,,,-0.028158546929899237,-0.021606672191000063,0.08881277208824298,-0.014646428700136434,0.12674586928798634,
PDAP1,-0.03404169554479387,0.021159504003566584,-0.05738860731929711,0.025113354968581334,-0.01620410682963919,-0.07870716335255043,0.08516515836532286,-0.02445723803279884,-0.03320790465327032,-0.005946453919138383,0.013036498698114426,-0.06052229671551074
QDPR,-0.05101207564648117,-0.03710091140939492,0.04513556818351255,-0.020231943537247426,-0.054859406882812545,-0.013107480854739223,-0.01759406230427283,0.06937709211255347,-0.15320055166745705,0.004953014385702743,-0.019664742849678313,0.12104229600484318
