,UKF260,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.017771220914708674,0.12880615786193575,
BMP1,0.037087723277839324,0.0001470146003537025,0.1030545168035192,0.007434465048936956,0.019339380132690348,-0.004879315559294612,-0.006085527382444756,-0.017551847358340682
NDP,-0.01715895955161082,0.001742075241191538,-0.018125435905406082,0.0913345499838057,-0.06670329387564593,-0.0023397217610556425,0.06291877479326484,-0.019936700152765007
TNFSF18,,-0.024885306017196483,,0.009045104157204864,,0.06466451322343876,0.17784694493867154,0.044356861973396104
RTN4,0.0010109503140342461,0.0051853939533919756,-0.1058188254686423,0.05076504254628079,0.005734302952563047,-0.00776072496462033,-0.002773189769723209,0.01930656105437103
HEBP1,0.0024911204061205065,-0.07469528400440416,0.039809677727057,0.06471959275814702,-0.007233125313787896,-0.0003536520183155577,0.03392097609014568,0.02071818780726082
WNT7B,0.02346236325644498,-0.027396292984439945,-0.061664344475522125,,0.06613320605211412,0.030765274394608053,-0.014143482020372532,0.01988062025735519
PTMA,-0.02992193398357188,-0.040125139007844236,-0.07444866444592803,-0.082753320785652,-0.007889852614698566,-0.0022447584712633867,-0.07607454754984316,-0.03571263678683745
FASLG,,,,,,,-0.014834679106854773,
CEACAM1,0.1299563879571467,,-0.046434797737151694,0.05071494897637945,-0.03276425618087561,-0.026334196067038008,-0.020640277159420583,
PDAP1,-0.0021225659735660835,0.049596746037184974,-0.003909936636437969,0.040473559107966225,-0.017755291294802553,-0.02083499650717932,0.022901225860683397,0.029952550511443604
QDPR,-0.021021698160373276,0.0518765249048743,0.049691747217180615,0.022899751681634967,0.07122654543083298,-0.02333096300738176,0.027474699314257077,0.025382279263764837
POMC,0.031565213537727975,-0.02136617594245413,0.0373585968492463,-0.034614131201780064,-0.033807056012975435,0.02227023065999231,0.002226440210482453,-0.00945845671821552
CCL18,,,-0.03981541145435825,,0.10127779096391928,,,
CCL17,,,,,,0.021003154542445626,-0.01344597038485974,
VEGFD,-0.02540320665290142,,0.05029054588087608,-0.021246615692989808,,0.017358408662429017,,
TNFSF13,,,,,,0.054176949154286135,-0.021909086452581824,0.021641604142272803
WNT5A,0.02787833832302609,0.0160767498259703,0.13696152326852234,0.09142791445946394,-0.07004813947421669,0.02764411547329765,0.013012320662293334,-0.006772894696661838
CXCL8,-0.05093961451029223,,0.013986098732698132,-0.01979575297466662,-0.0409007702046571,-0.033265958622867735,0.014718782952802675,0.04189273270820496
GRN,0.06688573651128178,0.04915278519367485,0.07212978392122102,-0.021756109807749002,0.004652334965817072,0.07543528923925756,0.005742760776713323,0.029303503581292918
MIA,-0.028430206713013738,-0.02162308538765134,-0.020455011158338556,-0.02875751999116269,0.008001757459646638,0.025530139006691176,-0.036233793966866684,0.06003708374858984
COL4A4,0.027388455000777044,,,0.04489536868839551,-0.029370479372285936,0.02106547934621909,-0.018268744074330854,0.03866055593445625
TAC1,-0.006569036013496895,,,,,,-0.017676095314714268,0.010300193578150946
RARRES2,-0.018690043182239612,0.05650365050800025,-0.028378284211452148,-0.030967456913918112,-0.03430452512905456,0.012065682747175047,-0.006170838616535213,-0.0359531435888089
FGF7,0.01707461325006067,-0.0645707523087943,0.03644461911239789,0.016350677383189464,-0.04263917556597734,-0.01921772092377975,0.11374072982231764,0.0462287530192552
HBEGF,-0.11709555977865918,-0.01399994121460312,-0.026750231844866742,0.003310483932893312,0.06790878195429488,0.04863764046689709,-0.030795432680868203,-0.021659655650621168
CSF3,-0.04494875887108373,,,,,,0.044359282510813926,-0.041997463564197014
PI3,-0.041256972953190016,,-0.06373406505695386,,,0.08097583323372227,-0.03075744213972982,-0.04345377456402565
PCSK1N,-0.052976834999191154,0.0422859039756218,-0.050978290583379236,0.0011033075275607518,-0.0010644821393956565,0.06853699407841128,0.07674752434284862,-0.018347853525449542
NTS,-0.02113824858239072,,,,,,-0.020963894274178392,
SFRP1,-0.004211510057180513,0.11842726975595352,-0.021475992015786063,-0.082311090677566,-0.011907695183111598,-0.04878197198055373,-0.020476746482054164,0.043350512684134236
CXCL13,0.19669548030705172,,,,,,,0.0248245176063595
MICA,0.007743361645086736,-0.08689308666936518,-0.05524991781291539,-0.034269623605094036,0.018614349960341732,0.08866143062068649,0.041292602629227994,0.040605812703487856
TG,0.02764557854667907,0.01705520357471314,0.028419283098655258,0.028559945036980755,-0.03782451643931322,,0.0816776451633896,-0.00883955044481382
ADA,-0.010620153138526593,0.09815944508583203,-0.037830838617571846,-0.024278680071346617,-0.05403477310061386,0.009950524999119487,0.012573284980532853,0.021209562517132578
LAMC3,0.047551083001896866,-0.02188235488526952,0.061039729368330124,0.0019180436178068909,0.0807571443855076,0.03784206365229674,-0.01066546984304543,0.024082873073728073
CCL7,-0.038077687589004774,,,,,,-0.014834673831819951,-0.027712754659585104
NGF,-0.0027169833254987526,,,0.060048476049336566,0.051080082657479056,,0.012112456986530133,-0.02557613002714577
TNFSF15,-0.028192590677213917,0.07557829883561683,,-0.045096708074067036,0.050253730729978144,,0.014631726982017736,0.03097743154648867
HMGB1,0.03163000450719393,0.009922438590033472,-0.11159877280842571,0.04805705035458439,-0.07516795645582773,-0.04158481040403165,-0.04195781897349002,0.03634499013960636
ITGB3BP,0.034608094300589407,-0.03428041835985124,0.010644327433379178,-0.08289460262644525,-0.00044935652853545963,-0.020326970918166543,0.021048725881446267,-0.01304040482513978
AANAT,0.01838756427080846,,0.02660689184621395,,-0.024195431550924646,-0.028982564315916743,-0.015695703552277125,-0.025643599526178975
RELN,0.043986894197030314,,,-0.017141701071547933,,0.12930260635573843,,0.08773406759377456
IL15,-0.006387276617809484,0.03215460283683527,0.00867534985712425,0.0004929101624896057,0.08573054322404064,0.12488735534347095,0.027047256218071556,-0.035601383939416496
UTS2,,0.01818580806769971,0.01996989323958122,,,,,
BSG,0.016307452981683807,0.05784861874946026,0.07041972358679764,0.08248279759997913,-0.012001899904736364,0.06007283859530707,0.036732430136482856,0.030995150612174567
ADAMTS3,0.011421530766681806,0.021334865249111334,-0.07902562432596401,,-0.028971566085196264,0.012385670396236592,0.0365846922880682,-0.02715942235984878
CD34,0.04356485539584732,-0.07107076276963649,0.11205073846779903,0.06584364690098227,-0.01958628782888293,0.03193164200290421,-0.006593775665492229,-0.0167857656965254
CCL23,,0.025868388378251388,,,,,,
PLAT,0.004550237361529019,-0.008837342051967796,0.015430489907115678,0.0029082834120242834,-0.07786278129331485,0.029304475419877088,0.07362068690755687,0.056421718291110555
LTA,,,,,,,-0.021124051582069907,
CKLF,0.039412595801852586,0.05521834242841216,0.07121763008681066,-0.016561858602395146,-0.01958577807742829,0.002888738453535438,0.03385090010988065,0.017970297373863412
CD24,0.06705853757144012,-0.015562842796310351,0.03037861271148015,-0.04799740798967728,-0.044713761692191156,0.03312453195322216,0.033698960030763274,0.0010004995173123273
HSP90AA1,-0.021501812378272655,-0.1145111482315916,-0.08244599835757084,-0.02804280058789918,0.06772337091698415,-0.00012564677536463768,-0.10416347857372216,-0.014899282439956443
BMP4,-0.03463862384931349,-0.0613506772558249,0.14577938501105928,0.03797359455584288,-0.025877808462981215,-0.005730929010024628,0.027082902774657358,-0.0035798429872177084
SCGB3A1,-0.017865010851946136,0.008774875992900437,0.008283154605936255,-0.059121464220570706,,,-0.018143912903898333,0.08119892587496383
IGFBP4,0.006576748634066282,-0.09766664355521544,0.09118568817474035,-0.006312875851468376,0.06146543880878409,0.061555719764544076,-0.008136757235257325,-0.010962465939216534
