,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH8811Abulk
IGFL3,,,,,,-0.013794949772405163,,,
BMP1,-0.013739863742679168,0.021383065245849,-0.012111654018217139,0.04703603404777567,0.015469255263892206,0.06993715069853204,-0.05475681613438534,0.0012774477648271596,0.03218326595204434
NDP,-0.0426500024673679,-0.04143972224903264,-0.030655758065396055,-0.04666539966960468,-0.015359864557122259,0.028309083060154915,-0.026750308045327895,0.08136016748112135,-0.010619394151167697
TNFSF18,-0.030351582559353302,0.009633335933986548,,,-0.014769710292568851,0.01702414145203539,0.07890472381728149,,
IL36G,,,,,,,,0.045869753578580245,
RTN4,0.06205648703247962,-0.06592184147862616,-0.007514822502290259,0.03360153335360431,-0.0725570340626899,-0.04750990233775986,-0.003738060313740743,-0.01840121533071638,0.016716821142401
HEBP1,0.005700360240869982,-0.001832413707990492,0.04505696657626312,0.0813346376290883,-0.007253072626346464,0.0446875119152049,0.01050161154427543,0.04970752610684884,-0.01517227023434848
WNT7B,0.031235140194478858,-0.019754887933727733,0.08719996459617449,-0.00010589052023744769,0.0536559458430504,-0.05709687105426028,-0.00607669400776466,-0.022121269912062747,0.0007894010095762763
PTMA,-0.023628026329202155,0.02335038784866292,-0.054721784320121675,0.0221192049294223,0.08993531786921703,-0.06297071881862783,-0.0004199371564111383,0.08001309929193692,-0.04732379149781302
CEACAM1,0.05020349017794251,-0.015160688312634736,0.02574141161451861,0.005315789902022395,,0.002903985404126716,0.04458681238296508,,-0.016758093507756092
PDAP1,-0.03154913264775398,0.01662083312839045,-0.022675980376069983,0.034715865846284034,0.046327514957561045,0.05374240166254446,-0.05380013178361406,-0.06220833933354289,0.006939934125595158
QDPR,-0.06545806101852854,-0.007051466678165346,0.0007940820824053826,-0.05828360900864456,-0.022646453388812673,-0.028971418683987563,0.04346159997079639,0.03529633618010387,-0.055912984013715784
POMC,0.010967373380144679,0.04564222388631404,-0.039766937677581694,-0.03377706572133857,0.05481021446735096,0.011931247972048824,-0.020072235411186433,-0.026292007055813024,0.0062259751932936475
CCL18,-0.02410697697719497,,,,,,,,0.05836554221339407
CCL17,,,0.022663070101530257,,,,-0.021575053099756887,-0.01838606847229064,-0.01188905622922732
