,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF334,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,,,-0.023336749079388017,,,,-0.02187256540650857,-0.015954312838583777
BMP1,0.02337101265489905,0.03383620898882213,0.011458810822784375,-0.03193687041950839,-0.023067620362792637,0.03250727589003888,0.1565898334649899,-0.02246814387981672,0.04050919002491305,-0.059221808580795475,0.0498488777926946,0.04379230525188598
NDP,0.04770805362121896,-0.02498138327935019,0.014119070140791145,0.11433317827161327,0.025957971286304497,0.026623527330631662,0.016913870328107684,-0.009145389564140877,0.011573108123474082,-0.11230181082853717,0.045757020370965164,0.04293732467134198
TNFSF18,0.03354802166991458,0.019590789186259498,-0.012523756962237688,,,0.07739671270942974,0.04400325200478834,0.023513437624770567,,-0.02418568969143873,-0.022556790630280685,-0.02691207342034124
IL36G,,,,,,,,,-0.02212699332110227,,,
RTN4,-0.10050328241700295,0.010274214118907424,0.0024015853314910333,0.014279832417230175,0.05330681717812578,0.02374971216456068,-0.1430602206818871,-0.016924656775898512,-0.03727903840240985,0.008027863822660285,-0.040575860798047224,-0.00819272954711659
HEBP1,-0.05849833914778538,0.03619043380716605,-0.020199650071107873,0.011943760296805772,0.015365814482317922,0.04051897340542677,0.07668717182986386,0.021606344642430077,0.053623935511913544,0.07509046941167166,-0.00781340110378985,0.0009176490153623562
WNT7B,-0.049076413441404246,-0.002174318344965524,-0.026689450758565495,-0.029178703002136118,-0.018096268161187312,0.003909927865310983,-0.08041034028537063,-0.007007190640536367,-0.02432011560556812,,0.032678457141535826,0.0300577259931241
PTMA,-0.009363538840713908,0.05487428789406749,-0.08615874118255189,0.025887341859255335,-0.0379874847676673,0.01778929546388399,-0.05416408956344422,-0.005700451499845396,0.04466692643382198,-0.028270643220884555,0.006351198084809404,-0.018402390325542178
FASLG,,,,,,,,,,,,0.04598561807828506
CEACAM1,,-0.020778482886297318,-0.020482548194829003,-0.014093490980993639,-0.01992527331195659,,0.06308332813490984,0.0012095161035867042,,0.08475755986223311,0.09219984264281146,-0.019252389858758965
PDAP1,0.07164303806046536,0.04665428541374609,0.08235349754246175,-0.009278097914997075,0.04476777789040234,0.03754871937557969,0.13125502748334142,0.024286134337019878,0.003969928443679152,-0.04985628147730674,-0.029247460850492034,-0.004233248377626123
QDPR,-0.05857379254126472,0.02592586497679221,0.013696910367363138,0.0066816725588147476,-0.0011476698433743597,0.03131696529407422,-0.13490405953477028,0.021858492664511155,0.020475371087804718,0.0005938146921988888,-0.03433676486965426,-0.04253414793906078
