,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.11669913576006459,,,,,,,,,,-0.02884364531490567,,,0.11867266450215384,
BMP1,0.0355556120206766,0.17167323408810872,0.012750947731138978,0.03628355984313864,0.011791979140783771,-0.0029094571256382856,0.08416943747559431,0.13908064859627364,0.4371136805943386,0.042253725513837055,0.03955115414219298,-0.05098340127937444,0.18740541373712238,0.07478469627487429,-0.008076315780332202,0.04291890699728644,-0.049779076935648404,-0.06610610478681148,0.19606296386869412,-0.00708540600766427,0.12582539996512454,-0.0848163695267569,0.0982892423101468
NDP,0.03386895980185291,0.2829980517810368,0.05182359854798358,0.06188136131311301,-0.019248302687649828,0.14104689467032605,0.020556965537955735,-0.006673934978374524,0.11494943908402976,0.030686519482961794,0.01749592531162654,-0.006254085135042209,0.08944830379525821,0.05810807070176142,0.22541545900419627,0.08627601381347223,0.055744404400495315,0.09276087091072015,0.10450917489058266,0.10676699457481188,0.03900646609440568,0.24794806759640337,0.2423254564465023
TNFSF18,-0.06422349115617328,0.0800828197800201,-0.03911623433058223,-0.022057999089044326,,,,-0.015682681511255594,0.09857720956625574,0.0389015755181871,,,,,-0.005452379474220205,,,,0.11259641434714762,,-0.013062816821257924,0.04283703352101868,0.07096997560863247
IL36G,,,,,,,,,,,,,-0.005544604011637999,,,,,,,,,,
RTN4,-0.18277091861178169,-0.10877614252945218,0.024123347902749937,0.02572097752018489,-0.011735729184733572,0.0008515423111829879,-0.03125671038782562,-0.11516665073272712,-0.566432724927723,0.056658592883314735,-0.021143512995612405,0.03031319457048776,-0.11703687507779648,-0.0034896059486833704,0.013412040783715443,-0.12148655656262097,-0.11515179689304351,-0.13169265370998334,-0.2668843072092959,0.01964399220758804,-0.02218331993572067,-0.027700733759732237,-0.2281939436086564
HEBP1,-0.02498116840544188,0.012036068212602478,-0.03058103752253727,-0.0637086140954741,0.00812587210305677,-0.00258846925592879,0.012968367497908872,0.10484995575280259,0.14918660636084838,0.015947207473537825,0.047280284933804595,-0.044620582162077246,-0.001702495206033321,-0.055037656984114905,-0.05754380451954697,0.04375788711568636,0.04425976716731182,0.04290693314424239,0.004375259664797187,0.008008185615015803,0.02122081699277492,0.13544226072559462,0.09946969658635829
WNT7B,-0.006350664428020557,0.09458481698796097,0.05675873787403071,0.06645195631481923,-0.02744663761413518,-0.03804441031462414,0.04938939498187976,0.08829982030717615,-0.269783924338821,-0.014778407011035595,-0.02231280888480615,,-0.028385639779675526,-0.034426275895429806,,-0.023503721015174,0.0343041975914623,0.07914302987598558,0.031778557857465424,0.034840708078898636,-0.07142931442521473,-0.011311534767440252,0.08347626742409582
PTMA,-0.16322717782975585,-0.33009333822141546,0.10539715520218762,0.024047992562430974,0.03429200826872217,-0.03687396673213703,0.022192585188701288,0.14850922798415644,-0.19360889116775248,-0.00761703157047158,-0.002044099688580702,-0.04454291819329659,0.1602131473777308,0.09989572748311953,-0.20307007860769058,-0.18512388562469653,0.029244510304031402,-0.06722636898867497,-0.27690244632406225,-0.10221435258448862,0.07316418539500288,-0.2188582835894476,-0.10095289186789216
FASLG,0.045219356332190735,,,,,,,,,,,,,,,,,,,,,-0.0003498715574743361,
