,UKF255,UKF260,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01642347200220371,
BMP1,-0.011108221824748622,-0.0063803140670159585,0.10134601001173259,0.06979552599007556,-0.04199142387124296,-0.02024794799973779,0.07099460644685548
NDP,0.008136080290795543,-0.05878393856589944,0.044467932150153,0.07901228374821938,0.03298235650394094,0.04559019527325152,-0.005778656556950812
TNFSF18,,,,,,-0.027703461052319397,0.04323759846415988
RTN4,-0.052343581957338584,-0.016566246918970604,-0.08541220140861928,0.016252518410313093,0.03602256166293303,0.018847945031709126,0.031173280625475846
HEBP1,-0.003038235435993837,0.04230219389537416,0.12126485950360343,0.04007721923852161,0.051321054867968376,0.06015490057868776,-0.016277517629753088
WNT7B,0.003749771263809809,-0.07372231615126301,0.014183162340938473,-0.027914598302247733,-0.019769039522968733,0.02753621574780315,0.053584076390660255
PTMA,-0.09076562009100793,0.10670762646794824,-0.12243255002904216,0.00024379880815805137,-0.03344468275452463,-0.04465702036326795,0.12837983391448493
FASLG,,,,,,-0.014244071664562841,
CEACAM1,,-0.016010989946885924,-0.03553047523405814,-0.03573922590498448,-0.013120999046383296,-0.019818533647915228,
PDAP1,0.023470872464269387,-0.09036790591760974,0.014903977388803731,0.03754361373938985,0.0713058374754417,0.00111167983205826,0.046374504148852976
QDPR,-0.06456093382587809,-0.021955067254412028,-0.01297849439798333,0.007600557271369203,-0.0081088374798999,-0.03898369839482632,-0.11050299677068097
POMC,,-0.03221789792610581,-0.05372900716945497,0.04393634454992139,-0.0037948083778837497,-0.04136878989586909,-0.018633291377577257
CCL18,,,-0.01361500118165094,0.07414867887332942,-0.045185384174250595,,
CCL17,,,0.06644234116397454,0.010075457415866148,,-0.012910651075224957,
VEGFD,,-0.015318408668413257,,0.05548616423093048,,,
TNFSF13,,,-0.04836873938918651,-0.04810031261012689,-0.014734002526467317,-0.021036828318819232,-0.03005857346866092
WNT5A,-0.06199824735638568,-0.08945269810057588,0.05969895895777124,0.05869306120652166,-0.004038197431889311,0.0555930364806629,0.09298893211631207
CXCL8,0.16969454849606327,0.18689756449944922,0.24419308915449872,0.0993345905333662,-0.016159687678307076,0.015944166736243902,0.031117602246763
GRN,-0.0760555772613467,-0.01502650967249569,-0.012182945985368381,0.05704331615654334,-0.03858050453613763,-0.012903676489867563,0.05320627948600834
MIA,-0.011328867782763452,-0.027780714022229158,-0.0665034018982899,-0.055944151278532354,-0.023348849886478305,0.026902571483767554,0.040622890681824106
COL4A4,-0.011547604603888645,-0.07904059731844838,0.018724126535651045,0.003412619622571701,-0.026443348115474854,0.06145256517657469,0.12465011518338748
TAC1,-0.05088635709034964,-0.03813251988961261,,,0.011861953190447659,-0.016972363648640826,-0.05086730404242573
RARRES2,0.02736956710793554,0.014601455289182634,0.18244025405574463,0.09057987893849327,-0.03341294147458871,-0.00910956311527046,0.012093869037934331
FGF7,0.00013322440302652005,-0.029330297578267064,-0.07725435944740686,-0.021451451487886165,0.01845458011315471,-0.005729251436293726,-0.059670547280638225
EFNA2,,,,0.01649764642234506,,,
HBEGF,0.039255700828821544,0.11090000474922419,0.12675275145000786,0.05987812393250501,-0.016354689219492968,-0.0029849593140314446,0.08520443766063375
CSF3,0.010187721745822718,0.2356027947301206,0.22407267227595748,0.1278245388787096,-0.018810744443955293,0.04682183140209188,0.10347308814811212
PI3,0.04372404541292175,0.12421170129041138,0.2533959771258614,0.13452646116089903,-0.013497048781708198,0.029863986935909033,0.06558403619008854
