,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
CXCL8,-0.12128502148519352,-0.0027357448474292835,-0.018426369713320342,-0.13452860491733556,0.0255829212821913,-0.09021972869867641,-0.06927123822520359,-0.03697229862382388,-0.17994324830479022,-0.07380232414453028,-0.17059129710188153,-0.32830122137585616,-0.08393324577324919,-0.12164406194040764,-0.19680746611759778,0.05791496096715456
GRN,-0.07535574331225893,-0.011821545041493518,-0.013994710611853629,-0.08093983548490336,-0.18421903764680025,-0.3050008767841625,-0.005454108358023642,-0.07067228335750406,-0.31419667806897345,0.001873780266404908,-0.049763089028205997,-0.07476133893755339,-0.12890624928920819,0.08591888189908232,0.03104220032922008,-0.060520765379963266
MIA,-0.005393652966307865,0.007002078840174272,0.0028901409138987503,-0.09272441093208912,-0.06108229558659185,-0.09967115790332001,-0.04796486411190002,0.07056233079867305,,-0.04408404009969325,0.19652924744567088,0.22676273782193918,-0.03594519711481531,,-0.03420455697234689,
COL4A4,-0.05176396638669012,0.04103983473672741,-0.020952827090591174,-0.11885489914468747,-0.04605999514238273,-0.027477506795005418,0.018482060953594302,0.05526975666607657,,-0.026584665850052133,0.07231538759128524,0.041572209601570174,0.013671101809169004,,-0.06464263476597239,
TAC1,0.4037496599707552,0.11390677917291685,0.09460948814146286,0.34575106648274984,0.2697061314981242,0.4053466450044339,0.192512256378781,0.07463255162347246,0.3247171691914836,0.25258611979969864,,,-0.025082516705875777,0.06122970565581189,0.22043508550410432,0.25299979524677707
RARRES2,0.09037290157367252,0.018191809370587498,0.047321298768223705,-0.21327611909917923,-0.12305528568170777,-0.3630227505786319,0.11638483140301313,0.027287618197063875,-0.07717857405402971,-0.17877551234330513,-0.09241236818376977,-0.15364547967845782,-0.07537196292918079,-0.042881230306028445,-0.17602782007248363,-0.03631689464865465
FGF7,-0.026371523087354916,,0.0396136929375278,0.156289041259584,-0.0197721616129596,-0.06299882455337022,-0.02747505492260139,0.011117094600298276,0.03812360817280877,-0.024044469195004064,0.07968274825860866,-0.006476343866230875,0.02684504654934753,0.09545571018489137,0.0972608996391804,0.01885217383610253
EFNA2,,,,,,,,,,,,-0.002220219827641903,,,,
HBEGF,-0.07553623353452384,0.057721968337591016,-0.038131263504089664,-0.14575727259275387,-0.16262557071667327,-0.08564796178687996,-0.133230400164023,-0.03474305539744399,-0.20562848862743247,-0.04449274538632618,0.014577515208437931,0.02129401579913443,-0.07678480244558962,-0.09335538718413577,-0.12967369323221223,-0.011941035744404537
CSF3,-0.0016952560310905293,,-0.012881515282153097,-0.02507135049621191,,-0.02271730224965346,,,,,-0.08703794367744186,-0.2587640568687669,-0.005123361385245308,-0.03297463995408243,-0.08497661859887032,
PI3,-0.06132208872968336,-0.008991149307955767,-0.037168513262087255,-0.06681409391854184,,-0.02743324904014178,,,,,-0.16451123253828398,-0.3188148748402089,-0.06190794830976501,,-0.08560705271225483,
PCSK1N,0.2688029156220718,0.0074093171776122395,0.017490483331939234,0.11877452024058498,0.1580091406795415,0.20903413384748334,-0.06227499766435213,0.1105333817089277,0.49657548806272106,0.30636555283790806,0.05730463367150035,0.15758887927506826,0.09875532822042994,0.092216476686379,0.26562792339687036,0.1466340180976351
NTS,,,,-0.08371032166472563,0.07039590609044724,-0.0601321898123376,0.024428426342172592,-0.05583887908722081,-0.07555462762512022,,0.01674504292116773,0.07309396997213156,0.12957852096240335,,,
SFRP1,0.1606370512832587,0.01687700442328044,-0.02278447482212281,0.17492677520716862,-0.08173487621341821,-0.0432193203694306,-0.04236717911151981,0.03544592644682533,-0.11525918627710566,-0.02351243912556916,0.10368855013977449,0.04854032008090148,0.07559862405257084,-0.052383901421432864,0.03509702464262211,0.0011285193266419584
CXCL13,,,,0.016624783434476348,,,,,,,0.009322549595412058,-0.058293461140180636,0.011366316719970657,,-0.03982313528243479,
MICA,-0.05475651120530676,0.0005984642492841756,-0.04251106483491724,-0.01959226777974765,-0.040693924881304085,-0.09072285505473628,0.03239516793711271,-0.02304546327211783,-0.029709060192614045,-0.10570229009369893,0.0070246679086993155,0.03437938478464061,0.03632974754249562,0.012517530603623353,-0.03058774310269033,0.007714170967501345
TG,-0.012598935828232688,0.06592439916548624,-0.024588058174103738,-0.018689590456194515,0.04773758109285308,0.002460249200072195,0.09554298529077057,-0.024325233359311235,,-0.011161672233464036,0.0646473919309283,0.07204980742294956,-0.016893763934573307,,-0.008304973677265959,
ADA,0.07426700236139946,-0.005897727610519108,0.008548932117654754,-0.007027589510297472,-0.050308884316241,-0.20854380990712398,-0.02612013756179309,-0.002574603983178166,-0.20298177960827005,-0.04454212148432401,0.08495182823079221,0.06901556386315981,-0.044024871977035744,-0.04159014783664587,0.05682427043822958,0.24144380142386637
LAMC3,0.026732042163471827,0.027234302761114628,-0.018701333670543763,0.03528598859238138,-0.09329627485485262,-0.1554395413459194,-0.038413409186955454,-0.05068666105163893,-0.05834744675401031,-0.008072526664355711,-0.0009192407175897178,0.04386221661376566,-0.013213735422795435,0.018113465175111008,0.07010488547990827,0.010190808282644584
CCL7,,0.033677531713613644,-0.017777126774815882,-0.04408893975627797,,,,,,,0.01148176081515359,,,,-0.09309569770519309,
NGF,-0.0298226688929688,0.03436491814715894,0.066576428724921,-0.007057378456317158,0.03323910693618385,,,,0.13546245594715747,,0.004996647433460607,0.041570951426115096,-0.054996126099398204,,0.0007412684007766163,
TNFSF15,-0.005724798595866554,,-0.019795700131890297,-0.018855068101551346,0.011008812469314693,,,,,,-0.014648815559757075,,-0.004596708594146433,,-0.020816122378718264,
HMGB1,0.11840316483703216,0.02188641075787119,0.0575876827989505,-0.00989901492117378,-0.15659080164180256,-0.27524471083215923,0.059322878024307246,-0.01645843107239883,-0.1620075575986083,-0.023937780671402398,-0.07738261894472546,-0.012329260919491852,0.005244086820987066,-0.02783909931533601,0.07994743366280398,0.030148071562565805
ITGB3BP,-0.17621617694558311,0.002456852178215231,0.07817619487614758,-0.026334455049536354,-0.14051849064399735,-0.2193986625279808,0.011046995456799283,-0.05411632586791763,0.009772524064894927,-0.16145133236196563,0.005309343180664122,-0.016709539927794868,-0.0716413709802311,-0.02165581968215672,-0.04880772743637318,0.10768819402825529
AANAT,-0.0314966636760459,-0.006563354572444001,-0.01801206446658441,0.0006288427532630864,,-0.012722614356261295,-0.04039970206567265,0.05299972348231965,-0.05280392179898907,-0.00235474953233938,-0.01630123330964977,0.045332965185937546,,,0.02313953002310573,
RELN,-0.0032636101931299666,-0.04494594936654879,-0.02153821924225898,0.08326385216127576,0.05652038118141792,0.14057592893176812,0.04420015004044581,0.07256907313616881,0.09861378811970994,0.09230918640320512,,,-0.04081439357221236,-0.013881691668049555,0.07306663958953863,-0.029253907674038217
IL15,-0.015216887160312293,-0.015869044594701,-0.005115500990556637,0.02615055286644619,0.08335617181302123,-0.11089390423476625,0.0011111773476642094,0.014197720150831407,-0.08021577585892777,-0.037365519393799854,0.019715007257524498,0.04546679924885535,0.04149052341253682,0.019122652777588598,-0.052098423884482284,
UTS2,,,,,,-0.1376149038695095,,,,,0.03628033698825359,,,,,
BSG,-0.12177370150380039,0.04695945473535448,-0.04271642899591863,-0.06984181574760082,-0.06470817934298938,0.1583469834911124,-0.07725182656538615,0.0438731756176912,0.2795169942222114,-0.21056460978722102,-0.007951041953143152,-0.07704495793731699,-0.08603484840477714,0.003679450556763487,-0.06880486395484646,0.16249303723473385
ADAMTS3,-0.057533395463987835,-0.006301427810735875,0.018788184590195742,0.031274058586771264,0.03774887971494518,-0.2990116744966607,0.00010958920289110466,-0.0003128987560444689,0.06871627600492904,0.04101182282457845,0.06897301777479659,0.12805439238518337,0.054506119864041504,-0.04898642354721992,0.016616391130721567,
CD34,0.0782607387395316,-0.006980292978722244,0.01226572859952306,0.04628761320815313,-0.07487055607310796,-0.11177260171801744,0.0028651648598144778,0.024367616774269445,-0.006381393314183616,0.045911229104610554,0.042619975460608896,0.09739787832751555,-0.013465322067449869,-0.01153667918173744,-0.004086218444992757,0.004941671268383929
CCL23,,,,,,-0.050212734906512485,,,,,,,,,,
PLAT,0.04824488423630227,0.06395008507791894,-0.005639684162613884,-0.015077620358204468,-0.2337678376576187,-0.29353012533736855,-0.1477589323549202,0.013958119070524914,-0.01783165649360408,-0.12490621799308392,0.16552286324404533,0.2527388582902502,-0.03389527513268213,-0.044889802631704806,0.05471594261141878,-0.05150219528637322
NTF3,,,,,,,,0.05326149865995795,,,0.17660367038051072,0.29554205759630214,0.15442264937957376,,,
LTA,,,-0.010092428918620496,,,,-0.0389091233966566,,,-0.037365524006217,,,,,,
CKLF,0.002679478910456588,-0.04357256616043326,0.021138820719760205,-0.037808149104746946,-0.2067409350810002,-0.3350848728250196,-0.05749295498014112,-0.061067797451868716,-0.1869137170282698,-0.2026992513195803,0.1275240500080242,0.19088576157886952,0.0008117246584418412,0.017217591981659616,-0.027998555518812772,-0.012182245860732441
