,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,ZH1019T1,ZH916T1
IGFL3,,,,,-0.020044170564437257,,,,-0.017544617942190994
BMP1,-0.06492820609458662,-0.015480770764418485,0.07466673110395185,-0.03777012464190202,0.08953900007249174,-0.021288849453353135,-0.00036505023941863434,0.04138650952110196,0.07844645723039877
NDP,0.017807149077207714,-0.02358695462330077,-0.025506292567991626,0.014229347916454714,0.021289790902061137,-0.008734345487417947,-0.0403704833704434,-0.10411215933018043,-0.03885660660891537
TNFSF18,-0.02723213112352285,0.012221672496078648,,,0.11374482955292155,-0.016503115869134655,,-0.030697329447189656,0.040251263563745185
RTN4,0.01827494083336592,-0.016528672809366513,0.05854692720072125,-0.014993778136521784,-0.1718415041010055,-0.033670576501655315,-0.04439896208167685,0.011257221372004569,0.004010904141819415
HEBP1,0.03550115457017591,0.006140737136376353,0.017309505784034323,0.01511710709893877,0.047646583361411476,-6.403931981136098e-06,-0.0036680958201692772,-0.009016275028885967,0.008475751166118943
WNT7B,-0.02237574495352534,-0.01975488554847107,-0.006302623185113632,0.006801245102961876,-0.0784347034599114,0.004404250169650655,-0.014137971097789444,,0.02000553528857325
PTMA,0.02182130248598375,0.029810299297612128,0.04621574689036723,0.03889609107902874,-0.046991156830348935,-0.012893907493652405,0.02094299876856799,0.024714710305900486,0.08442656176097284
FASLG,,,,,,,,,0.01176614355483948
CEACAM1,-0.01733250514458667,-0.015160686482093712,,-0.0255222840644833,0.0004582361086718625,0.016164238505636714,,-0.035261439027004855,0.018565114597615714
PDAP1,0.0015023850924772363,0.015109952839406736,0.005092052111563548,0.039473005358312885,0.0815754208039319,0.01315927161777942,0.005657443880911859,0.041966751104878235,-0.04742125698527505
QDPR,-0.02159572904646806,0.039549622474225846,0.02512006149285156,-0.007851862717416556,-0.12565568738831445,-0.003236207577173977,0.024927801623925393,-0.06467423078875717,-0.012662782334227568
POMC,0.030760947268422614,-0.026938121103378152,,-0.023325935099611138,-0.003822968128676322,-0.004426419467304728,-0.02300651025555011,0.03718623833341663,0.013512866720255373
CCL18,-0.021629328775557188,,,,,,,,
CCL17,,,,-0.023756672283112693,,-0.020582598546778224,0.06551168311556703,,-0.013791994802887331
VEGFD,-0.021629335643882128,-0.006707858306556288,,-0.0264675563660671,0.01204038961578917,-0.00919787420275636,-0.012835614392166662,-0.04793715364410979,
TNFSF13,-0.01632219075818291,,,0.0008143907546858229,,,,,-0.02247290436027313
WNT5A,0.02050326955264938,0.014568508919123676,0.042628728849062644,-0.005577871348280224,0.09448590699662247,-0.005174343902618458,0.03323208656464934,-0.03710436427685082,0.10934324247951173
CXCL8,0.03497505105326324,0.01256747419006957,-0.06941499135892364,0.03121939226427931,0.06406806965597894,0.0387954228909538,-0.011953082233053922,0.13333109413004696,-0.04746769263085485
GRN,-0.03685910647523952,-0.028069023300789767,-0.002612196983830927,-0.03250963414706987,0.13269910553152336,-0.06890903786527516,0.06919582519520542,0.08681091358852491,0.03299729466922656
MIA,0.02136091468165862,-0.019311483767716246,-0.035389456480349454,-0.025390349290496262,0.07437302299034465,-0.018274261589594536,-0.014597808215868402,0.14604046637374155,-0.008015983706711374
