,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.01951541876667834,,,,,,,-0.016113802919762416,
BMP1,-0.02503319275773416,0.019639515449686465,0.012623937906699897,-0.02075663788993348,0.01860584602506499,-0.06949382971505695,0.02475265557910473,0.0319286840841768,-0.001528700633265359,-0.052965945155954326,0.05142624656879814,0.10400326889775464,-0.002947803525315052,-0.0828114249217059
NDP,-0.01989141370943308,-0.04353529534801597,0.031926838266578494,0.04231216080260669,0.08542526332321257,-0.051013377121375034,-0.02095283052236175,0.0020268733023611455,-0.00919162511205873,-0.02571866463138325,0.025033507349672142,-0.009820302146442968,0.047372123321281934,0.15475927453108598
TNFSF18,-0.023342122248864394,-0.027397730659186343,,,-0.02477131804447923,-0.0013801265057739414,0.07740249794587639,,,,0.05174644275754811,,-0.016617880525826557,-0.028861148393898486
IL36G,,,,,,,,,,0.00780886612803587,,,,
RTN4,0.00023776769154132697,-0.03881203592187906,-0.026055230162348897,0.054661971467938046,0.08637702955470243,0.05160866020358528,0.013624215515158914,-0.0004008001424655973,0.1243600341693177,0.1034539442274103,0.06525750457573702,0.08450996051558868,-0.05539801001717722,0.0977666088736299
HEBP1,0.04686283924831103,0.02353463043013018,-0.00959768449643529,0.008847700017711116,-0.04994153366384482,0.006417401515826724,0.00923406511768923,0.0009381514199709192,-0.05816280034355248,-0.03369277653852254,-0.028883225452860643,-0.028730451259943713,0.02846850416719851,0.0412096875376169
WNT7B,0.050407439445409624,0.03979818806895424,-0.02242341221568806,0.01091172812102225,0.042393478413274364,0.11465064306299913,-0.01861485083760752,-0.013194807771521546,,0.06520084576575567,,-0.029991906094799996,0.10338486603516167,0.07938880974764367
PTMA,-0.08908808906941304,-0.01263450781751868,-0.03740959581020062,-0.07166512799949674,-0.08820615057601155,0.016730692760083658,0.017435531512439907,-0.018804003354293365,-0.13158874477664403,-0.07488817612873021,-0.020012185916410154,-0.006678071068083559,-0.038092379315247435,-0.09920140470209184
CEACAM1,-0.021814463755612874,-0.013060768008625765,0.00910401915648633,-0.01788904285167204,,0.0024937203062677027,0.05700233744621004,,,,-0.03014970617067895,0.1816903331610587,0.06134156848223083,
PDAP1,-0.009683854624642127,-0.017882369143276816,0.01723648064512487,-0.036245524743489146,-0.014556459136284809,-0.044312587070700266,0.010286381030773202,-0.011758884623246719,0.03487160217118539,-0.07279342346705032,0.1355071050229189,-0.01135829883410733,-0.029203839471172312,0.034468200414461025
QDPR,0.03670965309343334,0.0023777373174233983,0.06636965639379358,0.06371052469524734,0.02006935059186012,-0.04123589039024056,-0.013630505165874204,0.016987602241877953,-0.12276426616344924,0.006073745357556291,0.05101529767223976,-0.030008771883161735,0.011483409422892986,0.11934409313366255
