,ZH8812bulk,ZH916inf
IGFL3,-0.01660307221009506,
BMP1,-0.05784420382112432,0.06638742679158724
NDP,-0.0016221242223466048,-0.11582937571388144
TNFSF18,-0.017122455308836482,
RTN4,0.009009251662865134,-0.019271200497953438
HEBP1,-0.023089254896739693,-0.0555305455114552
WNT7B,0.06152515545916317,0.017649181991398033
PTMA,0.034745732391748996,-0.09114401850187048
CEACAM1,-0.02460318067026859,
PDAP1,-0.03319020600680878,-0.015106059102712822
QDPR,0.031658348609951155,0.0313898620651646
POMC,-0.0316014789188619,-0.06180808974687795
CCL17,-0.021890191632227007,
VEGFD,-0.0009516116293092312,
TNFSF13,-0.02347439961789538,
WNT5A,0.0939136794364886,-0.04611789539131747
CXCL8,0.020010865419783273,0.137554373156764
GRN,-0.023934002491761624,0.012323636889069768
MIA,-0.03401033790890601,
COL4A4,-0.03372007071523806,
TAC1,,-0.00625828972413036
RARRES2,0.018130147152222137,-0.0037883372287282487
FGF7,0.07600300163147844,-0.039372912957783654
HBEGF,-0.010392875220926972,0.06147810431432559
PI3,-0.018599288001174025,
PCSK1N,0.06881331834096735,0.05214147729047414
SFRP1,-0.036511349195578864,0.008686822930632176
MICA,0.04641125500318469,0.0419361994800461
ADA,0.04267020422215887,0.010460942304184614
LAMC3,0.12695622890154495,0.009433366332448978
HMGB1,-0.01967544979962231,-0.03692931836383705
ITGB3BP,0.06808838932994003,0.05650257088677704
AANAT,-0.008681045180101044,
RELN,-0.033862039305342324,-0.033257890125170754
IL15,-0.0337200664420154,
BSG,0.008529097666434048,0.13439696190679212
ADAMTS3,-0.041954749656853474,
CD34,0.0027547765598514404,-0.03767242420767481
PLAT,0.001085372789072515,-0.12059973813133809
CKLF,0.09611762727561493,-0.044563328211179414
CD24,0.03533410606512918,0.22887374897797766
HSP90AA1,-0.07076238748646048,0.061304310932273856
BMP4,0.010787812368134468,
IGFBP4,0.01786446854566185,-0.06392081912170396
LEFTY2,-0.04236159483188861,
ANGPTL2,-0.04279198414237177,0.010551890546528086
LRIG2,-0.07919861651033147,-0.03648072634233449
ICOSLG,0.038427103029510724,0.03163691309094597
WIF1,,0.04919428961904516
NPPC,-0.025688617229723355,0.05192436722037457
LYZ,-0.038461818899973674,-0.0446075395803257
SPTAN1,-0.003590272308322785,-0.04574467401950977
LIPC,-0.03153148181811735,
COL8A1,-0.0016664394333991948,
GSTM2,-0.04538929474394614,
SPX,0.03080278716638037,-0.008496909902787236
MFGE8,0.004832953287004044,0.11192725991028485
TGFA,-0.04480813605566135,0.0327832191411917
SLIT2,-0.038192665788394774,-0.00030946861337382994
PLTP,-0.0288087833648736,0.033417006470682284
APOD,-0.020518850125042832,-0.027743540222998547
B2M,0.006363069241139909,0.04933034925070419
OMG,0.0005721481198769944,-0.014609530096570842
CXCL3,-0.0190679637282422,
CXCL10,-0.02568861443650916,
RSPO3,,-0.03155906592181699
CORT,,0.1117258877693843
NCAN,-0.06823326463375855,0.021236252608532603
TGM2,0.06491345665078203,0.09591894023425124
VEGFC,-0.0055807823069635365,
NRG4,-0.020195856284672745,
COL9A1,-0.0649029666537506,-0.0062112108404687736
GDF11,0.022286035657157324,0.18001853412008528
SORBS1,-0.008712192535338914,-0.10456311421020002
DLL1,-0.07988343844596853,-0.09006682221405159
TLN1,0.0374891084826704,-0.04919719096603295
SHH,0.016970202304296342,
PON2,0.024461139117947193,0.04837542593792406
ICAM5,,0.07956641838827697
HPX,-0.0075479577200055535,
