,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH881inf,ZH916T1
IGFL3,,,,-0.014513724260411373,,,,,,,-0.018186160846528018
BMP1,-0.023894129178554633,0.009608331363447685,0.013960820733559871,0.04729277110786974,0.006489473479443951,0.014547123172455309,-0.02286535413444371,0.09206174268263488,0.09078841435035685,-0.0405966344651957,-0.020982501159971644
NDP,0.050865165987599555,0.008880208666665137,0.07517209065572138,-0.02150181655301545,-0.00794842476519805,0.03985093898622505,0.013433257773052132,-0.006874154970811056,-0.08674399484601282,0.011733920606671838,0.0920756292595508
TNFSF18,,,-0.01724036985286243,0.015806602570345406,-0.023078298456959835,,,,-0.05292235507723553,0.02989056195137251,0.027028069693725964
RTN4,0.047037210281074535,-0.029117774521496192,0.032831640417622085,-0.10735818148079045,0.016029777698476223,-0.14853155619130753,0.06119966014703747,-0.02732996617369386,-0.040927105752202535,0.028452582658651342,-0.10170465504746079
HEBP1,-0.024955927289687173,0.08123346172437337,0.05514557163992486,0.04557681920559372,0.019177377180751114,-0.00834866657391229,-0.004678461880849461,0.00039255112270590744,0.09615512618025533,-0.030991561452103727,0.11015947446774065
WNT7B,-0.02860435138146324,0.021015589919741118,0.014085792023282617,-0.009558028584464544,-0.0557349192663222,-0.031922834398832235,,0.00517859906513957,,-0.03214805902795456,0.007647029335802901
PTMA,0.0622458138074443,-0.004395905470634529,-0.053054629747081826,-0.013168840452819679,0.05146124807112821,0.11126928507585486,-0.010213268916009832,0.08750411160512825,0.08185964174829118,-0.0704607319154359,-0.08507361367119885
FASLG,,,,,,,,,,,-0.015772851097895328
CEACAM1,0.019864142671015092,-0.02802302250620631,,-0.02836178983813323,-0.006507459403377837,,,,-0.03721339730356243,,-0.02194560569256929
PDAP1,-0.03632281084499482,0.038097237990491056,-0.011816983499485848,0.04912549232840826,0.028816940651052964,0.03692108528403512,0.029515217121263166,0.10408209473670926,-0.019325523059396325,-0.035034392147600804,-0.01939634366252784
QDPR,-0.016011047385571617,0.0010415256265808514,0.10226243623896897,-0.05091268007962838,0.04507800302296883,-0.07453592387580406,0.011024515085682345,0.0801231613180255,0.027234451231211113,0.05595263699210077,0.06553305611111913
POMC,-0.020586702141552022,0.017936070831466484,0.005378695251812645,-0.0037200922959785476,0.01466564786832992,0.005702470943931281,0.002326459508637136,0.003905017412889012,-0.04433835410721869,,-0.011835286088924195
CCL18,,,,,,,-0.04504834072297211,0.04630722850895391,,,
CCL17,0.011040435117475182,,,,-0.009033283768315794,0.02369600104647402,,,,,-0.014296317919617486
VEGFD,0.032551371474927905,-0.01331385771994748,,0.10198368368718037,0.004594113769013115,-0.053548295210357325,0.07625589163426082,-0.017992956540175766,-0.013913609950040335,,
TNFSF13,-0.013205444292902605,,-0.016719562213244155,,,,,,,,-0.0049364248553082244
WNT5A,-0.008837487461487829,0.03267714542559452,0.0020869721450450865,0.06965759023186473,0.006269775575252151,0.050703916812350855,0.04599670147845323,0.05119904474656058,0.03002507653608869,0.008553524367850172,0.0024619644523575105
CXCL8,0.005764519014985383,-0.05207449149876971,-0.023782492831652766,0.016006306389915424,-0.05877574168811756,-0.015171438413768825,-0.030127513889954105,-0.030057894356210653,-0.0353075080497311,-0.09014827631604548,-0.04438407185031909
GRN,-0.030923573059945725,0.07712516677522514,-0.03080609249844682,0.05028320286526682,-0.01875233143180554,0.06649866116111502,0.011949122638994083,0.03597723830591932,0.05160756064659399,0.013117487545024186,-0.10113208141800227
MIA,0.0019681333948202676,-0.0009544647485354241,0.10538330505533007,0.01731185685753747,-0.035671322626231024,0.03301836579532755,,0.00641500465202462,-0.08023922845390052,,0.02271264590170349
COL4A4,0.06615371515207277,0.04897872770723783,0.006898318435763697,0.039821963086574784,-0.03005047967520259,0.03857218624315792,,,0.012854373391992946,,-0.041983791492877134
TAC1,-0.019919886562529937,-0.04918587514135371,0.051192388825409996,-0.0007709883768297295,0.03045249512350203,-0.07633258792067592,0.04709169245628627,,,0.19464405884663702,-0.01879396361613006
RARRES2,-0.0354006056706753,0.027937556995058087,-0.02729052317045725,0.08436214296054295,0.0961307431499498,0.03484004306144572,-0.0013569031114125368,-0.07006054601780472,-0.07007876119752401,0.0635138969526199,0.050129564270160486
FGF7,0.05072935238786576,-0.03673957345807822,0.05578291492478539,0.056364587673650844,0.004592435460891187,0.006860112244067181,0.015983067084204963,0.024401525529701977,-0.07124903997986438,0.00012777408526651392,0.07483530838398901
HBEGF,0.013240495396416804,0.03771255216991077,-0.009993537850518104,0.037673349170809264,-0.003926915989421507,-0.008164964913049008,0.023713566335008276,0.05379246859197708,0.022865107998443154,0.05172734237303901,-0.13959163366796315
CSF3,0.015875111279186914,-0.028717520852665584,,-0.015131450174450889,,,,-0.027031290731925756,,0.07962123632404239,-0.015051817302009465
PI3,-0.003066795159080702,-0.05433342368229002,,-0.017038212609956895,,,,,,,-0.032702598521185455
PCSK1N,0.04748833578311247,-0.049156087933988214,0.04866110526494314,-0.06268323410225743,-0.04505484809484541,-0.12316421984438221,-0.04060372768886351,0.06369887983374793,-0.011309467284074072,0.08850843161797789,0.08591764895369138
NTS,,0.06553177377046386,-0.01941996173197224,-0.01859837244719297,0.016064242955278044,0.06908548633313304,0.00991118126572604,,,,0.034426979039949054
SFRP1,-0.016704312028031222,0.08249529362784425,-0.005020346044331545,0.04679700774432005,0.009333604006645357,-0.013871449672312476,0.03366626717088541,0.07887619067310017,0.04616815307004251,-0.10000735122034399,-0.021771733038805814
CXCL13,,-0.030311638797360575,,,,,,-0.01722442472405789,,,
MICA,-0.023736172644839033,0.00709203464614524,0.027010316408837127,0.0023761466474628745,0.011484831358553596,0.014045137664109395,0.05180827013453788,-0.04785963280846492,-0.0644280645704441,0.042809589520989115,-0.011668047507095955
TG,0.014557168222835117,0.16036697691038246,0.029566868168827604,-0.0182623065803507,0.022183944805153545,0.012745076361161714,,0.003232438697485607,0.08154689009752325,,-0.02935391475836639
ADA,-0.021152989896100205,-0.01735447544350606,0.15208066646127558,0.014421861104964693,-0.004121463122657521,0.0031194838588855323,0.004501916957432621,-0.009625810005442208,-0.052204909116574306,-0.03363612808178565,-0.010781864206456337
LAMC3,-0.04328990541127005,0.07293563095919604,0.013143875380178492,0.025522046339675888,-0.023866496410029185,0.00431187815423548,-0.02107755342918132,0.02643554251682799,0.035307118022722135,-0.05679512441536898,-0.055761943795128714
CCL7,-0.01303320242957989,0.005568348154962709,,,,,,,,,-0.015772845489257743
NGF,-0.009202894359774198,-0.02632219971682895,0.046273888893290746,,,,0.04683523537809518,-0.008223149621752053,0.04663643405815604,,-0.04722342400881978
TNFSF15,0.025100644969827685,-0.029754789835430076,-0.02597292983017166,,,,,-0.017214057255557157,0.012221875751729224,,-0.041674588585113394
HMGB1,-0.02565306104370962,0.03837597891553494,-0.02949126898224122,0.07065147733944857,-0.012661771121105796,0.04133075014731422,0.060467086151265385,0.08887656939499786,-0.07728778868292394,0.01760384003377818,0.08533739285512254
ITGB3BP,0.048575464693494184,0.04004432778015066,0.007700347591264911,0.02775687048296396,0.01085909315631778,0.08225181074875534,0.016547887384177888,0.08425186887693784,-0.018980298512545197,-0.009679976151840127,0.05337333721568888
AANAT,-0.01320544570229454,0.043448851990188296,,-0.013648977543457359,-0.026077994975704614,-0.05703377092580713,-0.026447325503544415,,,,-0.01668832828964795
RELN,-0.022921696445095632,0.009267576099377482,0.055155600122429364,0.025319690946568642,0.049536851483937966,0.035479987129899554,0.019660564134414638,,0.04464978088059606,0.027050168439152332,
IL15,-0.03032932270157311,-0.0012381682379567225,-0.01848128364700366,0.020652246608199847,0.04105961847943799,-0.011152400029039418,-0.014262693217463858,-0.04047687485258429,0.07784253241575499,-0.030559581781159265,-0.03177193841346303
UTS2,,,,0.061929715669718916,,,,,,,
BSG,-0.015799890370123252,-0.1009322976159091,0.06311264249346023,-0.032141933017902205,-0.11671728549644361,0.0366162894042674,0.034535038941176745,-0.060984172205107615,-0.0450355943373927,-0.06858518030226145,-0.028000070106831584
ADAMTS3,0.019024069754777766,0.016693984726880776,-0.016807961903492808,0.05416547949546603,-0.06342584964148536,0.03832948923360671,0.010574302381628039,-0.03377319913836559,,-0.03513457989881842,-0.0004539517971026397
CD34,-0.002567691577344905,0.012925526126693893,0.028389255328132204,0.0360451603800228,-0.022222708202444943,-0.01941442750279984,-0.011060058338731917,0.07720584584968986,-0.019733195631691142,-0.0671059269647578,-0.024531828478667993
CCL23,,,,-0.015530369811875352,,,,,,,
PLAT,0.0332365259601182,-0.01956989234616414,-0.0353452583496918,0.04409734201567368,-0.03501015030762516,-0.001517387117685615,-0.028586600115542673,0.03419071577797737,0.05380710755451296,-0.05310799181199041,-0.07777247361755364
NTF3,,,,,,-0.05648826131450885,,0.05092108740821069,,,
LTA,-0.01670431124657725,,,,-0.01387342097705313,,,,,,-0.022459974886432886
CKLF,0.007351010976729386,0.028070925523284246,-0.029040731657048142,0.0751621733966464,0.02200104602387272,0.05332379311575324,0.0586332232767571,0.06647809659912901,0.004796481112929266,-0.07312625421077737,0.04722156754016856
APELA,,,,,,,,0.04243325836455462,,,
CD24,-0.002990113314949843,0.061792099607677294,0.09460561124960394,0.023384638785983246,0.11404094217186746,0.1746293572933484,-0.010412336207197915,0.1591007216156005,-0.03788807371175567,0.16266060943518879,-0.02291531796926971
HSP90AA1,-0.0350803255148231,-0.06599814400644237,0.09787182822542692,-0.09135960926378903,0.020881166946059328,-0.00390385672658125,-0.029947779800733987,0.011049559669820954,0.0920651911992692,0.015807554672756723,-0.009430648960210251
BMP4,-0.03897316340797694,-0.007140586517040188,0.05724809473820388,-0.021946715551122802,-0.04767386811780177,0.04735553945969374,-0.04218405805537796,0.007598990758078081,0.10083123563839186,,-0.015648172923246367
SCGB3A1,,-0.03192840678476975,-0.02359168544117852,,,0.019829683824051016,-0.046554694117375894,0.007365307152031145,0.0678873721259009,,-0.033071440001624264
IGFBP4,-0.07427147378303484,0.005916491284786911,-0.044939687941012586,0.029439881149574167,0.019333066468078964,-0.004456944838417298,0.0010761139964694214,0.08991308565659671,0.0019115285162366346,0.01642114124711182,-0.10432961573246465
