,MGH258,UKF251,UKF259,UKF260,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.015863880511360052,,-0.038822421450791476,
BMP1,-0.06196809175453309,0.04005081754974356,0.006195646341731557,0.013014376215339978,0.0042837641093366645,-0.030872101792828042,-0.03262952366192716,0.08260371902587907,0.023136357455209283,0.014002926689694953,0.05275950389849234,0.0017518478546022895,0.04960321262658851,0.10991810940815629,0.07456753866404298
NDP,-0.06019108217448365,0.05094407305041177,-0.05058124311444766,-0.02457038620409597,-0.001671035651707354,-0.0009971078598767769,0.023943604233146298,0.06753613398978031,0.01236010415646469,0.07753508791534156,0.0661670103904413,0.005707218199976127,-0.06013005561286108,-0.02132513985270487,-0.020139893452147485
TNFSF18,-0.01927998481725503,0.0955335543166425,,,-0.019068247780660356,,,,0.026414281214901913,,,-0.016360139957430762,,0.026567836224069167,-0.01037842115040401
IL36G,,,,,,,,0.13093886615172637,,,,,,,
RTN4,0.06817469419694856,0.017287072289496767,-0.015607072893005412,-0.05440174040867266,-0.010895011947388103,0.0015721712375748069,-0.043389679077606526,-0.09983815756336552,-0.06465986200269615,-0.08107959356602205,-0.020191873875880496,0.0019894519118335867,0.07542843487596097,-0.02882282671139191,-0.062627442301423
HEBP1,0.037969530150006196,0.016228665453621706,-0.016612514940874706,-0.011910982353905043,-0.04033239617812318,0.007753578631662405,-0.00886279545875205,0.04443816788711177,0.011977838132633931,0.027774320489572686,-0.004115516280271104,0.03492536039212059,0.06149700372897992,0.01493114649758844,-0.013932913932169727
WNT7B,-0.016985062758084944,0.0479564188777889,0.04898584448034028,-0.009182916039076765,-0.0022904774074319384,0.07261722338529993,0.03622849725503501,-0.03010984429124627,,0.09922729467492003,-0.026416373694983696,0.026837978901593243,-0.005678900652479241,-0.002348886553700424,-0.036904021209461006
PTMA,-0.06239907292562326,0.08877447162741034,-0.005673979814912294,0.019753754905285675,-0.0479235049484641,0.04090059771013174,-0.03653177158803076,0.13426728187606912,0.07760718676691832,-0.07054265647428397,-0.056609612826174244,0.016754978083987807,-0.021418607003472378,0.0920773298258465,0.017142524559532947
FASLG,-0.016985067559718677,,,,,,,,,,,,,0.019465130284972133,
CEACAM1,0.017665171819326506,9.522563629573246e-05,0.1047478429807823,0.026215263680719397,-0.001653491249823424,,,,0.06286483849986388,0.008892718340061402,0.060568950899060926,-0.02350781309709846,-0.014826660010939217,0.012764800796644,
PDAP1,-0.07989632407931604,-0.03005598199160539,0.01017032740754677,0.017664259709909022,-0.04193895810969112,-0.048188094890929886,0.001114141030263345,0.08571856806582553,0.059257379052347264,0.030678004887418172,0.022613406744355184,-0.011842356825670803,0.02425547278110785,-0.02172496902344036,-0.018894640265307336
QDPR,0.03775228651689155,-0.007348085175212772,-0.00585664159958765,-0.043495521740205,0.004203055639512048,0.07044582781398671,-0.008859652525166527,0.07046104040357284,0.03279633449646224,-0.07208788001124639,0.016967236808772653,-0.003661627163430619,-0.029608931348866947,-0.0035015938469593194,-0.0605136215407595
POMC,-0.02381903218880916,0.0190836684847842,0.04645782820702438,-0.012800231642633591,-0.009262588053046621,-0.002494722385878236,0.008581478248711931,-0.07123098070502956,0.0013116298858501226,-0.07937645411917535,0.03114149924332558,-0.0011641249271926875,0.022642284240515204,0.02063208371830362,0.06967927541181279
CCL18,,,,,,,0.024892262300030138,,,0.057646598058856795,0.019346212118520733,,-0.04369045373343814,,
CCL17,,,-0.010333012239932616,,0.034282873856967086,-0.019492580795523257,,-0.02243466961246023,,,0.09909988733134786,0.003971381506509341,,0.03931847688206524,
VEGFD,,-0.00034409695798037976,0.05114580357501161,-0.016418598881037135,-0.014665029164125506,-0.014298043745590799,-0.0007682062265917363,0.003411018639927803,0.023166119985228897,,,-0.022059513042292627,,,
TNFSF13,,,-0.024530430346220822,,,,,,,,-0.029025030629084153,-0.02242928693569033,0.07497313591121997,0.061981508727451236,0.11500336649124213
WNT5A,-0.04942292004859154,0.04333852036119534,-0.012173287643552631,-0.060386767298702335,0.05281071295911509,-0.004885780482657182,0.029125105000200987,0.08573183587400054,0.01707880086462064,0.02830382583084382,0.01429700922487799,-0.011819528008745948,0.056651775684266395,0.0855408627019297,0.06894182000479424
CXCL8,,-0.024141450143922664,0.07318905370259839,0.10652214773926372,6.512114325857192e-05,-0.013314960035504784,-0.02720207988691433,-0.029538007413310186,0.06079694365853919,-0.007109591347202127,0.0007103424064462802,0.04319048720951861,-0.012502748774984264,-0.005848476916893689,0.016319906982812236
GRN,0.06578923431892807,0.0015992818319134723,-0.058470128852972855,-0.03156397466036781,0.019280051597457167,-0.007547547219863449,-0.03418206410194809,0.09102966667428342,0.04763285980601563,0.02381591378876245,0.03140746511072732,0.03332112702033251,0.0009354834251280705,0.11504159380637777,0.004204805770344471
MIA,-0.022231988437019522,0.034396887477575265,0.03165334395437634,0.07394159115450603,-0.00933318074540324,-0.016261013620634257,-0.031241915294450417,-0.00036433836172255764,-0.05792622389717709,0.011159852382241084,-0.009364341337365849,-0.021168136829194082,0.03348489307401095,-0.03903997330101157,0.0822392399424121
COL4A4,-0.019670777853612296,0.00626296740347444,0.01607433406906046,-0.03979299883627358,-0.024828953202208695,-0.016616481360899035,,0.11673703132770315,-0.01772047639339598,-0.043159368013904416,0.10949064193797513,0.03477200170963985,-0.02988084449004865,0.0900750233555954,0.0011376068463533487
TAC1,-0.016985058318842283,-0.01920460148141571,0.04885641696826682,-0.050753348786857715,-0.057311382984917905,-0.052120369590663206,,-0.11915013321484333,,,,,-0.02558021237472765,0.04664404719912805,-0.01128287730963332
RARRES2,-0.016028670850200877,0.035476789973002104,-0.05177029488943544,0.03821956142532687,0.03415800817008163,0.030783199083065493,0.011471584214454598,0.08402200993492578,0.01569778651087412,0.13451860499752058,0.035909444925469006,0.02545627323158144,0.044010490704836605,0.005332705735929806,0.06226580286563437
FGF7,-0.03346007961311997,-0.007220032846390592,0.047295160484489576,0.015577982593855297,0.041929158783616464,0.022456612546301286,-0.008142991972814035,0.07224187166999468,0.017222047872740846,-0.009158030601115025,-0.012370533383696338,0.033841474008435006,-0.0007188777398247188,0.03908962861924212,-0.005134025418086369
HBEGF,-0.01232440883039965,-0.008579027283530077,0.01489277728733977,0.0864395417366115,0.05156247928002966,-0.028381742558160776,0.02493503546108378,0.06535952649308469,0.059210247236739795,0.0434985127543104,0.059676857906905634,0.024170374670862152,0.017509234940520025,0.06373631628024998,0.11003363103773364
