,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021024968529698814,,,,,,,,,,-0.002012871385631745,,,0.08457070671962756,
BMP1,0.023510607277240008,0.14866860419810143,0.03693353183837326,-0.020516304942256577,-0.013209782812824467,0.2136498238089876,-0.014902146049523406,-0.046769094764728486,0.0206228672690781,0.08808023991377577,0.06482512823856987,0.05854533804268261,0.09970008787203107,0.0831614266678437,0.021365388028993893,0.011372025031073136,0.04861484638289897,-0.002724823593834546,-0.022472099987900215,0.07478241227501778
NDP,0.02937393169953658,0.07801557552173094,0.01168021277338102,-0.028389574908007958,0.09522824844389807,0.11314426642149222,-0.022000223828698297,0.008739028192016818,0.004548732831479291,0.030754619004116506,0.07333871854005497,-0.028458749932701106,0.06425489474643149,0.11822533936502663,0.08248253030221563,0.020880208959522206,-0.03126456399986692,0.04787089744893843,0.2372489488025997,0.10039396333839373
TNFSF18,-0.027076452396815526,-0.01042631011830085,-0.03629165516367806,-0.02417022740137074,,0.08973329076497667,-0.028108018830565417,,,0.00986623328376445,,0.06865424510121747,,,,0.003761796637286557,,0.08637738317765989,-0.007886709591574132,0.06500745403452604
IL36G,,,,,,,,,0.022180304825889362,,,,,,,,,,,
RTN4,-0.02121375618867811,-0.06613965583028983,-0.023799878326367367,-0.0232057919260606,-0.012807130990084048,-0.23221745538339017,0.020922081271254882,-0.0076540458871281365,-0.01663031989646196,-0.045563488067751484,0.019711051686832518,0.11297271985639255,-0.047093170284181696,0.03722122335368585,0.0484174605796651,-0.07669118142482373,0.07507315313297906,-0.061768092590889015,0.04379206614043094,-0.1659624773252152
HEBP1,0.0054565266237277575,0.06067028260320969,-0.028484699680040148,0.03832316795765612,-0.002726548640083297,0.10078987521844517,-0.023031117503818324,-0.03814342575006374,-0.03546543576631871,0.04244106995953838,-0.026306310696390417,0.03047057144487275,-0.03805695013554411,0.07678735580069675,0.06459929815555927,-0.006675689098470235,0.003127585925938147,0.004828054119945277,0.12589673831762407,0.006849539706284279
WNT7B,-0.023853506503522668,0.0090708535770844,0.001903041427747602,-0.015013796014737875,0.00871787094906145,-0.07350220585420995,-0.0036768614604844345,0.001800569791511506,0.05036189100407019,-0.01605083245778305,-0.07946491678008075,,-0.010737300069296154,0.02649173157085282,-0.03319736266197357,-0.014927843058970085,-0.01950479619962195,-0.0326474205536565,0.026152099833352493,-0.01342143028872583
PTMA,-0.014968353123912632,-0.17384102974616014,-0.0056086487521019536,0.006428253033761799,-0.03688757353351841,-0.13849398152823178,-0.04395465038497784,0.07190962470543646,0.04312525636150685,0.06833322472217071,0.2268560552425159,-0.11502766506023451,-0.07845748594511358,-0.0988640138549844,-0.05304222734044894,-0.029587802242292946,0.04290514674237923,0.05139155625256179,-0.16520106415321867,-0.06839487658073969
FASLG,-0.02385351324684785,,,,,,,,,,,,,,,,,,0.017192256892773105,
CEACAM1,-0.03312081190173498,,0.08956072598958394,-0.01152218542228738,-0.00874145245896079,0.0647803213300993,0.07280684127428971,,,,-0.004670083773216592,-0.03073455024952581,0.05835681225074673,-0.05984350596605957,0.035664735600300056,-0.0033612173150484154,0.059725397103886656,,0.0321156508008933,
PDAP1,0.02837580269289566,0.03317301396721265,-0.008778183581543173,0.020476619262469176,0.019355819193047824,0.14435426027537285,0.0009484610975442817,-0.03211611144304364,0.022299356710486693,-0.06281357339960045,0.21755764567197114,0.03869200156300908,-0.0008579944862638189,0.010477047826637829,0.026051890657515474,0.029126105633197577,0.04347643009091067,-0.024821118690177287,0.07681762094115353,0.13794013315928422
QDPR,-0.014402877392683953,0.11977343484625924,0.02270491081653536,0.0038211874222184652,-0.02517328126314824,-0.20165339242681554,-0.01879442736973052,-0.030408717578141772,0.044417504367280314,0.0030384509747759564,0.13748360037419846,-0.027580671191028697,-0.10041966897849192,0.0186032161192088,0.051573893660072145,-0.03314795344870745,-0.009900253402567633,0.008048203666737867,0.17067470908784294,-0.03895459548764707
POMC,-0.027962810003624477,0.038860429370183705,0.040073285660240564,-0.02047308521601266,-0.008817962857669295,0.09882925260902428,-0.014097015369804707,-0.0006601311119534765,0.0030507327250419588,0.04035159111677891,-0.048954468434247986,-0.07800033373119608,-0.01678820389404309,0.09667439552445758,0.015048370881895366,-0.040378985268609294,0.026472643613176697,,-0.00908849284702007,0.024548252127537595
CCL18,,-0.039999246872937114,-0.0309675209038013,,,,,,,,0.11394552743618608,,-0.04533807003414802,-0.030815195719511093,-0.027663249153300023,,0.002556440820242468,,,
CCL17,,,,,-0.043351504291409944,,0.04108517217247703,-0.008425393761724574,-0.015946953711603228,,,,,0.05256718224201687,0.06292684792753453,-0.0100545402055173,,,0.055011211854685174,
