,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.014337200595490728,,,,,,,,
BMP1,-0.0579433695352031,0.04047826985327978,-0.09557320624896472,-0.0068367822076338455,-0.09068500270985463,0.03513045429097902,0.05684724749579687,-0.023094439067255276,-0.06768026067488096,-0.06179295444317971,0.025370010054741255,-0.07096212517610694,0.04396031092554425
NDP,-0.06804974883465291,-0.05219971170431966,0.0528341478670492,-0.02773640306496952,0.01643842861222316,0.029148863123674647,0.0019449512623190219,0.06361738950205,0.013012608640766688,-0.005307875970669757,0.026313799130613835,0.007131053438134967,-0.03965758869663785
TNFSF18,-0.021274489257832017,0.03193567503652633,,0.007247031807162256,-0.021290312469747188,-0.010647509681371023,,,,,,-0.04196907763092876,
IL36G,,,,,,,,,0.024923062378385076,,,,
RTN4,0.009018824879211412,0.06407418991760208,0.10855468699693387,0.043821137857213636,0.11935388235137447,0.0321880716872588,0.046022070607469615,0.09349181277678494,0.056332949509685634,0.005671036643657581,0.021360164558334928,0.14526449888660564,0.04076973073555156
HEBP1,-0.05479959527631498,0.007956601304335731,0.00637645929269487,-0.0790270992769611,-0.04435991698753632,-0.019476476798574935,0.01434776384111582,-0.040188938867718835,0.013351720394369729,0.037811944307069065,-0.0007067440260827029,-0.02895012682290985,-0.09564262297428877
WNT7B,-0.04965489441857356,-0.016695293724886356,0.017390664402656377,0.05811922688004627,0.10557412378236683,0.007586945858567763,-0.017219592449095333,,0.03366073683964681,0.21899251766211758,-0.0018723863778799235,0.0016452713971286013,0.04828639096443641
PTMA,0.024222217617408132,-0.0004644120902095437,-0.07304546403552419,-0.044738479299346136,-0.04776948134372851,0.04333178783370663,-0.03618614941887902,-0.11761321956254289,-0.05221702647859991,-0.038221182541902606,0.019855992624351487,-0.03057298521009734,-0.10245620916261113
CEACAM1,,-0.01557393838450833,0.0629398168792756,,0.02901093934847106,0.048083567467221804,,,,0.03262597740425604,-0.018811728137639778,,
PDAP1,0.0546179645238863,-0.00802644601132054,-0.018475756850133966,-0.03737109038055365,-0.07321876227041406,-0.00044339250239830614,0.00022006733682363545,0.06385875993352524,-0.027640853018742494,0.030120119111021325,0.024890163944246407,-0.08457556119235095,-0.055996257542974874
QDPR,0.006299044424679758,0.015245502256676724,0.08026262080388764,0.039348767860582994,0.03462088335852355,0.05262828477993298,0.05791097750374396,-0.07713075208364499,0.020524974822098255,0.02260213374633375,0.024313679180722123,0.19551980771078956,0.03310072996022975
POMC,0.07444153561657614,0.05294417475622679,0.004285447185354947,-0.03760395260056101,-0.036115258207776564,-0.012354528249030876,0.023869263381529005,-0.02864755179877512,0.019288242080067696,-0.03811212995935699,0.07115894839134716,-0.03398529786455919,-0.0033228127785801115
CCL18,0.07849434060503817,-0.019434803615448956,,,,,,0.011148882716493778,,-0.028005184385947676,-0.04642611235892223,,
CCL17,,,,,,0.0076543915231594055,-0.02131302831879104,,-0.003137108506646351,-0.023485120453345068,,,
VEGFD,0.0032728425052683126,-0.019434809786909372,0.06759490882432725,,-0.02401865686210935,-0.014148202783512946,-0.015633364019354296,-0.030003941785159843,-0.021411700380056957,-0.01626885978769485,,,
TNFSF13,,-0.0146661311245896,,0.02460869183195136,,,,,,-0.025527523002063124,0.10282899675108963,0.05836428260467464,
