,UKF259,UKF296,ZH1019inf
BMP1,0.025480412686468237,-0.033238800098846916,0.0782831651221069
NDP,-0.006740089130027642,-0.002041800725050716,0.0014731333513356424
RTN4,0.02246253734285711,-0.02172377309746998,-0.05878068745884267
HEBP1,0.057232816235940245,-0.021976483963019742,-0.028594310136812504
WNT7B,0.029326855944945746,-0.010917753188812065,0.047452055327250345
PTMA,0.059203937448823296,0.00917973082895085,-0.10613714710948734
CEACAM1,-0.02589261582446557,,0.10406188494881022
PDAP1,-0.008627672918623708,0.10131293123570448,0.011521810595004378
QDPR,-0.01266414526654179,-0.0009298725119599554,-0.07322317800772593
POMC,-0.024112254410400588,0.011808613782217457,0.0003489626450802605
CCL18,,,-0.02192261936212313
CCL17,-0.015007680382644845,-0.013513117896291884,
VEGFD,0.017666032459471025,-0.00991203539681523,
TNFSF13,0.1020402616272107,,
WNT5A,0.03975407704396458,-0.028750157285520835,0.1688309891346795
CXCL8,0.03438653178677233,-0.009230518351141763,-0.03859822295509088
GRN,-0.040056054023345125,-0.020673663352971366,-0.03642324802286612
MIA,0.01057368480325335,-0.011272852808659618,0.00238984049042228
COL4A4,-0.03617053647532965,-0.00346505740938891,0.07253296148035566
TAC1,0.02180155522233018,0.007617029365452156,
RARRES2,-0.01648131286003971,0.013907324156652637,0.023198023039238833
FGF7,-0.02660250593366518,-0.039310350536285434,0.03951931895601594
HBEGF,-0.019548548329367595,-0.0019855548142566977,-0.024322211364119706
CSF3,-0.017887846450876467,,
PI3,-0.030869022465310758,,
PCSK1N,-0.0019410760122445208,0.0217241713755669,0.09273985944121414
NTS,,-0.03746382936288522,
SFRP1,-0.013094781234589329,-0.01351311803238008,0.0021871931510262766
MICA,0.01766886834643488,0.018247961999541394,-0.04695837115843963
TG,-0.014131343613881296,-0.009779384739195146,-0.035695149782946536
ADA,-0.022292811712324338,0.0577351963283976,-0.04192652012055878
LAMC3,0.007034453584326913,0.07791558721755265,-0.009685774072937432
CCL7,-0.010216938854774352,,
NGF,0.06805964913524805,,0.05282679412057737
TNFSF15,-0.011377061118869502,,0.05553902692584393
HMGB1,-0.03934751772169398,0.02978172162557991,-0.00595628819663582
ITGB3BP,-0.025166697677964155,0.019656864509135848,0.0990157555463033
AANAT,-0.010351963150988597,-0.011272853435684472,-0.02283332702108609
RELN,-0.017968689759297288,-0.013842530743484441,
IL15,-0.03593135608851882,-0.011866854621740672,-0.02077716542735612
BSG,0.046622486680336375,0.02204794875090718,0.08790340573650224
ADAMTS3,-0.024277042695090064,-0.0017543694222682707,-0.027340584578703784
CD34,0.005472850948633013,-0.02109120269660641,0.02186774405158026
PLAT,-0.0174190442206081,-0.02668367841322544,0.12470467512931378
NTF3,,-0.018197074635365424,
LTA,-0.013094780621994881,,
CKLF,0.025121261478399413,0.018624914008151822,0.03279848504253964
CD24,0.010197776504574662,0.06309089522014047,0.046001184974472545
HSP90AA1,-0.05776869321991632,0.015607388384341295,-0.06600607767778713
BMP4,-0.030551695154577965,-0.010334570327032106,0.04699932760710704
SCGB3A1,,-0.009508762129278705,
IGFBP4,-0.04514101205471323,-0.011279525688293815,-0.007802630458268329
RSPO4,-0.020043855952795196,-0.00950876073840714,
LEFTY2,-0.029259148452292043,-0.010426472444362449,-0.0291790568122978
PF4,-0.008914077865092976,,
ANGPTL2,-0.02462610768077598,0.018662511237202205,0.022375958171274624
LRIG2,-0.017791832352551672,-0.04293882884218925,-0.016543493759934753
ICOSLG,0.049863444057224274,-0.018045852197430604,0.11513171114016076
WIF1,,0.04746240944264393,
NPPC,-0.013827933037638051,-0.013214850430681706,-0.027340532069473903
LYZ,0.058349908212260805,-0.02067189144488767,-0.07483560591316638
SPTAN1,-0.015025544669400988,0.06597059223272557,0.0207749474024663
LIPC,-0.016019261820493253,,-0.002863365040056345
