,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
DCN,-0.03381885395396886,-0.016452010206929518,0.061459958169958834,0.05699524736384876,0.023532762212952564,0.04996597429888399,0.04453307015792036,0.15331578860818704,0.02277942354958893,0.04435710034386038,0.06658385694795001,0.08475224957948863,-0.0038006077894736944,-0.02999175062534136,0.08138168919256275,0.006521612316611797,0.037822947115434116,0.12096077990802263,0.014342869739592036,-0.0844447834300102,0.028997250990061174
RARRES2,0.0004820799973050715,0.033672093774343353,-0.05249720603866031,0.02222884682598507,0.09133102681963386,-0.007208889601087416,-0.0788480788096305,0.13375857733291546,-0.0045988248229434925,-0.008873451976366891,0.05684421605992723,-0.07673407941338396,0.06311346224899554,0.04299298459003634,-0.017824911834295236,-0.04106355700537773,-0.005842598709478172,0.018466540451246623,0.004595846768995623,0.038130895148119855,-0.055361142436451384
SEMA4A,-0.011323807044934922,0.006055473924784134,-0.004396846764839724,0.006391007415146368,0.04240512749404462,-0.018599093070191645,0.019678940392588586,0.006637386630510526,-0.028961312565494505,0.01739646953286949,0.024079739156800558,0.005509778020492589,0.09257665051203406,0.04558087346257477,0.01644503988086829,0.062332566854119954,0.04614795059809256,0.05149424041884545,0.09057345166429824,0.1698831939475495,0.0036969249460177024
GDF11,0.013679460415306521,-0.006588975972179147,0.028932945275139777,0.022075496568786566,0.029701447193977406,-0.012428091711784058,-0.05122796487407022,0.0359391853376104,0.005940745690508559,0.03624652084096317,0.08728843180236442,0.03549138997177308,-0.026909690193496084,0.06998458516972662,0.017294390230495893,0.052462134038614695,0.030882057963683342,-0.024798265176136293,0.01810691552161414,0.030715525585963178,-0.0016752412960807771
GPC3,-0.02360769089369729,0.0699425857135697,0.006475100185989635,-0.018706921653485628,-0.014846772815798874,0.02008958132203398,-0.01585246046929819,-0.031221324367664217,-0.02513415423022517,0.002745320987687344,-0.02118107492010716,,-0.041255326897385286,,0.09222723007989578,0.07958318245488491,-0.012884016815967977,0.05128822095144129,,0.029448800202808868,0.05892505081689616
OSTN,,,,,-0.019893712334651308,-0.021268823804340205,,-0.023939383982855646,-0.03111112898402583,0.037516857524357454,,,,,,,-0.003834539310894643,,,,0.12452801591141141
GRN,-0.06691919742892859,0.17167771751353392,0.03965207770414193,0.038142483671436786,-0.02124808395795609,0.004901782433489094,-0.01544506525663552,0.09652160924779178,0.001727106370168742,0.017148065100887594,0.04805007159625285,0.07204356788773796,0.016864030493747805,0.00935324841589094,-0.0011900382143988,0.02143480381651114,-0.036619516184094494,0.014400805825978925,0.07578244323524046,-0.03024882713703362,0.05331727058299523
CALM1,-0.0021873324323455233,0.05332679259359237,0.03242877092942361,0.0045503010175014765,-0.10641577945702316,0.03421199065984375,0.051828854976260226,-0.10997670739695853,-0.002837914295199534,0.005531317383924036,-0.10179514726242421,0.06966409488227797,-0.023352616024312958,-0.04438226942075786,0.05545575601674095,0.018510279083693484,0.0033285638885823393,0.07293836763248449,0.06665140740723792,-0.0024609137111248364,0.04320998149934709
ANGPTL4,-0.018323628350885888,0.04144459876494331,-0.034057868293222174,0.026178409024964103,0.053061055175669065,0.0019298180750600784,-0.003012187655744538,0.044624666710625455,-0.0006454335453168485,0.012176521114980167,0.08322684742064403,-0.07007098745144942,0.03989602103402431,0.1201556143884537,-0.09911415650917883,-0.09390635589466909,0.05845932777811258,-0.022357894853278448,0.011795738336246078,0.09825512172614517,0.0014724558992389694
BMP8B,0.018713404312855623,-0.024254024038713694,0.028338520140150574,0.008609800130108331,-0.018138838581985107,0.01399421892482251,-0.039519749636939945,0.03364890746183622,-0.026941983030712886,0.001310134220623038,0.11906689487813941,-0.04691063660392953,-0.01174538258635933,0.003937076821281428,0.054452275713799375,-0.004477712815172295,-0.0437018100348063,-0.029936866347228152,-0.09020316977365733,0.018855393649285998,9.151437525637923e-05
