,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,0.07102802821773838,,,,-0.015090857114531607,,-0.03210003907534105,
BMP1,-0.041571145556557915,0.15122865219884338,0.019129356804120166,0.024985384208499797,0.034495897476160636,0.06370069243376655,-0.03427193614270636,-0.011864682949342512,0.019810014694659962
NDP,0.021440457941546108,-0.007380541399905288,-0.017572698636619206,0.059654353251319306,0.013299258585613831,0.06493431500924467,0.003021282595982964,0.09721550360875976,-0.002818076366238086
TNFSF18,,0.03067116673677775,-0.02554448288525679,,,-0.015562934572945828,,0.06399693531682901,0.04274319096878508
RTN4,-0.006975793172247778,-0.11923939820354318,0.021056344304168563,0.026774809781203127,0.01464660254355753,-0.032851931172181145,-0.0437120419074673,-0.01854730983303132,-0.07100978054470146
HEBP1,-0.007820052891306946,0.04516970062346548,0.0017653298293360243,0.04057403880274786,0.05106071807604125,0.012349327434354818,0.011282727884471098,0.12604053281340077,0.025029232495175427
WNT7B,0.029299462754505057,-0.06684600608024949,0.007814652232857664,0.037235576765258245,-0.021414903040579584,-0.032543355200676846,0.004597185064244179,0.07405037228711278,-0.010163506730287831
PTMA,-0.0175912282881061,-0.14653738655037157,-0.03107946394219112,-0.07355736451626264,-0.05542061918660961,-0.06254707876389816,0.060990696061880394,-0.11614501380127808,-0.043579099419166004
FASLG,,,,,,,,0.09911938882964666,
CEACAM1,-0.026274341079143768,0.004117292749688585,0.0022418917215264234,-0.03734626392519232,-0.013012993900823859,-0.02236231218896225,-0.021386696380002394,0.045909633402242696,
PDAP1,-0.019156557959879875,0.09104019790462112,0.03553507072862171,0.006741955585891977,0.015556102481659085,-0.0016716082495867794,0.010355694949333341,0.00718749829151828,0.027906449702208687
QDPR,0.03621200868004013,-0.10358213347759973,-0.007497346785627134,0.017535758300481537,0.0055750827363603254,-0.026990211085563147,-0.007477293230581908,0.09100993986290347,-0.024254920795765397
POMC,-0.012819813517867928,-0.02646721782031082,0.04098605379368636,0.055860739394525336,0.010738029451472104,-0.004661309099551291,0.0191420965493589,0.05799397085046471,-0.012470511668547958
CCL18,,,,-0.006096401427886779,-0.06799326329329333,,-0.00631944247752925,,
CCL17,-0.015228933061595151,,-0.01389500357089793,-0.026495366644939337,0.05885879329888822,-0.01989642338186047,,0.09416269751287779,
VEGFD,-0.01696671315743807,-0.014832336047022455,-0.01785631302547252,,0.0032967786248758054,-0.020984585650339366,,,
TNFSF13,0.045092515278289454,,,0.017596448908356255,0.06922845752721231,0.07325927742239265,0.1019715705137101,0.05647450385755591,0.06675502134743877
WNT5A,0.022284192219825184,0.13072278873992405,-0.02967214476960718,0.011626020648022593,0.052946760734339515,0.0830090103251277,0.03857082569619645,0.02557831118751116,0.03650791861415419
CXCL8,-0.035529703793537364,0.15643044555152052,0.0814596884145638,-0.029808090874399007,-0.07975634388771524,0.02628390782733926,-0.03854207773099536,-0.050566893877888666,0.0030805876827435996
GRN,0.018448667834097408,0.0950496419186465,-0.061922057176369505,0.05652066210863814,0.06848609951880853,0.01789110625084663,0.06587501160847407,-0.0575442937783142,0.000968727270156229
MIA,-0.03206702394285473,0.05815481691795506,0.048934727216601505,0.04050093520409468,-0.030802364950921448,0.03204889206017369,0.11837916224101575,0.10225617500127822,0.08952661561692576
COL4A4,0.054670312096892,-0.021247198732558887,0.02625840118327296,-0.006883117282089808,0.05077051117019287,-0.030648831891856583,-0.024353348348684342,-0.030078402682755235,0.057783655213626474
TAC1,-0.03827781352485301,-0.09574495741073788,-0.03544032226181689,,,,-0.03689814395087252,-0.02292604255766871,-0.04461581808390208
