,MGH258,UKF248,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.0006810722744508658,0.04089250543013765,-0.03249394068916868,-0.03678383378857025,0.05734336087935155,0.021164026749752003,-0.012153202927305607
NDP,0.03747849955302976,0.022883187207071165,0.03259520800641406,0.019585793043411317,0.08662025002700527,0.051771021384339304,0.023592104443159054
TNFSF18,-0.018712516534057776,-0.009533409750135413,-0.011674764661574738,,,,
RTN4,-0.008930077257172361,0.0691931515060898,0.016603735606976398,0.035420226519140244,0.015900093630816865,0.01922620580172475,-0.0164230486845488
HEBP1,0.04327010009248672,0.05523564300455599,0.056290998072390123,0.004178384812576008,0.038607588483194163,0.03279382101801133,0.052390612717191254
WNT7B,-0.016485140974189037,0.027755034236161536,-0.015782752863660404,0.10769952495887235,0.04767533451355664,0.04472084951292331,-0.025860407247953292
PTMA,-0.034150446080940006,0.05902477975257702,0.003359571805595328,0.020595613084634375,0.0008845732029407579,0.0017677285972659393,0.01007843960952253
FASLG,-0.01648514563449616,,,,,,
CEACAM1,-0.022889768986336087,-0.020060547251295177,-0.01836162348633581,,-0.033312278865228855,-0.0015658649589419724,0.027115731645449573
PDAP1,0.008690542956628746,0.009463854509976435,-0.015420162589825799,0.04167873109899909,0.03175197482543516,0.04301900109549158,-9.473601902333535e-05
QDPR,-0.0749330886953404,-0.04442093716836295,0.012512939947997612,-0.0004273375619779723,-0.04329790468530668,0.04739994555531543,0.026164528004760747
POMC,0.07013675349472842,-0.015088904389746804,-0.013546473694648937,-0.03767301246490929,-0.011967933531044656,0.08330972425498365,-0.0008848833174933542
CCL18,,-0.025033667568324876,,,-0.023015617417916943,-0.0029827181668124906,0.02805716753781003
CCL17,,,0.10043471581172196,-0.017336619872074382,-0.02363344949526051,-0.003939847181670882,
VEGFD,,0.0022646229932326775,0.055022044391956605,0.07691829641480825,,-0.014544926137162604,
TNFSF13,,-0.018891214871581682,,,0.14871409621203363,0.05338632817532627,-0.01927394121925446
WNT5A,-0.03928754660504876,0.06531335794776547,-0.006095579744294813,0.06902291977583548,0.026982385977157273,0.06353839462747296,-0.016811167046090564
CXCL8,,-0.022611858972030694,0.04079749193966464,-0.01184226979325505,-0.03769090236743162,-0.12562619135988626,-0.07057941381745118
GRN,-0.08022995786514021,0.013282582843336112,0.030937842660308808,-0.010871550763918958,0.09366595171864507,0.0028553305632347467,-0.001523420340524389
MIA,-0.02157763375624582,-0.003463096242530243,0.012997609979427768,0.005132375814959563,-0.05273198259206058,0.05105559426669944,-0.035989364300219304
COL4A4,-0.01909180734904251,0.015213533485348646,-0.015201826028453276,0.012190147474334797,-0.03136868790158051,0.07151423925095508,0.054145987199640394
TAC1,-0.01648513666560672,0.01972196244209654,0.03419333628664235,-0.04871014003957684,,,-0.029612666186633788
RARRES2,0.04002935065652008,-0.018714864528503506,0.05153448777941523,-0.01922364783246095,-0.05350642121502062,-0.04796399494078122,0.01264340606249929
FGF7,0.0469872526699333,,0.015501832728336204,0.07396262049597342,-0.0022764247749128617,0.008571145800266997,-0.0362443320264269
EFNA2,,,,,,0.034323033138227925,
HBEGF,-0.04741333676661222,0.02126998907845259,0.047326883792487895,0.0029550892220081807,-0.009196319592595148,-0.015551424829379507,-0.0070330598040719595
CSF3,,,,,-0.007972603022481333,-0.05362873587081028,0.006686797344108848
PI3,,-0.0006085851699230187,,,0.02887575703385665,-0.0365816396925455,-0.024047390065531374
PCSK1N,0.056863437312695234,0.019234201720059525,0.01103881968036663,0.012632687048307811,-0.04578095715838475,-0.028808515344363742,-0.015572118248668077
NTS,,,0.04708575785475887,0.017118038827345174,-0.055134377521017165,0.02949751450979867,0.02151086127884691
SFRP1,-0.02398629025949772,-0.03149508321713563,-0.006728557273693817,0.0957522315026738,-0.011366191183401783,0.05836050973463114,-0.03061182176222488
CXCL13,,,,,-0.027191278422547326,-0.026274534796216713,-0.030222695514431117
MICA,0.0012836898027522635,-0.008759350847422548,0.0582763202022951,0.01126052394123964,0.07113791292575658,-0.006458822844011638,0.09626171660564091
TG,0.08145162385327002,0.022921517175640102,-0.014669358795969116,-0.012546436515048477,-0.031402945678188986,-0.03204413412308893,-0.020251804090095804
ADA,0.009379759331446018,0.043674864517783824,-0.036124002653021826,0.1356707611398139,0.07833130505791028,0.0036436971622404745,0.04342202402612654
LAMC3,-0.03832159281083191,0.08455542001201444,-0.013088404940621471,0.014435215698356771,0.09756113252848977,0.07451259541712714,0.08880838171407414
CCL7,,-0.015923527361746157,,,0.025859275566308945,,
NGF,,-0.027339905732299746,,,-0.04090852705230193,-0.02766684528945424,0.02173651921885243
TNFSF15,,,,,0.02854969555452883,,-0.015280422662845954
HMGB1,-0.015558759601306359,0.03291956366812339,-0.037766527287323895,-0.0023585445725099897,0.08537250520196707,0.10068482740503404,-0.02192999086235432
ITGB3BP,-0.0006356541615162209,0.04958428616359641,-0.014930740982977494,0.03483158224936057,0.031216083387155934,0.021641775727804964,-0.04723083829332002
AANAT,,-0.02310261560634594,-0.013192240093214668,-0.014462478340524061,-0.031074293386758198,-0.015420520905502425,
RELN,-0.01582761089044686,-0.013564465872606504,0.04847392877802809,-0.006659442244077115,,,-0.018457094601741653
IL15,0.061274270592610404,-0.035860472925278206,0.04163451567185959,0.008239639584955443,0.013620053074771796,0.07490316457272479,0.004216742387005177
UTS2,,,,,-0.010459301989569778,,
BSG,0.009411357354408005,0.06379146110793059,-0.07281338942420312,-0.00983447696409206,-0.03694563882609951,0.037995154197814386,-0.0686893032850799
ADAMTS3,0.043697079711526386,0.033027774075424315,-0.023207616256962806,0.015820392693978842,0.01897003644119024,0.017292321537419407,0.011835644530469933
CD34,0.028699979999902276,0.09090901783165273,0.06475354931702024,0.01710036845547085,0.10642924789028413,0.04204137181655068,0.10107860765012235
PLAT,0.06026657128033552,0.06980313179646615,-0.005827220814819501,-0.02230525512201363,-0.07725800228593348,0.056716727994755675,-0.034862277876459735
NTF3,,,,0.0012183460268382596,0.0028314945739816915,0.0981239832545054,0.002028899635570535
LTA,,,0.03065800757506349,,,,
CKLF,-0.0272340293243433,-0.004190132862662484,0.03308090790858585,-0.04790953027776498,0.06211638200277432,0.09513244394172085,0.011170974688992289
CD24,0.0008709081974603738,0.021216605088742943,0.07588201283472937,0.03675124844253664,0.044056196881018354,0.041466509369531404,-0.010367141607858186
HSP90AA1,-0.05115522618528164,0.029622682753074933,0.06796446024583924,0.011762796064972214,-0.0771032917791416,-0.12084483469745769,-0.0022036789379724737
BMP4,-0.019648236994844092,-0.04178854890289761,-0.020479550718573835,0.003405199361271935,0.026467598328325473,0.0420184933748613,0.009981839262852475
SCGB3A1,,-0.015923525769414696,,-0.012199241933241605,0.10135667460061228,-0.013398642032974096,-0.008410270486065767
IGFBP4,0.01946357731050475,0.009566079253998922,0.012226652776152237,-0.02286440252320259,0.11136285012805981,0.05444609969034463,0.04428538007057029
RSPO4,,,0.023087174320959775,0.03459693715105622,,,0.014683690751331387
LEFTY2,-0.018903037075548496,0.05264940892505172,-0.01862496795276478,-0.013376616023173457,0.05898480138452212,0.04583255928729727,0.0353378414913715
PF4,,0.0647896570562708,,,,-0.025704085323646847,
ANGPTL2,-0.036086890600990934,-0.029605945519004216,0.010494844328481703,-0.0009164471654730966,0.0018005757505226087,0.052318149066185184,-0.02375902200794824
LRIG2,0.007716830142636268,-0.02009876318079202,0.005745286257345895,-0.03402056279264161,0.016982319775194675,0.007725459471206485,0.010674605179991999
ICOSLG,0.052162061067230814,0.024929345294328203,-0.001459492555605588,-0.023151879693164113,0.037842085620208916,0.10826030066412201,-0.03085637732388855
WIF1,,-0.029721643236037796,-0.011403271087897229,-0.022956444165210647,,,-0.019866011612618067
NPPC,0.048969665124155855,-0.020699861836449156,0.002338306214566056,-0.016953958393711232,-0.018151167701866425,0.0026278477528401604,0.015119861371937117
LYZ,0.01399101494118035,0.06185336524756872,-0.0039707982618035825,-0.005324498532567334,0.054305347990200974,0.03536095598605088,0.048101202073455376
EREG,,,,,-0.013050103517340284,-0.011910884520291109,-0.026617400961462954
SPTAN1,-0.020539686362825438,0.012434290911683294,0.02466570442069641,-0.01107180169648278,-0.04195072830152946,0.05129226949584264,0.00924227585248527
PTH2,,,,,,,0.0005481030874827965
LIPC,-0.02444322301226775,0.013294709082220486,0.025232034413936833,,,,
COL8A1,-0.03256823585056401,0.07376068322615152,-0.03762492302155431,-0.037242935224995166,-0.04309101735606141,0.025025638657455853,0.06301097279150068
GSTM2,0.08037775418889546,-0.011790095857230138,-0.035133599392491006,-0.036056997001679574,-0.010412718564602446,0.036237974732242,0.012603705510311342
SPX,-0.008616624358535295,-0.02121494250319362,0.0441085204756533,-0.012378424443993997,-0.022775320274567617,-0.03191490738917609,0.03543505612384307
MFGE8,0.058273549198071734,-0.0016312469427787468,-0.010955213496781049,0.02059783473344717,0.0364291724416414,0.03796344265107249,0.030205400439194747
TGFA,0.03654614191086028,0.03168474701591694,-0.046354194028967975,0.049286666825879684,0.023741664062192865,0.06740010495817071,0.03720406665425849
