,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.025112041921493567,,,,,,,,,-0.023331100187755846,,0.040303750563097436,
BMP1,0.11566500810358074,0.0474688601543789,0.007531637165903424,0.08194345331332221,0.02890161645349972,0.02952622065877223,-0.015843709599581205,0.014652005246586164,-0.0033406569262885866,0.034294819316969566,0.024350979509149166,0.07175076888494439,0.05872770080522206,-0.03109775831810685,0.007474060149236804,-0.009206699434025339,0.06518815150286968,0.038479074626226906,0.008028254137907448,0.005522082840803146
NDP,0.0051482023580184545,0.00612057167127349,-0.00431279950015618,0.016886591156875526,-0.05130302120902093,0.03244906969612335,-0.030954437338347424,-0.005063402606034732,0.0046213774512527325,-0.0015837464154899862,0.028095617273115214,0.03813251768983314,0.018260423800434446,-0.01969186955337913,0.04582576721049358,0.06889471568978205,0.011811435409048223,-0.02882310413666938,0.11502303460864118,0.08775163592242946
TNFSF18,-0.03684480766340194,0.004793253475395763,0.03839212003190053,,,,0.0009419740588070056,-0.03729062836926075,0.05346742779642325,,,,0.018748230049283644,,,,-0.024060951805530254,,0.039227705551341883,0.046643971170167595
IL36G,,,,,,,,,,,,0.008265845020856467,,,,,,,,
RTN4,-0.0861947304112901,-0.03781976013991541,0.024731088143263497,0.10963088594791101,-0.009333045042945187,0.04888395559813798,-0.08264581917449788,-0.027184762610078114,-0.055732821117828714,0.0027626420639764917,-0.014974302085181248,-0.07261959538714777,0.055741266983037115,-0.09384243353941726,-0.015953697069952786,0.0034443048374759597,-0.00877920688566077,-0.01181720464285143,-0.00882143526451597,-0.04331924552862397
HEBP1,0.009783402719502711,0.014848402517396742,0.0810384801727151,0.08783992494720827,0.004836558834907883,0.04740739492771694,0.0639991548810793,0.048574906336723254,0.012497665486323365,0.05048378149505785,0.006949856250775868,0.024131940205692076,0.06330342954960717,0.042954619834363036,0.028078467957211813,0.01045562552215726,0.014793501966905346,-0.005371028215703235,0.05329022580132715,0.014228486511514144
WNT7B,-0.03015959571359293,-0.018366390693826715,-0.018040736647339174,0.14983315643832135,0.019861478402354533,0.0035834199518935002,0.0028476357308745604,0.001831625134330324,0.025342569198423426,-0.01754292066615002,0.014978444085791763,-0.010253661897595684,,-0.033623417513306976,0.122670370908156,0.04731513574027232,-0.02877749974281922,-0.02016979832392278,-0.06534738909330695,0.06646142708935845
PTMA,-0.030388597006514237,0.0355838328288079,0.022909089810249257,0.08409545116087824,0.04890388469156801,0.0222154484053818,0.13090200027915894,-0.024617915374462014,-0.03672751515599521,0.016482052794363624,0.09729997096199344,0.040804556051340674,-0.0680863128825723,-0.007350348845914184,-0.02284068823059869,-0.007109796424173044,-0.049868659610119055,-0.030994443705454174,-0.06908547861015286,0.033645650315911255
FASLG,,,,,,,,,,,,,,,,,,,0.06190839976453494,
