,UKF266,ZH881T1,ZH881inf,ZH916bulk
BMP1,-0.025048273929033568,0.05560998286668975,-0.0683398643122094,0.010575995834355166
NDP,0.04219138605453527,-0.03779468521582337,0.056332015110495584,0.06865412059505531
TNFSF18,-0.013291556557764843,,-0.030607502950618978,-0.03543514034155733
RTN4,0.0155556586742737,0.06048576602568839,0.05585206705669607,0.0919376453044652
HEBP1,0.020692942564836135,0.03510373463102084,-0.02956968182400984,-0.026372444651155947
WNT7B,0.031284930302835245,0.06634645399027907,0.10239270235492047,0.057016016660897256
PTMA,-0.03929989917384684,-0.023198432957807876,-0.035097469139301854,0.008234843407429783
CEACAM1,,-0.029958697650578958,,
PDAP1,-0.017596777534682067,-0.038799237615160256,0.018153119343802218,0.008448250768730972
QDPR,0.03313528536371456,-0.005090564643994953,0.0652351995347042,0.010317083626147045
POMC,0.05412304136121126,-0.008859300381109452,,-0.005028216503271349
CCL18,,-0.03242116988546949,,
TNFSF13,-0.012890037085921674,-0.03364160955373079,,-0.03854837823431584
WNT5A,-0.006443013035591117,0.04399982314316093,0.10391475718765905,0.00795232161531366
CXCL8,-0.018335241717802618,-0.03666339031221228,0.03025953938473032,-0.031743417473407955
GRN,-0.021713665512824058,0.006913251210838224,-0.04735116308183979,-0.011322193362940153
MIA,-0.023307673039529422,0.014035794787922076,,-0.039370092871937476
COL4A4,-0.012264300800055616,-0.03456826313959978,,-0.01895295014653404
TAC1,0.029806454179090634,-0.051687288155703684,0.04614175600712096,0.08661144311319946
RARRES2,-0.04040975785904773,-0.021229448774121387,-0.06434661368610126,-0.022387256733518265
FGF7,-0.02348804967378427,0.045538885063982,0.0378861276463165,0.005619338723825047
HBEGF,-0.03299454488174171,0.022369088208462003,-0.15620976431963332,0.020441429061596753
CSF3,,-0.013481343273523063,-0.027509159138012867,-0.0016364341935191974
PI3,,-0.0339372346761015,,-0.03252126138739425
PCSK1N,0.005153775892172478,0.10657202745618184,0.11347698772761963,0.033477545437351174
NTS,-0.014971924727431642,0.07432960077028078,,
SFRP1,0.0054313012520201985,0.03229987275222807,0.022202275419126543,0.11469744110629262
CXCL13,,-0.016601027869065366,,0.016976642018021303
MICA,-0.007070856754873142,0.06590996284435569,-0.04576195023630192,-0.02277995418906996
TG,0.00428245244645222,0.010578927451362748,,-0.014443405931439992
ADA,0.05652996492529609,-0.03748325153244155,-0.035478542430444564,-0.014235461357636628
LAMC3,-0.008301663574097215,-0.036014596168183824,0.0634506848921918,0.016507510595413142
CCL7,,,,-0.00659264269220597
NGF,0.07129244180002371,-0.029495548983612712,,0.03180767036086264
TNFSF15,-0.02002397099104385,0.0037129239168395083,,0.030939075043479414
HMGB1,-0.006433854968560911,0.03828714944326983,-0.04094499785356339,-0.029271300895530237
ITGB3BP,0.014109279034463958,0.021137790704114964,0.0413528073104145,0.047433669620710585
AANAT,,,,-0.027671768272328128
RELN,0.016200393607887817,0.002939205670256882,-0.04987468592256001,0.017046747385097986
