,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05807106304667889,,,,,,,,,-0.01731273578187452,,,-0.03937310034969298,,
BMP1,0.036888020917966106,-0.010444164876062256,0.045982233722227046,-0.0007974239902797486,0.02573994142183845,-0.02567544548746555,-0.12400885504973265,-0.15790170521255775,-0.40144277388268595,-0.09020410635794197,-0.04465140710238528,-0.1921327208910291,0.057123598890877265,-0.3254638673176832,0.05726462250644845,-0.03610387761906256,-0.07053570988777044,0.006053086413633191,-0.007739473345129106,-0.11136427125403352,0.05367687862437169,-0.020926803628754976,-0.08432611831419529
NDP,-0.05934456312060946,0.05109185247662679,0.00587573335243104,0.010746496066563185,0.09723969778076184,0.037027106797662274,0.181829011720578,0.05821344371339163,-0.09022089618394002,0.02533845139426955,0.006085226479682847,-0.14549553867208473,0.006011942293673392,-0.0660865512917898,0.12032521755554738,0.01877262120886425,0.07882703666193688,-0.013607765056550524,-0.010022108117620474,-0.02187845563561422,0.05973010899883523,0.06336768002264344,0.01228065628436651
TNFSF18,-0.022885152519951636,-0.04806330720822912,0.015027456424480543,0.047120241797186664,,,,-0.04930759319836966,-0.05534699261874879,-0.053062440218546295,,,,,-0.026279610001905995,,,0.09438393116449112,,0.10997306865598423,-0.027144136036709364,-0.13842419442837708,
IL36G,,,,,,,,,,,,,,-0.05489309202866692,,,,,,,,,
RTN4,-0.015152942867875756,0.29912083006781376,0.06140688322105756,0.005102881355560053,0.10116458012903008,0.05836274244956148,0.2941593121523562,0.4366049487406565,0.5042758931002214,0.22520606304738436,0.24877403794397032,0.5187576975910746,0.04081301738504848,0.4570299901445914,0.0997106088844768,0.09298512385227269,0.018251183301158328,-0.05168706589967713,0.04190760534151797,-0.024562396366147987,0.025996226921845864,0.42980897919531624,0.03574048951779941
HEBP1,-0.010664767509537928,-0.037010118138017946,0.014660899284694644,0.03172737498145386,-0.01519350013082949,-0.07548886883626207,-0.10504218461530664,-0.13254705118471294,-0.12078110182059287,0.027098699305724665,-0.09828143273906663,-0.27603782043877023,0.04551087087466205,-0.033596913735997914,0.003668957602924696,0.047765942473506205,0.09043879598560121,-0.06467560916337416,0.025622280928388225,-0.019762359281750477,0.017824868866180985,-0.013779647890209457,0.023680366102311754
WNT7B,-0.020161102587168217,0.29424920564065166,0.025508496941575167,0.02401249106587807,0.03692645515555971,-0.013043080165241052,0.04325352708924083,0.1457052780378803,0.33247338313714686,0.036817739831385025,0.10957575071274839,,0.02988465090378911,0.12107281592708095,,0.01510838350391793,0.02451920255428226,-0.009299802892538978,0.009514773293299703,0.07682569967972107,0.03471093985105039,0.026535495164723595,0.11131306669191698
PTMA,-0.038262634240744275,-0.1317951982655782,0.08414892211289351,-0.027675094370097627,0.17392323086510486,0.0028805418911799258,-0.19155924844800357,-0.43197188949660537,0.08737889563235904,0.12109626688215036,-0.16852618977309877,-0.6641198770096651,0.02477113507505554,-0.45830081260496347,-0.04110680849838797,-0.014330983000667308,0.04250466978196271,-0.005224042898153829,-0.046788710967549794,-0.10808505371896451,-0.08463080606906713,-0.12272404779014302,-0.12391094501401712
FASLG,0.0031755591806827527,,,,,,,,,,,,,,,,,,,,-0.02220519308996031,,
