,UKF248,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,-0.016179709541040168,,,,,,,,-0.01777122177802566,,-0.021305656654667313,
BMP1,-0.021833906322967382,-0.060619492211650604,-0.007050948024068687,-0.014308723860421993,0.004305838111757753,0.05569565417147662,0.09290447835479176,-0.0007562634323199416,-0.033128728445531816,0.0013792495191280898,-0.016764884239436968,0.0030147644051270743,0.010961202097735934,-0.024452368425317002
NDP,0.020099675374618105,-0.11166893012834953,-0.05352355927625347,0.0004222770784186946,0.015768457631833294,0.031012424061583815,0.03599337423126848,-0.040307749865554646,0.005987901661258247,0.048829836695545505,0.025332331887996603,0.013802590341808953,0.09197668422952535,0.011074309407920214
TNFSF18,-0.022276911452939457,,-0.007356698265692828,-0.01195272196922863,,,0.03378040252266472,,,,-0.018327147339192582,,0.059196244985476036,
IL36G,,,,,,0.033858270488842934,,,,,,,,
RTN4,-0.0033513417735768934,-0.030136203483349562,-0.0019918810931104486,0.005085445065144338,-0.03923589660737571,-0.014528594092296315,-0.03446339377031635,-0.031411570193197604,-0.003094616812864973,0.06098168509042558,0.03701633754893954,-0.06384372905365358,-0.020546073264927925,-0.04469192400312795
HEBP1,-0.014858879344908298,0.012683396951304386,-0.020447836633635825,0.01654051768053076,0.026243102712787802,-0.00044075627891939923,0.00466048527525832,-0.0686224987003605,-0.01386546950647698,-0.007671469120689933,-0.0372532612370751,0.009169260255750614,0.07718357262415598,0.021267719867882152
WNT7B,-0.03491506931758255,0.004251584933788028,0.03520116876892319,-0.034261364873828686,0.0708044192803968,-0.02582623257963548,-0.027806289488564614,-0.005683398159145297,0.02817083760312683,-0.001345538974735151,0.045435289169220065,-0.02233890984864436,-0.036623159709241924,-0.04622628402152933
PTMA,-0.022679813375527807,0.042514655144927554,-0.026039607240117366,0.033851605899079276,0.02944083682209062,0.0805111665943375,0.057214641685632846,-0.10973210750152441,-0.10478882811148026,-0.027625845609660717,0.01991871840285092,-0.0008128735524581905,-0.0712847347778437,0.0897845557992105
FASLG,,,,,,,,,,,,,-0.018478388748063162,
CEACAM1,0.010502449798057353,0.02035830204757362,-0.03161735150892372,0.04261780928585294,,,,-0.0456934349196041,-0.00261404193616985,-4.739522243976187e-05,0.05510148744387223,-0.014826659356958415,0.04111414620450171,
PDAP1,-0.008178211542816345,-0.009397467490766856,-0.014482919344149693,-0.053545666398217,-0.004560673566667365,-0.008487275168844807,-0.0379376159292514,-0.012583567112425855,-0.002249836102592892,-0.04398659399422679,-0.010105279905206231,0.04513702672482475,0.007356273010719946,-0.09527197394152438
QDPR,-0.007218558958340334,-0.04856215451967749,-0.021406284979559067,-0.034199214263363316,0.003085018109323777,-0.021808994811695525,-0.012471473103600602,-0.06113937364257757,0.10177024527315617,0.05347107140832645,0.0004184258206263373,0.0336288481892942,0.014901756980087463,0.1135289989862621
POMC,0.009941792311637504,0.00966497456838853,-0.010571583453967361,-0.013868993374104388,-0.028558371301543376,-0.009015188479933605,0.009020729469392067,-0.061362979321432996,0.14022639967873468,0.031166281535820253,0.003973931489990034,0.03711387934757938,0.01846569330415171,0.003545178403824533
CCL18,-0.026366986480843062,,,,,,,-0.05454905217685628,-0.02952163443639729,0.009867391241147681,,-0.05105924455116696,,
CCL17,,0.0493010945303862,,0.022852005776041035,-0.016841127149893383,-0.0056019984942705,,,-0.015797580076562998,0.01225379824730119,0.06471356860766994,,-0.016748583914536784,
VEGFD,-0.026366994853596223,0.024358897896116664,-0.013059531149499192,-0.015882543364245293,-0.012353170431364044,-0.008416849182304082,,-0.06145560484479805,,-0.02043581275571623,0.016085908478146227,,,
TNFSF13,0.04854926363756991,-0.014710418014172996,,,,,,,-0.030313183333993108,0.02005868922886139,-0.025125998154845775,0.02738048595159383,0.06593393055339751,
WNT5A,-0.03734808491122631,0.012522840225228088,0.009447689641750918,-0.03991029727512574,-0.029543187225150792,-0.056128907535178525,0.035532367295596265,-0.11139506939791727,-0.008469378304406163,-0.01670799990433779,-0.03216119830299834,0.016537516981561765,0.004530332436096546,0.031971496025429945
CXCL8,0.021138467758974204,0.11524877521486414,0.021768345427701317,0.015577698075551438,-0.011503809439393713,0.01136970423629507,,0.051787445715486526,-0.031282964302288496,-0.0031872440520049985,0.025739313500619802,-0.029907088076596734,0.012773764977274588,-0.0016960725179220267
GRN,-0.06064940068009405,-0.10842267123022752,0.007637915252009942,-0.06114399811599868,0.015288844336411766,0.01857611095668093,0.10362243279265707,-0.1668663280722055,-0.029834154583524577,0.05389507449179459,-0.05720482872669499,0.06381472343235364,-0.05428584680031376,-0.004194497164446043
MIA,0.009607472931549454,0.04753927009239832,0.008501479412702505,-0.020026013784183647,-0.014049129812207527,-0.009848262468613181,0.0929026262628558,0.11959415075621825,0.08442641616437564,0.004505353026109399,0.08502329701987361,0.04990134123848575,0.0394287313188416,
COL4A4,0.05778380395331313,-0.013303873967572263,-0.015943902811050268,-0.015563756975823805,0.0007082170615282373,-0.00815275504210586,,,0.022054978561600474,-0.01982826404009953,-0.021327422201196135,0.05735812238197093,0.07468978961088003,
TAC1,-0.034008597573790766,-0.00030422048913207746,0.07345549949466226,0.02713713522345913,-0.004727857975487521,0.00946687195685379,,,,,,-0.02558021124642446,-0.022017716623353292,0.028891651575466477
RARRES2,0.04208621261870105,-0.04823919632973763,0.007334645693756288,-0.01112418423375193,0.006571448332451329,0.02125935579244361,-0.0033345603753647357,0.05510739590026693,-0.002828911333710107,0.04217892902313236,0.021165004105674762,0.008875991920581139,-0.01308271393532841,-0.002131997468377089
FGF7,,0.05727029357999984,0.027093137794413424,0.004062941567647161,0.0069488533962446305,0.07036422884630966,0.1085499679337713,-0.039213020726254925,0.06212479715584779,-0.05299064394558853,-0.021507030138620216,0.009401711495866702,0.06076461508749171,0.03531013925553767
EFNA2,,,,,,,,,,-0.019422872396834042,,,,
HBEGF,-0.009588749442016296,0.014807185101629702,0.0012139202398754503,-0.025174670599861906,-0.03172412612193182,-0.029536664407031666,0.06590204188457384,0.007519813363708043,0.016702777548229904,0.006751751362477159,0.0512437187867653,0.024163632583189442,-0.00835754936221001,-0.02329997105819952
CSF3,,0.13844269100231535,0.02983165671809646,,,,,,-8.19881566842588e-05,0.046449336998374925,,-0.02125604149008761,-0.01763367508797869,
PI3,-0.027739181456249956,0.08317027966529977,-0.018993976058890406,,,,,0.001942460624792174,-0.06943576172090588,-0.012460761484379294,0.02945201247876843,0.01562955604783508,0.005222661736648297,
PCSK1N,0.02205441828248003,-0.06040699101625774,0.011232886247489972,0.012869814811709755,0.023815331916912843,0.00837723928829064,-0.03693664041738552,-0.08566146135799754,0.034097744394148644,-0.030212866957092188,-0.03059502076355276,-0.029855038376706056,0.04596032768463988,-0.05427859053130529
NTS,,,0.01680156449452055,-0.01777978317403248,0.005669665156598252,,,,-0.036854109851140994,-0.023663084264775685,,0.030045442916100677,-0.02611306825589269,
SFRP1,0.030962392216597533,-0.018608038254614857,0.019551637597657698,-0.024276454878400116,0.052862497152018406,-0.03867812174745004,-0.017656714638376873,-0.04033474716965834,0.010071159829194088,0.015002870901001917,-0.021696082583497155,0.018151900807142005,-0.025506266705566417,0.0795900322355075
CXCL13,,,,,,,,,0.10328959597459858,-0.016345850315356795,,0.11764311821447435,,
MICA,-0.015191917642038292,0.0466007744817487,0.003415084812518685,0.06494241754874351,-0.010070339174006668,0.014670403054740705,0.04617270037636293,0.11162373373518761,0.045949877339176715,0.024453545991557784,-0.009102463652183146,-0.005191358748179635,-0.038887130528504434,-0.06873228523254524
TG,-0.03333707732570116,0.036855787182860436,-0.020358579970095558,0.09662247383542691,-0.012187850583743252,-0.011554804080718758,0.05765742955289287,-0.0025675029213678615,0.06410119824727663,0.02865997020497449,,-0.017494048779021547,0.025141505951196887,
ADA,-0.0030579866422263324,0.0020772110325067445,-0.005877352485467836,-0.029746794487718168,0.009727962407907484,0.10690466444622947,0.06369950095334208,0.052264951688309566,-0.0029944536495913705,0.08922051619090132,-0.04868999472256219,-0.0047147284063860685,0.03488388440635767,-0.0648090984887366
LAMC3,-0.021838627725772077,-0.024122678737063717,0.04975182247246664,-0.030295375042370787,-0.023135560666109677,-0.01817931585362793,0.08510535643230821,-0.10694900776548945,0.04841531142230365,0.05212677483078329,-0.033903239435105814,0.018460331391549636,-0.06027130824617039,0.1253795134909601
CCL7,-0.016771630825909784,-0.014518546407825074,,,,,,,-0.023676931182736387,,,,-0.018478382177368687,
NGF,0.01873408690236765,0.10814168890301498,,,,,,,-0.027344960034403117,0.02423913016448795,,-0.014940331478016213,-0.023878449071153603,
