,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0023422529227865754,,,,,,,,-0.02111009898142186,,-0.011261044427644184,,
BMP1,0.014223793952589436,0.006290602757401804,0.017716644189374235,0.09789684287306137,-0.008942539774386967,0.029546142602496352,0.02056649613129473,0.13209356308490236,0.07293734975812263,-0.02345328485692306,-0.012975607893739778,0.010025490331485256,0.02154161397774626,-0.0007253156369267989,-0.04415678372784859,0.08689847744596513,0.022200956818380874,-0.044454200331190984,0.008315563812337442,-0.05026295069003029
NDP,-0.0015952833040153013,0.04374096943809019,-0.049003028929409644,0.03278421952328209,-0.015600018214625635,-0.03288026824616996,-0.02329718891306796,0.0775414889409259,0.0460243730074387,0.056824341390581457,0.04592040213624041,0.03235147535605942,-0.011878951519186921,-0.024596708332975017,0.08172078784280182,0.09290682181139645,0.046256197658728355,0.08283393364053172,0.051925567461961704,-0.0425862580266728
TNFSF18,0.03183383389630107,-0.020724174409674015,0.056526574477001476,,,,-0.015079732686958862,-0.04038416236273579,-0.023002481265495034,,,,,,,0.09399427446149208,,0.03978563096771212,-0.026348547119697835,
IL36G,,,,,,,,,,,,-0.01808104408272799,,,,,,,,
RTN4,0.024584780983445666,-0.08938537898560048,0.007913059780327603,0.07617446413731532,-0.05191434126761162,-0.03173484466155148,-0.06083716502868956,-0.12589688179894934,-0.0026117044987339568,-0.017408424732160893,-0.060891223879866875,-0.00030699693044586817,0.19311632123599365,-0.013091638098223644,-0.019417830325407195,-0.07635648213031983,-0.021155288160152226,-0.0065473379822718735,-0.07768385369171173,-3.2520078927967766e-05
HEBP1,0.07970441414719213,0.006973846593551351,0.0295137870031712,-0.022803671608430488,-0.006814909892357264,-0.0014074967633855306,0.013940677132164882,0.06807794764496806,-0.012570174995036492,-0.020597698615683162,0.0537697199343429,0.013848399200602962,0.05441481192145339,0.026746262957560527,0.05461338231529889,0.06520233032497366,0.003424536602428133,0.04192940678869012,-0.0003954823534896319,-0.036611289959293684
WNT7B,-0.016485139419670034,-0.035311316785897454,-0.016593100583348654,0.06392557493094417,0.023214375355340797,0.042260416538679804,-0.026045198371987873,-0.08826992604734149,0.05695724400544765,-0.0137412406740561,,-0.019873151131742307,0.00358990879122825,-0.054325568548288225,0.0026535302870592625,-0.002330549739961757,-0.025860407247953292,-0.042873909080794234,0.003066438947646229,-0.01669545554660427
PTMA,0.09308644774033469,-0.030802817198463665,-0.0644013185464887,0.06295878084813884,0.05677961888310153,-0.014202450564852302,0.06662172387749009,-0.05884152504341515,0.05043148443224413,0.025208054931557894,0.036288893636460054,0.020756061642469965,-0.042374689507614895,-0.054646872710300914,-0.04927373578547555,-0.12785402350003477,0.053008409847809454,-0.07075798331868297,-0.03099196929102348,0.023159547276835012
FASLG,-0.01648514407997672,,,,,,,,,,,,,,,,,-0.005006676546951981,,
