,MGH258,UKF243,UKF248,UKF251,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,-0.020915617481416456,0.054118681606189226,
BMP1,-0.0003400763166851357,-0.01794238948535295,0.08204979369261964,-0.0285247986631326,-0.025717662908233355,-0.03607308682148712,-0.0045256232795797754,-0.01181655808643706,0.0853231385558834,-0.06328272220519104,0.039999660892472956,0.10772432672398392,0.05830908917146058,0.012381580441522586,-0.014360089145616851,0.04572615772850107,0.000390923969765818,0.028737501946631633
NDP,0.06083774549650683,-0.01944767915516727,0.024411123436231946,0.015101526059150107,0.04776376289221637,0.046533179396841935,0.018009196510782234,-0.0057934992585196845,0.04033089188704937,0.05872879920879006,0.04039607775053474,-0.017361908751592332,-0.028828853014272283,0.005040610240515489,0.08073446575283168,0.014249962816667981,0.019150224280439658,-0.010283295751530924
TNFSF18,-0.017829524228579426,-0.02181210412137198,-0.025305592538541397,0.0408453064278001,,-0.016905244607739466,,,,-0.03097601533459663,,-0.007077676209782618,,,,0.07264461086734449,-0.007878860813298753,-0.030906808564479655
IL36G,,,,,,,,,-0.013349800014265598,,,,,,,,,
RTN4,-0.0004617483966894856,0.001167123148238484,0.0068765205043306386,0.05284411822011032,0.04020365323327337,0.07394294117892646,-0.053623763631160205,0.01619404686676007,-0.04549672319393372,-0.04850383809066225,-0.03845711221407246,-0.07312552553239658,-0.043782415651702024,-0.07850684883594054,-0.030851739693448666,-0.06368700898458174,-0.037177352301265565,-0.03097359862021983
HEBP1,-0.005212262008525107,0.022894339238384454,0.05585858657658516,0.05103431939239995,-0.029768643183674115,0.031130867679391397,0.03654120200861774,-0.0028694309251464235,0.0585188339626406,0.07882069819723833,-0.04867292110068708,-0.021178335687968397,0.0004296184197014479,0.06229324316732479,0.02664635667310382,-0.012396183823026215,0.04578701524368128,0.07850679650536928
WNT7B,-0.015707252409150677,0.010340241539751261,0.022738286387941373,-0.02922639184432446,0.051980436666415615,0.025344442681335306,-0.021795488352386417,0.04249440509873864,-0.014672968665314383,-0.011539556145361342,-0.02718335038758034,,-0.012723549251750038,-0.012417821081780219,-0.004331425672263986,0.09233798090410578,0.021072069419852825,-0.006301387251724678
PTMA,0.04716142164743327,0.029070074766136385,0.025573321435316067,0.003875016092614437,0.013785499417644523,0.010549570550144743,0.05693587860636593,0.049526580487896606,0.03155099717717813,-0.103142237300571,-0.10805009556533639,0.005615610484368513,-0.05843333146192917,0.024989434560414168,0.019040376230652366,-0.0002461687046106946,-0.0665756266581628,-0.006278028505647672
FASLG,-0.015707256849550696,,,,,,,,,,,,,,,,0.014046010985182617,
CEACAM1,0.10881264000604517,,0.0018597087767630348,0.02226977517083726,0.03729106256321193,-0.026587922363297715,,,,,0.08601304096135969,0.03710569577403657,0.08269316400318272,0.030123858845476543,-0.0013683794596561676,-0.01505832033571331,-0.03186223276162398,
PDAP1,-0.016025178121706233,-0.055155918438053196,0.02778596821795192,0.004390850772440887,0.01989343033425407,0.03340488109208559,0.0005457554078972249,0.04027825065719772,0.07584343702749254,-0.006721623634084662,-0.017884773494602397,0.07892476198976843,0.017787423791656803,0.005945929335976336,0.041502407177373815,0.022877347707951357,0.05429840692353807,0.02019076973776207
QDPR,-0.012046309712215535,-0.02456772267944268,-0.0038942243214771014,0.04710995346263006,0.004617357797433995,0.041947672907096084,-0.02812013939023201,0.04497601077157167,0.019050607785420334,0.054365706343632865,0.02977834330595666,-0.13021449547639657,-0.10342579855972991,0.010156950367085062,0.011513823903398761,-0.012873483716589381,-0.045093188918466795,-0.018717288543840055
POMC,0.03880698023810281,-0.02717470985644974,-0.01152459420444697,0.04198559418415215,0.01765206565899776,-0.0050665056477584795,0.006079128832066655,-0.026341198512792794,-0.028602089615501727,0.033092868018530716,-0.13079138325145065,0.0010019345934103815,0.09636293967402555,0.08682464267017487,-0.028057972268059245,-0.06703305382901664,-0.003130145219692783,0.061142280358989935
CCL18,,-0.029251825110151015,-0.0005446113353544721,,,,,-0.034802945121454085,,,-0.0708714951875798,,-0.034322218945635495,0.057638523486341034,-0.0033000829098896304,,,
CCL17,,,,,-0.04013854751992738,-0.02108413137587901,-0.001808678416499189,,0.09867251755543709,,,,,-0.02122010359765977,-0.041684756665179845,-0.0275760334582043,-0.020756438239627324,
VEGFD,,-0.032958257036637274,-0.00876229107155241,0.007305591999407742,-0.01704853081110095,0.16485128614495323,-0.028604818239015787,0.0034754812241578523,-0.013070210754810935,,0.02306323643751547,0.021862851666574333,,,0.001137011481940044,-0.02908420397446337,,
TNFSF13,,,-0.01051845161281355,,0.04108233114599931,,,,,,,,,-0.029236166638838646,0.03817677015885142,-0.029571729665506124,-0.00780535887584649,0.13786358324696973
WNT5A,-0.06627947751334391,-0.011274775219805367,0.03320894098735375,0.010310052618519111,0.03362412478999028,-0.0016329802979628452,0.02758137106625344,-0.005775559153280656,0.008976763831499382,0.02683188767314786,-0.018077602640212114,0.031673534484525284,0.09381015972218959,0.008139525880591941,-0.05236031161349051,0.06085929113450468,0.05008801715480434,-0.059731595729824734
CXCL8,,-0.0411348767683107,-0.03231607643643814,0.004325393306910462,-0.03125670192093693,-0.032332318449652106,-0.026638050523018302,-0.05481794092517266,-0.02012349101502538,,0.0721344885636257,-0.12908371294671636,-0.01127067198230312,-0.048631356701330904,-0.10101557456497678,-0.013638748856012411,0.07944917003381655,0.010229200206375024
GRN,-0.017246123630201025,-0.0387314311038159,0.10099163357488841,0.002885119987532328,0.019195971471202503,0.0011931450061419021,-0.001363711436768657,-0.024719765560660543,-0.01475188162738272,0.025344087644898212,-0.06279363689038665,0.11328843191436744,0.0300279276993278,0.04852715569120461,-0.03433535990706271,0.07242433503113517,0.009910719065630055,-0.008973300372569666
MIA,0.0018310174290112988,-0.06227252483927223,-0.003938272905349924,-0.028570400486793428,-0.012433697324388763,-0.04144113911825624,0.0054536472189588,-0.024136171384728202,-0.017900252604584437,0.13844061867319518,0.08645030144283385,0.03752525679918277,-0.04395691048137334,0.1052500580165187,0.1162270788059894,0.019536169845042313,0.03305692420012881,0.0071015610970327665
COL4A4,0.006769694814127142,-0.03317823761415724,0.010798894028575413,0.008210262061748755,-0.016530045266844862,0.02902498242241894,-0.021007922651534283,,0.0028001874948111534,,,-0.07783063444127175,0.14107942126491765,0.029756637841151626,0.014915502803776596,-0.0424786504329848,0.06980023030595649,-0.010438305162619411
TAC1,-0.015707248303878537,-0.041553156004305404,-0.02725620848889768,0.0366500197057026,0.07207057451431464,0.045763902035735694,-0.005919967718953906,,-0.03077248090039835,,,,,,,,-0.0272864486694658,-0.059930210737461194
RARRES2,-0.03830952739190325,0.10985155261992716,-0.01792472640636805,0.012572485120468711,0.048185910218406285,0.05474222933069448,-0.016990171127135748,-0.04257820609311861,0.05897525399255348,0.07639567283307568,0.10042787164544056,-0.12963501509861433,0.0038383421652325666,0.009774813082996986,-0.07519168435549545,-0.016388401677221727,0.08185856960955079,0.03821327074639611
