,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.0010487171075465277,,,,,,,,-0.01660306565842024,,
BMP1,-0.002761794840071692,0.006199888967252971,0.029458717502990162,-0.013872881518353024,0.06390964549992949,0.054784621724794244,-0.03628371080382079,-0.03781680755999724,-0.031231532241144222,-0.0628642376965629,0.050570395000003016,0.008296610582086753,-0.03730242506089636,0.04432183943684685,-0.03300998652879573,-0.016601283492471933
NDP,0.048208006672797316,0.019936594255868165,-0.023837019957003713,-0.0011171500920155925,0.06812686349669726,-0.06427323969681416,0.042148725367343876,0.01837255046820092,-0.061004687448919036,-0.009123274944526758,0.05561331539221858,0.04922496384666129,0.059811270929030984,-0.02074891348804443,-0.003914994427405872,-0.007009417965939926
TNFSF18,0.00047190123155685517,0.011072696614230796,0.005206170996230306,,0.03196192759740271,0.060915606764878005,0.05243202324746533,,,,-0.04222233518554206,,,-0.017122448552209884,,-0.023953086904318275
IL36G,,,,,,,,,,-0.016310183601650183,,,,,,
RTN4,0.017904823662883883,-0.006057011738811238,-0.012463086757762665,-0.02404308948387472,0.08609008262668838,0.027629165984057295,0.02806086129865176,0.0038433841291304707,0.03928624885033552,0.12942757449187337,0.032156415361045035,-0.06820680119094526,0.0033880772104440166,-0.009006031763290408,0.0830945135933748,0.034865236085137565
HEBP1,0.0393868377770183,0.03245025641172482,0.0329171912911491,-0.022586205451299884,-0.045617770211583364,0.008930817782335178,-0.0006879378168910198,0.00040440936548131215,-0.004765583846934384,-0.03185854069233103,-0.03274945511640549,0.024271594733926222,-0.010665518505937357,0.04845277072364363,0.005022700093424649,-0.06515821688052365
WNT7B,0.03363297661006807,-0.03561974527767591,-0.018238659188160627,0.0034416295063789053,0.10146861303811673,0.03587091126531535,0.01035467039366145,0.01200958845487554,,-0.017926771386597668,,-0.015451891126389717,0.001791285058430206,0.07333586460319225,-0.023077087773777604,0.011831946421763865
PTMA,-0.13281973781950865,0.013881564639231885,-0.01569642884716636,0.027754818912521198,-0.050991172396184746,0.03809135403323994,0.06474080965675744,0.038170758384058194,-0.03400549439683245,-0.12645031485423008,-0.049932625162498745,-0.043784038636889726,0.03498550462914515,-0.03686818594860547,-0.01277465173127383,-0.03212792347745657
CEACAM1,,-0.023605607332584932,0.07913826274569048,-0.021803530625718767,,0.0009292186545853227,-0.025633913116926477,,,,0.03572142968877614,-0.021798921092275596,-0.019018342734677215,-0.024603170961701566,-0.022758942605332136,
PDAP1,0.011792969043853413,0.025018824097646778,-0.010165089105301589,0.008247060656121186,0.033581138889825765,-0.05504004684818564,-0.012266976759750574,-0.005685402223938935,-0.0002495945849233024,-0.06030321020718176,-0.05922697759684584,0.0165787118407417,-0.019728986333420823,-0.024650940348263987,0.01490203733297987,-0.06501093662472245
QDPR,0.04206186043121899,0.020983626005155097,0.02875734742432185,0.04628110327676033,-0.04772772559765045,0.008230412810484517,0.022461127720260116,-0.01913086768713103,-0.013557019567264576,0.02574001670250644,-0.0380543862514699,0.06321051034387368,0.04650692758066426,-0.040776877919029356,-0.051735292655714325,0.08298610686533149
POMC,0.08483858260801375,0.014012785339111319,0.017095463620236572,-0.004513795094448467,-0.019213425445927364,-0.026114914064635203,-0.018911679023795123,-0.017821460472946075,-0.03291147359915422,0.12513626932948624,-0.04829861000123797,0.038001498300696275,0.0870963968121554,-0.053211634559507615,-0.016891800174894743,-0.05734418429372887
CCL18,0.07823098581895647,0.06604423227423438,,,,,,,-0.023875626037164515,,,0.08314258819059074,0.006058248198365665,,-0.04435466179627577,
CCL17,,,,-0.025303786122149403,,,-0.02032760531079388,0.003607527559331361,,-0.014899815766062896,,-0.015465279417530625,-0.02745417169829702,-0.021890182994222213,,
VEGFD,-0.0021313750111213625,-0.017592929319378555,0.044337904994738546,-0.028191212030102778,,-0.03357935553078424,0.029720877892999955,0.01638608384096423,-0.021300074875555224,-0.015968594053500998,0.058713825168176206,,0.023819918932740377,-0.02308738666883479,,
TNFSF13,,0.008546475677683341,,0.04770933086672207,-0.024593988340102096,,,,,,,0.02915913741148754,-0.0016343956642938117,-0.023474390354752333,0.0032918546214192007,-0.026057541891098886
WNT5A,0.06006499261046032,0.013279721462985112,0.05610902912518246,0.055784808155282035,0.05271179494512648,0.04566024563612253,0.002723897116370865,0.012622166475463019,0.0717755948595214,-0.04440437989170137,0.06792221612656836,0.018144597860253235,0.04586612182835954,0.04847421305683166,0.012793982629045894,-0.02854640980118273
CXCL8,-0.055112965033416624,-0.021738162525585858,-0.01877175910699191,-0.022997255252892274,-0.01328442126227251,0.018607601333700093,0.023796926263170995,-0.02481863583270117,-0.04853574852961956,-0.04801145215934992,0.04787097694760641,-0.032911050338612635,-0.09818341164211267,0.034631917020803586,-0.0014554296112596968,0.02674550047508604
GRN,0.008238051590947969,-0.009548684248062872,0.0006449873051056545,0.0016422065578953675,-0.005923572761061297,0.02575673200802916,-0.013833174783978342,-0.04295134884276139,-0.07307215837670675,0.04903834519021414,-0.0024735750963032566,0.0015449651566378602,-0.055532223895450275,-0.022716347485967615,-0.05999849234023772,0.007532844149487833
MIA,0.021352656643650127,0.02437578964272236,-0.017829289367071652,0.06021654682378266,0.13454050186479521,-0.00601555409673471,-0.016373632684620183,-0.030309980221117132,,-0.02186972135797573,0.08180373117016859,0.10688359560074724,0.11169759961168255,0.09604402803233879,-0.07124230527969651,-0.04773347202018624
COL4A4,0.09498390189651477,0.0446086115686394,0.10617483656872925,0.021899434237228434,-0.023400093332974718,-0.019752038257438577,-0.00844127361463105,0.018153146823418627,,-0.021214441064181265,-0.03160438206378452,0.05097826659832328,0.022541410187041977,0.03996113155659046,0.0809399698676211,-0.02912324864020184
TAC1,0.018495759103721712,-0.0014229059438815542,-0.032097449600939666,0.00964140418662977,0.01527875617252526,-0.009759977964909653,0.06481204375799797,-0.0011770306615208068,0.020572617033621118,0.14115911836965692,,,,,-0.02896838475242658,0.004760719112139
RARRES2,0.013630672969121594,0.030448614437414267,-0.023041994369153822,0.005300338747215332,-0.06883726345570035,-0.0362644745456857,0.057061539106252224,-0.005017024799753413,-0.03297216213087325,0.013952441786602978,0.024686574444558348,-0.005017237448003755,-0.04388029630605812,-0.06687019408752819,-0.03156358427039508,-0.05471721242320455
FGF7,0.03788113296009248,,-0.022627875263070685,-0.018420872400888362,-0.0025076837895719995,0.048809844273610244,-0.014950790911054819,-0.0006478125060094897,-0.015273959185323392,0.03843880942832478,-0.0259819584253582,-0.01817487559314227,0.0051889606408990685,-0.02480714440888012,0.007527595866457285,-0.020265022361358354
EFNA2,,,,,,,,,,,,,-0.01807566200329207,,,
HBEGF,0.0823158174598746,-0.0761848531342666,-0.026655963396871346,0.031015987200805693,-0.005574864257571118,-0.0218879378447889,-0.06557500016378662,-0.02870096749202826,0.0007504911520297808,0.06308851626586275,-0.04895526984768339,0.039561609915198935,0.03256181268370451,-0.004703716764958765,-0.049276515198387896,0.0575724463584434
CSF3,-0.035907040145447475,,,-0.030159906743633558,,-0.020897276296843185,,,,,,-0.029791256585655818,-0.04993225103875516,,-0.0326280530659405,0.03400803633585676
PI3,0.08605664833219295,-0.008801710513354502,,-0.022813627853448093,,-0.02353060892443826,,,,,,-0.03241404491957488,-0.10429908421792743,-0.018599280661780127,-0.022234565593831863,-0.0965969384032575
