,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,,,,-0.023790963008354905,,,,,
BMP1,-0.005919874400905999,-0.025609180245289877,0.00538431157369657,-0.09678715996753152,0.010954279780349808,-0.1668770534415233,-0.030637109417847627,0.017006730577209108,0.0038178354815606927,-0.13871583919988548,0.02188720115145558
NDP,-0.02742788843104762,0.03482992630762792,-0.014917148843479992,-0.04245257085025598,0.02269434544450653,-0.0035010831973676187,-0.015971256132040257,0.002582877415173167,-0.1054994895139072,-0.02937746122491025,0.00901565749472932
TNFSF18,-0.021812105275174132,-0.03797267052414686,0.04416716536135743,,0.030483880018450073,-0.03532886584312561,-0.018888983971685605,,,,-0.032837980124210776
IL36G,,,,,,,,,,-0.018536720988633557,
RTN4,0.07526638502155285,0.03486574716197523,0.04700519850160515,0.002766122268995998,0.08595922911526441,0.2064586191566399,0.03677057154908021,0.10889563228406615,0.2169194617845533,0.16238578825758374,0.10329942946270712
HEBP1,-0.03185554910235765,-0.005101430607891865,-0.030361999859672587,-0.05448162040283251,-0.017930089882517066,-0.11436316289100386,-0.016733862051103495,-0.035139388189813464,-0.09161528875359318,0.00936041955496462,0.04079503856341945
WNT7B,0.05632775405468314,0.09766626604230401,-0.015709238582761135,0.03467434928647644,0.002666681967836359,0.11803538436937291,-0.006305978949981427,0.1404648158847346,,0.012864532396300202,-0.06296935589630012
PTMA,-0.020637549794056034,0.04846684319131089,-0.0479337938022866,0.03402240352672152,-0.0978848200519089,-0.0025533890403988285,0.011337477745536395,-0.029146136356748294,-0.24393311726527253,-0.1833749969080869,-0.075272060062557
CEACAM1,,-0.02916304396481759,0.17628753595231916,-0.028810558657853265,,-0.046490775267811146,-0.029707871788547127,,,,
PDAP1,0.02667726422844441,-0.030554950362242837,0.03951562987684853,-0.015404352638082956,-0.04031520049934522,-0.1357418294125581,-0.005634069507058243,-0.004626583895468632,0.026511187388432892,-0.11171018055721661,0.02922561660379739
QDPR,0.05112068240407754,0.06288114422616899,0.048577688219242195,0.003909261417960419,0.07971136386245041,0.03946684912775769,-0.01350306849494633,0.022347933294105716,-0.21014484045410972,0.06982382196990757,0.043974364090986075
POMC,0.0489600624476426,0.03305843416477557,-0.006683634260252044,0.01753105665242906,-0.06235919505185716,0.037851980545536505,0.028091922468091005,0.024654847553962758,-0.003945412544466208,0.08176396673130847,0.019212482493046173
CCL18,-0.008248307787211123,-0.036392723426254076,,,,,,,-0.0641265223389545,,
CCL17,,,,0.10527398278676674,,,0.025164462653864534,0.03619281570525806,,0.024284762985855246,
