,UKF248,UKF259,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.018219035947526177,,-0.017325838110477002
BMP1,-0.017194299801512974,0.002707497661946391,0.0018363909100565046,0.03857215720106714,-0.00371528782527874,0.021830641654886872,0.001872596883517602,0.05286945325984379,0.08045369988408824,0.02410726283369441,0.054668302249958486
NDP,-0.00559321066200664,0.020402496588873307,0.02707464694797129,0.009091240456996094,-0.026065823102420175,0.032047101394504535,0.050768349051494716,0.06153798783122824,0.07082665164170013,0.005152165269696098,0.029835752872783197
TNFSF18,-0.014283809972818752,,-0.017779781463968344,,,,,,-0.01878897018781419,,-0.0010148873379735158
RTN4,0.00012343702776737906,0.008637672416810566,0.013769915146555286,-0.0009962772038455624,0.11033997467187036,-0.025935590063365807,-0.027800744259864788,-0.016778382286275637,-0.07408416577952115,0.05946276463108539,-0.042826598265897846
HEBP1,0.031550183598928194,-0.020015732228749673,0.0045608484900982954,-0.020138278600146033,-0.037735640479614786,-0.02384918718793566,0.014241407736436586,0.06065944531543003,-0.0415161378994984,0.0391207520884582,0.03428517332511059
WNT7B,-0.03559856511251392,-0.02895798421366905,0.025098507885502493,0.007877699621429939,,0.017925794326345928,-0.014950930066360916,-0.041108269430939454,-0.011689913917394483,0.042102941229260636,0.03505583182886755
PTMA,0.04269722597454639,-0.0033339674789737398,0.009106124297349687,-0.0045796288574820754,-0.10375067257862282,0.046004263109920125,-0.031070094742595776,-0.021320110068435996,0.0010744833145734693,-0.0423433519648365,-0.02873997659158228
FASLG,,,,,,,,,,,-0.015026693482421617
CEACAM1,-0.021644962127678354,0.021070892919197202,0.031567188345897806,,,,-0.025733313247854786,-0.01991504269254364,0.04951706471294574,-0.002395428802769835,-0.020907436961243427
PDAP1,0.030641133460477355,0.015273991210314312,0.012016556997106895,0.027725504673139115,0.016547174375791607,0.007472891977547807,-0.03760085155265345,-0.00172362343214285,0.003868457506306818,0.02822821422017402,0.05949804525905189
