,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.006531760036932991,,,,,,,-0.019505709750422012,,0.028968484866980008,,
BMP1,0.02126078998002433,-0.06282997885297371,0.05718148901757769,0.013642927099022189,-0.01707573257163973,-0.057299377233251354,-0.06960215039801872,-0.2861499202369517,-0.09063026442697021,-0.03363014941794607,-0.1586235786389869,-0.17079153543342093,0.06591639134158572,-0.009945745487210913,0.04420535892584918,-0.01613299489859856,0.252838035818288,0.008198818428829132,0.00919489108870136
NDP,-0.021467741549479367,-0.08199668931124343,0.012528288229876991,-0.030297585331866488,0.020594433941515458,0.12154520758374814,0.0361217423452448,-0.07570035031881285,0.035374036925996694,0.023504040412485404,-0.07470878848158477,-0.04803798050606183,0.0374116059943876,-0.005105545187985208,-0.015481703808454081,-0.0548549608357016,-0.06302726931387966,0.028646657364009627,-0.02855765193697492
TNFSF18,0.05636899996694564,-0.026872387955627845,0.013053520937520758,-0.06409771079286149,,,-0.0015495719292176722,-0.05518893982306321,-0.04362998542091406,,,,0.020939500044663696,,0.03019809605748536,0.011757451750323172,0.04677833018838443,-0.05981236751486056,
IL36G,,,,,,,,,,,,-0.024743982443300394,,,,,,,
RTN4,0.011968110455927378,0.271041365191681,0.025446483675974862,0.021350168445664203,0.03299030008331773,0.1533360600484986,0.26254400437393,0.4040242453509691,0.11814313969443625,0.08288288915303325,0.3582493500746784,0.312918787772656,0.07094604115480639,0.06900343756523691,0.023242359015968293,0.10937903951020046,-0.06009423666846236,0.24580112742239144,0.0258373246895099
HEBP1,0.02938883518727715,-0.06175574405661152,-0.0046902329496845375,0.013972909893155439,0.050642269966900404,0.011872150430726668,-0.11169638364113489,-0.16907407486089177,-0.006657148719418717,0.024523429184592545,-0.10828201070606094,-0.006015287866746942,-0.0028946764817214675,-0.019613263438530145,0.05922875206427278,0.03531514645178528,-0.04599367595601911,0.01102457091612166,-0.04940735071510342
WNT7B,-0.01622975993057047,0.41829749833511365,-0.0025313210783235664,0.01592594533890005,0.006982753709693378,0.06884626927845386,0.17954705894018266,0.30113155012435294,0.10133643267240326,0.025415729488699496,,0.09491107797728887,-0.03236210769425523,0.008556507434678192,0.03432714221668282,-0.061565155743981255,0.026111509356158986,0.015750124215161317,0.05507599108661542
PTMA,-0.013746985396284408,-0.05185878675535546,0.09753988560601441,0.005861616385002029,0.04108624056598415,-0.09450906857110486,-0.24073350843523045,0.07753522193522971,0.10322955935259753,-0.043203372433387975,-0.397238138303468,-0.30203573196696143,0.06307729985676125,-0.024371110711772077,0.04989734772260992,-0.10977168759311659,0.17931155333187415,-0.03857604973329268,-0.19105025914344737
FASLG,0.09738561854262129,,,,,,,,,,,,,,,,0.026420158179055235,,
