,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.015617114824385736,,,,,,,,,,0.07606319187045467,,0.011224826363935476,,
BMP1,0.05031395732641782,0.06133632237705225,0.04250826291444945,0.01332582704215619,-0.036174653926874654,-0.028895429944268275,-0.037165438467021784,0.0955531204488097,-0.05790098932016178,0.03468725055335321,-0.003117389686944728,-0.05702882076897532,-0.05268334707697495,-0.0060122409656990766,0.06955712928138663,0.06269199149195312,-0.03228814776022698,0.022424267132695786,0.03640471504615188,0.07946125915270698,0.037544462942732774,0.040432071552616834
NDP,0.01027865307616968,0.10052568159874554,-0.010046831726865517,0.01900714043662475,0.050730009204324855,0.033014981079119377,-0.007709817490394217,-0.06768576275355505,-0.03853549552764265,-0.017507136299889432,0.04560305072635507,-0.02218983621538597,-0.06629728720999932,-0.15934650992412971,0.0020420914297710176,0.02155757104016485,0.08645426709972383,-0.0014103965890000906,0.05774763510225737,0.0743667518069396,0.09870477920897601,-0.08211986456548118
TNFSF18,0.09494299938934725,-0.01499639421675257,0.009129280427785493,0.04817398211112001,,,-0.016264936163553165,0.07295116791482024,-0.010647509216605143,,,,,0.02635107500319282,,,,-0.03621629808952208,,0.008589924604359285,0.04236587476739049,
IL36G,,,,,,,,,,,,,-0.01293467994433428,,,,,,,,,
RTN4,-0.06765606831508127,-0.04903680772927814,0.008858714322095207,0.008834226101789192,-0.03603761311172237,0.029718187375179474,0.0061249159936036255,-0.14052685820239222,-0.02655928900045467,-0.12272739010251826,0.054609399222757454,-0.009514215635626124,0.03471958795650639,-0.07525657269331411,0.017886126628447317,-0.011585251821174645,-0.03522251968931124,-0.05411483565881244,0.017421485753586183,0.05126837741010382,-0.041766067319727825,-0.06108959836854316
HEBP1,0.011266675940619178,0.031736385222528495,-0.019845346452547093,-0.0166497658064763,-0.04517470662056534,-0.04096862774406651,-0.041450588238503075,0.09639331530996875,0.050635928768298324,-0.01323093365806822,-0.006026629221330394,0.031037324104913867,-0.025666369804817193,-0.0019537979718640217,-0.05136944027500175,0.044829460965203786,-0.029194877638854724,-0.008840894067336827,0.048134489234443564,0.02404330866365566,0.0558145136015165,-0.05352426147855445
WNT7B,-0.004305860978236115,0.02927050353934965,-0.035634568952355554,-0.02065821329621283,-0.023838716565923016,-0.0011239205623012666,0.030161328073458282,0.008302641265527471,-0.030520094017639478,-0.04656120851049204,,-0.04150003052044143,-0.01421670386944205,-0.03127832727470367,0.0005560973353437856,0.04908024889624903,-0.0327812412581578,-0.037218483858352594,0.04523568626346265,-0.022067372369444036,0.15256536292454737,-0.002421658028212631
PTMA,-0.019703573477744395,-0.1589637624022095,0.1024389764826092,-0.0015371659714554376,-0.04676925617493753,-0.06210818107095243,-0.04858426600526139,-0.027580923910584938,-0.021338093721497742,0.09194479654182873,-0.0048183270572917025,-0.07592880172950889,-0.07902958000995298,0.07650392198138405,-0.01992928181821744,-0.08291140803300205,-0.024254766296313544,-0.03703058496170214,0.011302541641411264,0.04391378022935368,-0.044028294335048186,-0.07392259711291593
FASLG,-0.031111063563064652,,,,,,,,,,,,,,,,,,,0.00815094190994465,,
CEACAM1,0.05134340078279689,,-0.023762357527927564,0.12219938274773184,0.02505581284277989,-0.01824295171381646,,0.06488365638193418,-0.01674599539861076,,,,,,-0.03417667968265678,0.04848197483601849,0.04689291339058839,0.0014738582918763044,0.012212988631122988,0.050343088279746886,,
PDAP1,0.07110144545353467,-0.04341490457611425,0.003266502083858492,0.019846546122868194,0.034322986786380016,-0.03570593594595095,0.025546461091586887,0.10692939346541439,0.009202336874553976,0.021966335746880894,-0.0024060245643281906,-0.047551941961308644,-0.016988908597767628,0.08896588219719982,-0.037278351530633524,-0.03171803374609714,-0.005994753043759424,-0.04131174276162908,-0.04335514878633487,-0.05036001130863956,-0.02247779690572782,0.10788995032285119
QDPR,-0.10695956323676964,0.07154359816565335,-0.06017586206206222,-0.05076056077470341,0.030626583889548753,0.05735631328109767,-0.016874816494476388,-0.13000615489496253,0.0008478011303549671,-0.0414770003027602,0.05431015137478819,0.008397304816502273,-0.030016751277557933,-0.055973122273777494,0.03492922937232429,-0.016287919278719986,0.033327447186311435,-0.03698795835179526,0.020402464963030206,0.030812825362176773,0.007384877309955872,-0.057890203695603444
POMC,-0.0515405476243362,-0.00152185791632361,-0.01270843187410482,-0.027979074508962063,0.006594422225212269,0.024910044134583902,0.004544507694541948,-0.0029867221277103256,-0.012354527709753302,0.07259400196024615,0.03492908507174635,-0.021912638882136508,0.010577853304864727,-0.051928482434001666,-0.014398833496818558,0.045639666295716426,0.007869264159274006,0.04661571743289895,0.07913605921975493,0.057265331482772304,0.04623514148683217,-0.04079652859114261
CCL18,,0.051151639931291064,0.018221722669534,,,,,,,,0.016565885767847573,-0.0017126460222268844,,,-0.02423182781352034,0.03574968707477577,-0.014652980788314396,,0.060663874341544764,,,
CCL17,,,,,0.02225172471420192,,,,-0.013279516999476543,0.029155571970679025,,,-0.01181619734458848,,,-0.023401563891843634,-0.034347127395306404,-0.03917710712284534,,0.0440552171455707,,
VEGFD,,-0.03765348297804327,0.004944403952133036,0.003914422261350129,-0.01582217621499473,0.04536869927176723,,-0.021286591982270592,-0.014148202165941128,0.011311819053644919,-0.045585925012944076,-0.014805064613299437,0.014184496421469813,,,,0.010339243342805593,0.0018215477179854178,,,,
TNFSF13,,,0.009100649361051386,,0.0510157063100782,,-0.015773595021560467,,,,,,,,,0.01796037463255925,-0.037334153187772626,0.07960631431112396,-0.025006011178944246,-0.004775524909632635,0.031179067205722145,
WNT5A,0.04709781310619659,-0.029484098974770986,-0.011401720346041597,0.016443521606744064,0.02376825100558514,-0.0636557078493036,-0.056456697477215524,0.08846316936059215,0.030793687427109882,-0.005942634763135925,-0.02230636210847224,0.011963145523646416,-0.023465072660539443,0.11078937214111574,-0.039488579129922666,0.045182858126602395,-0.019655666307826655,0.016667198225716738,0.040468133895117116,0.0953058210866428,0.002712356772697649,-0.02435513065263407
