,UKF260,UKF266,UKF269,UKF304,ZH1019T1,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.016955650084772216,,,,,-0.019211059423170473,
BMP1,-0.010009113495654,0.035581133773626955,0.04798513038475147,-0.023211679326454827,-0.023037638802827,0.044196996144440705,-0.04319083307506283,-0.03923720277407653,0.03746591782395287
NDP,-0.0015553311991536164,0.01572780908835917,-0.021645975117495227,-0.030731386516955495,-0.03185963873192874,-0.014547949833054475,-0.019396953244835143,0.04637633137110463,0.013577960290778403
TNFSF18,,-0.015682676669152393,0.0861827541991623,,0.08474079426072063,,,-0.006587442730411288,-0.032022969804290924
RTN4,0.0008552476197820054,-0.009494989012377174,-0.08775435675992178,-0.07646333885530956,0.025889666348332698,-0.05193918574187925,-0.03812117490833212,0.045311429916769404,0.004418014118081857
HEBP1,-0.0036932467544808036,0.0471071238371509,0.009981845404405153,-0.00689731607010192,0.04776927513646948,0.029641695879188544,0.04854783580093113,-0.029615854416222307,0.09783982392904053
WNT7B,-0.030278638246519027,0.021568322061234883,0.0012788551970824634,,,0.11228537931596017,0.011149941350726503,-0.03023250241593247,0.13794897711194234
PTMA,0.048673383087848576,0.06697190134372209,-0.06075479467370125,0.02322879775325064,0.07876847593220776,-2.1685836586950102e-05,-0.0020501147687995228,-0.13516638936995992,-0.11838833486957913
FASLG,,,,,,,,-0.016661745283768122,
CEACAM1,-0.016207972624221717,,0.024045783422269353,,-0.03279150200122825,-0.02226730323171801,-0.014826660991910582,0.10259314693115354,
PDAP1,-0.016992435193633186,0.015282230093341367,0.060539212722179214,-0.008932237026322397,-0.048428364303503633,-0.007997111069832903,0.02076301169584747,0.021241369034967664,-0.0069342509457674196
QDPR,0.028685516002713914,-0.004515801938417344,-0.06535162768544936,0.07937013206475581,-0.08187695750142306,-0.018316414738594123,0.061781107482877955,0.03911892537858569,0.035295443050664774
POMC,0.07504037757287171,-0.00412621089903992,0.07567857259488445,-0.006833691306573861,0.04164325078153573,-0.0020191073349254897,0.007065413096072143,-0.03909423556516407,-0.035035278403701124
CCL18,,,,-0.029378843475794735,,0.05305341998791541,0.07336422386310519,,
CCL17,,,,,,0.12251380744301982,,0.011768807042013482,
VEGFD,-0.01550687054129169,,0.05303208144905826,-0.019515878033373013,-0.0212575146315391,,,,
TNFSF13,,-0.015208924778174156,,,,-0.03031317143437892,0.07051396906549559,-0.024607449560826354,0.11411826409226845
WNT5A,0.0199702748282769,0.04710464901829071,0.0448897166528243,-0.034061882221962644,0.028304513803687828,0.08283449380864391,-0.05448961077473699,-0.007474270718545526,0.00011050877964069202
CXCL8,-0.06692838083712091,-0.02163370905893414,-0.009344631859055848,0.03728963127693041,-0.07592688210908731,0.09768323777980667,-0.01982030601909883,0.014264745995188897,-0.020094390784868073
GRN,-0.031833205725614155,-0.03548707610930507,0.06360579102833211,0.03214958790379708,-0.019395344670257112,0.03999734719009044,-0.000977262576150481,-0.015165183572957062,-0.038771706094873445
MIA,-0.04705320330322944,-0.0010554663621889471,0.06963580192134418,,-0.04511821641102582,-0.011565837183340292,0.08097205752287785,0.036836276039268506,0.05103102364555152
COL4A4,0.06920748889290473,0.08635097658980179,-0.01670853462258166,,-0.03490649207976607,-0.04174165837405279,-0.029880846467045006,-0.004125947349110418,-0.038934978006526094
TAC1,0.09127385583149189,0.007862819479127824,-0.04932585978858803,-0.01943621978992305,,,-0.025580214067182718,-0.019853115502126886,0.10616615772653575
RARRES2,-0.06620901355609637,-0.02704502927443354,0.11373014856826573,-0.032072263374047456,-0.04958554019128074,0.038231808968694846,0.047043230288507445,0.07425734887760581,0.01053178004629121
