,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.030462906790330382,0.010047944295120993,0.05561535671004745,0.01669065533510369,0.05064524233645859,-0.020011106403467416,-0.05220780238052637
RARRES2,0.02088003707826722,-0.0076222844503770724,-0.04827084945979257,0.03041538031103564,0.011000243391708143,-0.022736319740791024,0.032735328857675466
SEMA4A,0.031245316087699704,0.0552280583454324,-0.0018858681869328067,-0.044147048155672934,-0.04601780292920248,-0.019891384586584432,-0.033797516810734216
GDF11,0.03300300270302101,0.025023323347123844,-0.04874190559523462,0.05317780631897283,0.02201521311320746,0.043545565634689656,0.01611513009988643
GPC3,-0.019098767529677447,0.020587731055962163,0.0657783452876014,-0.021378584345878388,0.013442194785614673,-0.00373596696624964,-0.04750238968799658
OSTN,-0.014644245199469401,,,-0.015058292847608432,,,0.008177932140191874
GRN,-0.01190596216194433,0.049025985281223185,0.052197541270461806,-0.022025267681638535,0.019452572976632332,0.013879807413386718,-0.03011153163588722
CALM1,0.008265446314928135,-0.0027055126347396083,0.023290859606612903,0.0161047101017071,-0.0020939130899532816,-0.00883736113315828,-0.017763256782736308
ANGPTL4,0.026704752418375707,-0.060004471461225166,-0.020770594804673394,-0.10220028027082444,0.08570919822747289,0.08275059730648246,0.032043045336118084
BMP8B,0.1114028465005673,0.013173472146839973,0.01183379832399854,0.02106476562486573,0.01371437735338957,-0.01094260064586872,-0.042564117159848834
TNFSF4,-0.02242650722086941,0.0454851899540692,0.0467806184855136,-0.02492563079099959,0.04291725891385101,0.07554413820428955,0.03610567544137593
RBP4,0.00033244797978729897,0.046206304790416854,0.04800866074585333,-0.02026379217707453,-0.010391688474495024,-0.024347880968257317,-0.0481979909631621
DKK3,-0.0005817134883413287,0.047344402457888846,-0.015179164606298895,0.019362100668596314,-0.06014191035948875,-0.03952633255985905,-0.006633039473267362
COL11A1,0.05267281297489976,0.0246850780346727,-0.03603856877475716,-0.052482938701052695,0.01709539385413517,0.023684506594458893,0.007294011769457895
COL5A1,0.012407441159320914,-0.024598613829309505,0.006634051982502101,0.01302766384912591,0.0778992948163305,0.044768947541451866,-0.03222232256013927
KISS1,,0.030959568690934684,-0.021956260030287465,,-0.004527590602276478,,
MEGF10,-0.050776739171413995,0.07229623614314445,0.010208002841351253,-0.02622800472944406,0.0022405403238606354,-0.022630548248960665,0.00880575078511283
CEACAM1,-0.02547985887976266,-0.025116509711624716,-0.021442929676016985,-0.021967977965682655,0.06988994276926938,-0.018372287468830326,
EFEMP2,-0.008905489086060004,-0.016929951962384684,-0.025604575768111544,0.054894110291027934,0.058480834514069255,0.057647136978258844,0.03365142414422254
IGF1,0.054283738597831775,0.021409311079522313,0.04056287028016756,-0.04424511667881299,0.0356087936196669,0.012416846657835335,0.005410798072712825
