,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.0226409700990046,,,,,,,,,,0.0541283648806315
BMP1,-0.0867137754071487,0.033496786678081925,0.02798918867053509,0.03023787728003582,0.09643774350956878,0.01596478333406942,-0.011528463822033515,-0.05151521773749775,0.00200044442302877,0.03776025977625024,0.0940072198689419,0.10177986803814927,-0.006584513511406314,0.021662710154380756,0.07938025194422821
NDP,-0.007943910606305185,-0.023968220155657888,0.018951269041297715,-0.0018784934628170117,0.009389916010865971,0.04262709813577316,-0.040395393859346054,0.020281857522801424,0.03193265063724785,-0.0310480806724468,0.026409382719254408,0.043664464754370184,0.023477772511209843,-0.04606105271254815,-0.01895036386507919
TNFSF18,0.07121842344634344,-0.02285279104098224,-0.012562631876308038,,0.036225490221716616,-0.022926449941882844,,,,-0.009340307129305898,,,,,0.025617336259501113
IL36G,,,,,,,,,0.011010671804992118,,,,,,
RTN4,0.005582508298093855,-0.03261807455449759,-0.08015765037535323,-0.03147024341558955,-0.12018121080375847,-0.032292026449106774,0.020899465965479074,-0.03034369295763737,-0.009665108419409716,-0.05373042607263153,-0.08957267961378043,-0.014875840641568272,-0.00118649906835094,0.015316946220756083,0.009964997182811365
HEBP1,0.09751561823108454,-0.028870501282808297,0.03438900947337025,0.000715667068190776,0.045854418247290224,-0.012913500183566564,0.011922272095351428,-0.03896258438115435,0.006162263087067305,-0.02398241336473949,0.031228317902059866,0.022316482072466223,-0.010403693185963323,-0.05602188578347715,0.026475487429257802
WNT7B,-0.018408457655154684,-0.042075855758269824,0.020530897147721505,-0.01603531991592932,-0.04414773890358986,-0.013385589171100875,0.031046705002653795,-0.0058089140718493755,-0.023170683493724704,,0.028942897454592127,0.039505725939859904,0.009498156199949087,-0.020366672272462638,0.1064234901357897
PTMA,0.021956853815629694,0.01412117475292858,0.06833678643576555,-0.01670109685823915,-0.06273192017690749,-0.08433829428541945,-0.007471661687151749,0.07003861597543448,0.05606414609519646,0.11859605236684675,-0.12543337975756516,-0.10097616884532216,0.002232905127419058,0.04417229640854664,0.03128590153018201
FASLG,-0.018408462859178507,,,,,,,,,,,,,,0.09618278629829928
CEACAM1,-0.025560311785078272,,-0.016475537015354556,0.02030288019695375,-0.017574293456119317,0.026622601644854277,,,,-0.02855393352715301,0.03657108045109011,-0.02033424042209211,0.04798512383790964,-0.013517656594014087,-0.021171435788642227
PDAP1,0.0049841554985625165,-0.06155814405486193,0.006892128157613636,0.00894687409441447,0.10078795809769664,0.030994599555859346,0.01754481358447952,0.048562080741506315,0.008008033712660434,-0.05036614364445406,0.04993810838156099,-0.062497316477716704,0.01605127349284428,0.007170458210923496,-0.055972619403779456
QDPR,0.057243909758822924,0.03956726565900613,0.015480549333432701,0.00954846563477652,-0.09084676037936754,-0.02707825070462995,0.006217370879067574,0.021309236551675725,-0.02846683204132197,0.023928308354817875,-0.09788651698046391,0.03181296174897762,0.05865319920817685,-0.010883079108931914,-0.032820840815057345
POMC,-0.008298195149571991,-0.04314988331194737,0.04253865178599532,-0.0016027415974887663,-0.05703236665721718,-0.02660203953160546,0.02851951014130945,0.1351368400162335,-0.014190418195495016,0.035122741656736504,0.01153912508007135,-0.022083864230446587,-0.011681168525283763,0.04383769345395167,-0.0025264781885545296
CCL18,,0.04358466573805937,-0.0039221958181008985,,,,,0.09408674444748567,,,-0.02192263062549804,0.08005388210675309,-0.00781770679982948,0.01582503712969018,
