,UKF243,UKF248,UKF255,UKF260,UKF266,UKF275,UKF313,ZH8811Abulk,ZH881T1,ZH916T1
DCN,0.011912935935990854,0.054062973639920235,0.05801981546651372,-0.04492207529765756,-0.07635147824614671,-0.0042954371992546415,0.009714068613531912,0.037665559526752906,0.1387433111762109,0.07143025707216075
RARRES2,-0.07247304170573825,-0.05196162897489227,0.034037340155191706,0.1331144103760049,0.0470153562310489,-0.011677460847223407,0.10783054394739845,0.0010930950657678995,0.01747062559550601,-0.05628246298156068
SEMA4A,0.014979049553768541,0.041763994249454435,-0.016948262436304384,-0.022610328313142705,-0.06484519624182097,0.017963414267410535,0.02703018997088553,0.008262887391507066,-0.013212471202560023,-0.004770472621644411
GDF11,0.036249963100994334,-0.09633275064427596,0.08348213464186506,-0.08446242783772363,0.10976048601341422,0.017970694053160673,0.022121925616769362,-0.04591714557461314,0.0024972290223118556,0.07035149752945481
GPC3,0.08363453005488039,0.11287885596390762,-0.00546949255728811,-0.01001550440231141,0.15207255405601963,-0.013082787723522055,0.1276459450846951,0.023554554352133553,0.05760701284099032,0.034119601361226236
OSTN,,,0.039037943540907984,-0.023156932893033975,,-0.02021728134945341,,,,
GRN,-0.04208156534434041,0.08686447461155597,0.058641028599021844,0.03882408499165116,-0.034412871128248944,-0.06158345608670139,0.043268930683528176,-0.037200274112727916,0.053331111841780666,0.05940293238884468
CALM1,-0.057957676970174336,-0.08367425002003127,-0.0159557923449534,-0.11887263984387637,-0.13199268807425252,-0.023454244846607505,-0.04699233046321503,-0.01735141178537345,-0.031182930762423712,0.011242659314985132
ANGPTL4,0.044509304195451564,0.09425032020579138,-0.047281616921596506,0.09638767276649333,0.010014518075283262,0.012035232828517033,0.05727279944208981,-0.010219406454229946,0.06648868863095939,0.02104920745949156
BMP8B,0.07379930657096219,0.01921204684413948,0.05025589688713293,0.003914220877113348,0.07623794760176636,-0.028348813926295745,0.09645495219349506,0.013202390923039403,-0.004907441754034623,0.15351932643957925
TNFSF4,0.022129427642489315,-0.02961619901069703,-0.03944230934348671,0.058851179255056715,-0.012660778666419672,-0.023499586477132944,-0.0005405583895588605,-0.016177711678107456,0.009162995158467264,0.10812300401037615
