,MGH258,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0145137220121717,,,,,,,,,0.03453449114720325,
BMP1,0.06952370620695868,-0.0076393289923275395,-0.022748031275928584,0.016524628247656884,0.06872286242107647,0.027500659757969316,0.01892524876571671,-0.02932384811587729,0.033941302125419216,0.06770881593867166,0.040898466825484536,0.027601571956328078,0.055548528188192184,-0.07316990533715087,0.07496166471590798
NDP,-0.004243427369823027,0.047325825506197364,0.04063518203178767,0.01173343062229705,0.01824656218804863,0.019411373909600203,0.010200573304459663,0.0338644442651284,0.10026910131466613,0.014877146743131201,-0.01950454561725969,-0.0001781318666557008,-0.03708014819865005,0.08245224091400695,-0.0034641251036163965
TNFSF18,-0.02010297381381486,,,,0.05162864055643739,-0.010176854652504733,,,-0.03871208058306693,,,,,0.040668088108783966,0.013801348610204423
IL36G,,,,,,,0.05955382574931811,,,,,,,,
RTN4,-0.04893754229758263,0.0549012837065329,0.007991845591316063,0.059147658673750686,-0.09855202042389125,-0.05101338798116764,-0.048390588560272854,-0.004237567310182053,0.10484619003229935,0.02008235002024763,0.012641568235711763,0.01632111336165322,0.06515735746888013,0.05565165537946381,-0.057825059042890425
HEBP1,0.1214630112551178,0.007983567659514412,-0.0043139292822036625,0.007573544601367903,0.07334033250522556,0.015771826928350056,0.0022743167113235953,-0.0007617020568777856,0.04180291916313047,0.04376902204273131,0.07808617771102322,0.005504597708249307,-0.009477340466480985,0.006019702299661387,0.020879613756802407
WNT7B,-0.017710090287321983,-0.03149543752925807,0.0133366393026558,0.05388117136584587,-0.007523947575376514,0.03494264074748465,-0.019360378434636866,-0.043580772574253426,,0.04968172703823695,0.029066021832284527,0.08394074809094366,-0.032797880230641625,0.11031009219555478,0.0026225808546090404
PTMA,0.03677041686703145,-0.047013224175664656,0.01535644376206625,-0.08349775233033639,-0.06078182524843142,-0.048611470105383345,0.04133133039503537,-0.1722110438096558,-0.000550203029716786,-0.13391504909147503,-0.08021348955465477,-0.08792559135903315,-0.06727505495506014,-0.12760442117067994,0.04703109828170892
FASLG,-0.01771009529391914,,,,,,,,,,,,,0.0073777206556142946,
CEACAM1,0.013768168355929575,,-0.01855020647960516,-0.02604576316216175,0.09941336850372648,0.051946110816127454,,0.034263477691495535,-0.06028942152384845,0.016018876436774396,0.058005650228356964,0.06906306267762108,-0.02176843011162222,-0.04679970177823524,
PDAP1,6.187116665542631e-05,-0.014857373691706815,0.03178868471265628,-0.006576286984181736,0.09114001182413793,0.08062195846297085,0.0020606990617111636,-0.06277055609232594,-0.09078966216294648,-0.00408352720399969,-0.04602119595528157,-0.06460796222653659,-0.06784204505735066,0.024317874313401048,0.029469609588253926
QDPR,-0.0029797116420630493,-0.004649829092149108,-0.011296673992721737,0.019757827211473348,-0.11274520475133686,-0.006991762860101748,-0.06632400764241514,0.07448234909037733,0.039538148033749984,-0.09808385620857242,-0.040142419263237215,0.047598830245558804,0.040418693155780165,0.10338513184636494,-0.022176399616550487
POMC,0.026742739809349884,,0.012090559015599075,-0.007954448172767102,-0.004269092875401618,0.10375821009287817,-0.009912991587507186,-0.03191122938493507,0.004507832600229501,-0.019504016056213613,0.08797527640820132,0.09664687239850406,-0.03561029203904494,-0.008253595641258564,-0.04131507036578276
CCL18,,,,,,,,0.021254206022982745,,-0.021652684297425295,0.10602871819392226,0.09939209450126141,-0.006977825971984401,,
