,UKF243,UKF248,UKF251,UKF266,UKF269,UKF275,UKF304,UKF334,ZH916T1
IGFL3,,,,,-0.016803090834705558,,,,-0.019010181596146963
BMP1,-0.023254574011276844,0.06359007224527286,0.018465328342335736,0.030460087592256956,0.016290711699968163,0.0007329760859904749,-0.057989378400349116,-0.048459995227070084,0.07864121020825185
NDP,-0.021215666368882464,0.007189971019497768,0.012745694004167026,-0.028823757726893655,-0.03228494756572199,-0.031320698206141605,-0.00044337363584596073,0.02355612400456889,-0.026829086611471265
TNFSF18,-0.01837268543664305,0.07520685959234769,0.005668194024437769,-0.013966645244929818,-0.024952085446927643,-0.011674764661574738,,,0.019866935462184623
IL36G,,,,,,,,-0.014527079587215825,
RTN4,0.09647560509410212,-0.021355449977960746,-0.051542195391557875,0.03245608593053836,0.06951274715890524,-0.04574373762419435,0.024139332855702564,0.07931195329278971,0.04752867921281363
HEBP1,-0.01921312857936606,0.020886666334161384,0.030660741306905114,0.058487688234213284,0.08717123189413312,-0.012544569378285344,0.0601569729619933,0.00015258262384964654,0.017008322356485167
WNT7B,0.22065725895799693,-0.009115418146027602,-0.020824297153011883,0.027780581330917504,0.1268584534238868,0.022005677433278605,,-0.015966934587332254,0.08525431690904105
PTMA,-0.05649530742762756,0.02460255481629911,-0.01919076867864753,-0.05874064881275438,0.010293161471925522,-0.045404020050565916,-0.011930434517940795,-0.12633281163361185,0.0014975848112615039
FASLG,,,,,,,,,-0.016487524012921095
CEACAM1,,0.06696560065680845,-0.015981395567801922,,0.07560648089420259,-0.01836162348633581,,,-0.004788811905487133
PDAP1,-0.014364859256734778,0.03419712232534896,0.014249713021219163,-0.06049699237231654,-0.039702839952605276,0.04113779004880483,0.03995441379792998,-0.07262590930645255,-0.03881335851138131
QDPR,0.1378870581722274,-0.026292308742675775,-0.04386545189259001,0.021280201197750207,-0.03640432997339008,-0.0301986553226981,0.03853811731900775,-0.07096336242313347,-0.01041562048356852
