,UKF243,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.012644883676085496,,,,,,,,,,
BMP1,-0.009997559668108818,-0.03087649142466696,0.01367731960992329,-0.09879461570891733,-0.05566300586605641,-0.0068817502650927575,-0.1167095899136838,-0.18490244253579102,0.010340429848881434,-0.11976920932805535,-0.09830900817734324,-0.0739947129313039,-0.02818997175636334,0.056985365387692576
NDP,-0.016603253875888027,-0.055186876429786716,0.058443295128804904,0.0776550746073177,-0.001818797750834698,0.006709506240257066,-0.06458649300543465,0.039878909521994875,-0.02367513920814057,0.090745618482252,0.033301594091865894,0.07397790702188965,0.03112287388289873,-0.035068719645128095
TNFSF18,-0.019872580277829753,,0.017539472131632074,-0.018777272649176547,-0.015018611617367261,,,,,,,0.11655496722919789,-0.05083791280589565,
IL36G,,,,,,,,0.01544297585131562,,,,,,
RTN4,0.1756769707583435,0.02472551009012606,0.08472694933277174,0.13952783981704983,0.06956734918945205,0.05126260256763872,0.2825056615409415,0.23178044274187645,0.04363108079736495,-0.07697025249664721,0.05214253619213303,-0.089886359547737,0.14936720391246694,-0.005185496438960959
HEBP1,-0.01617143587127778,0.015062190349041691,-0.10058737632833704,-0.06355745887231766,-0.005780935195214196,-0.03048423173542982,-0.13933348212718846,-0.023634856737995893,0.03583091320372806,0.05317421111317555,0.006225440095336407,0.029707527680372763,0.0463457063399287,-0.07717317093050372
WNT7B,0.2657380218543379,0.0235700011755958,0.05637752585884622,0.06558854241618453,0.014640947357443958,0.07866170734933894,,0.08455408336328497,-0.043669185098373885,0.008141803553028786,0.029967819988693876,-0.033140116222762944,0.05311525385405883,0.08517944166263541
PTMA,0.008351701356470823,0.009199718226219736,-0.12987173501360286,-0.01853016416385569,0.05544721703025571,-0.013106910954961403,-0.3505627400045639,-0.2255144078893299,-0.08918145003627968,0.011926054368379508,-0.062063452117602454,-0.033403366399147635,-0.06044546212685504,-0.23037941398682088
CEACAM1,,-0.018066805048500563,,-0.024709821332833656,-0.012068461620979567,,,,0.04225391759386167,0.012492708813504233,-0.03271881057502242,,,
PDAP1,-0.03588494255571416,-0.02432418237387014,-0.03852568392393045,-0.04230734854147926,0.027087600668111087,-0.005624125439558032,0.01658343546602009,-0.14784922139838874,-0.11563327334199049,-0.08306771382892111,-0.004022723246459332,0.13617457955550502,-0.02999143593491756,0.05066476291163977
QDPR,0.09722420153220741,0.029456985410188125,0.041131139619323596,0.07896981556771643,0.04294397651939856,0.00765383177172746,-0.2849457882244178,0.1333523991578744,0.1120432900870246,0.08264938120876293,0.05385855907024043,0.06776325118050332,0.14169359825720798,-0.031286288549074524
POMC,0.1263560032827962,0.1230030112376424,0.045517471028499436,-0.03185232960420164,0.044939666520669,0.015281990644986362,-0.04243921018595941,0.10383329398104031,0.0140999578897428,0.00236315512206562,0.06068024740316535,,-0.013025356765277848,0.009639249003115063
CCL18,-0.026650764160112944,,,,,,-0.13154079883965858,,0.022819365056963966,0.033677194477323875,-0.012203990701728357,,,
CCL17,,,,,0.11620290518940075,-0.031075992111575107,,-0.01415950864355736,-0.034111415909403676,-0.026954469060301238,,,,
VEGFD,-0.030027621596403983,-0.01728529616117279,,-0.02118357206864413,-0.019956437612928715,0.0014804409451204632,0.030567929804085105,-0.0293909468932047,,0.03394211510221486,,,,
TNFSF13,,,-0.02416401350432144,,,,,,0.004354079710213933,0.07610687403567064,0.048301717543958046,,0.03382794921478925,
WNT5A,-0.04558472512484292,-0.012637566681443132,-0.03483589716154143,-0.07222929350163078,0.01484350549745146,0.006706609542432699,0.011829926421419444,-0.0396360846295763,0.01485180486472283,-0.009580188336501663,-0.05412226192069945,-0.07250780242377368,-0.10848860359798919,0.09560245217474729
CXCL8,-0.08320837520550045,-0.06146121615835624,0.030901628123355864,-0.04212110466524583,-0.026781202308382535,-0.01556465942898825,-0.09999409180822783,-0.07963328230340534,-0.13394668602172238,-0.18393568402974783,-0.025739236924783245,-0.07942438880223643,-0.09984725351989804,0.0159104831206526
GRN,-0.09537762970543867,0.017023297090975956,-0.0704257115461827,-0.10603042176460711,-0.005306786096289055,-0.024141391992731794,-0.22643252251587478,0.05292982592116119,-0.047861026484478646,-0.05511846762594934,0.027495937551453548,0.004463477035351643,-0.018377959624224605,-0.023318685792685468
MIA,0.017367898674456175,-0.044189168999037444,0.018012978719821653,-0.03612127725937668,0.010125599793378064,0.07011445657835753,,0.012638485638247814,0.19143064326546635,0.25447737390240854,0.0108454125579175,,0.01527899278611518,
COL4A4,-0.030228041586240977,0.0044668205278805325,-0.032906128076035525,-0.012460594294178043,-0.019555882076798023,0.050796258837659425,,-0.03904617454719954,0.05632188119638659,0.005165682144259242,0.027872868454890423,,-0.05226110359038066,
TAC1,0.28097239772218596,0.0683627457172701,0.1184665156513822,0.17085595909240775,0.031240500789430484,0.01462967959243642,0.2707718622739026,0.25118743628808554,,,0.061988052546383475,0.059438028734960215,0.12101627074569049,0.25521918991932613
RARRES2,0.0078063378045201606,-0.07687811288598259,-0.03545252663060847,-0.07347680478901285,0.08532817772899917,0.030190590506553417,-0.12203156216893515,-0.09156239233163595,-0.047175945265135674,-0.07076088194284376,0.017254828420375592,0.0028362293497688814,-0.10496158164189195,0.01727406893393748
FGF7,0.00687953596244187,0.070441201118452,-0.06641220913674876,-0.03551079650935807,-0.00452831674709004,0.04811272322886734,0.06245466979324781,-0.04196818181950196,0.04422782691903931,0.02104803755366743,-0.0005136551836085982,0.09010105702270446,0.13277067041561535,-0.04689210833273589
EFNA2,,,,,,,,,,0.017210210938122188,,,,
HBEGF,0.02700986617046658,-0.004697030741254171,-0.0806310483868562,-0.05257430248417915,-0.05220784558534748,-0.030872423180760656,-0.18531055007831318,0.0005160088525915833,0.012947538888158541,0.0022826501043690865,0.022674128198339683,-0.003992716792155719,-0.12536797144604617,0.048602074481481794
CSF3,-0.030228017654610154,-0.05759005190879993,,-0.013183068926582452,,,,,-0.11982643329115425,-0.07293623526260207,-0.04336784952511397,-0.029785431298188208,-0.011978087892654362,
PI3,-0.03580959454360222,-0.024955873443253975,,-0.014844309609008063,,,,,-0.17055031215347988,-0.16790475251078435,-0.02953109291869915,,-0.11435719747314649,
PCSK1N,0.16231868238536248,0.025529937158487975,0.06625289819046067,0.11836898850527364,-0.062000086300516344,-0.008048171064594633,0.2702635097298669,0.21876454164849077,0.1483517954133729,0.0753625493327355,0.0998570431256777,-0.011544175342320195,0.11693435095556616,0.21076204510469843
NTS,,-0.04443171300141187,0.021938955879993855,-0.016203577520123212,-0.009503937188885429,-0.02747871754884031,-0.04411079755270026,,0.04331800143489762,0.08246894418216914,0.042420327610108416,,,
SFRP1,0.16243446532487657,-0.019719529507139216,-0.0741871859974572,-0.04755214161979342,0.05906897681357144,0.06158229271204133,-0.0697947861052953,0.09357114281547155,0.09846181520623412,0.038710564343852234,-0.03119347165939574,-0.06178143981139303,0.011204863058226258,0.0663525327912358
CXCL13,,-0.019542305571470527,,,,,,,-0.032818939143636,0.011747391434833731,0.027898436080448133,,-0.05273854374208043,
MICA,-0.0712018869094854,0.029874326304543064,-0.0013661006325898651,-0.024495456849773778,0.037761240440300825,0.0001142288466485752,0.002005945202732911,-0.1427746680159597,0.051398703449196656,0.06574297151387576,0.03429982981161263,-0.028648427339959478,-0.016376960782533066,0.16159725993157387
TG,0.023211903549895434,0.03993931165513294,-0.013567432016400049,0.05754605457122669,-0.018870907364633222,-0.017314630625100268,,-0.04119443263370282,-0.004144751451487537,0.03250661147646189,0.03902151422026358,,0.07237227767715099,
ADA,0.028314773005049455,0.11752173701891752,-0.003732021326325494,-0.03709549189240235,-0.04177636386358681,0.016117525562488095,-0.13120895494719692,-0.07213078483919284,-0.02058391087464331,0.08924679137717063,-0.0032766198868073586,-0.012554328398611453,-0.025857829460856876,0.23145785373982983
LAMC3,-0.004727870324168616,0.028282148831852705,-0.02870439543057275,-0.0719164324715951,-0.009158324581440834,0.03658538413694024,-0.06033065443548329,0.015143828923791642,-0.004942180883510579,0.017935826497296206,-0.029778069981583957,0.011258092408685604,-0.009612841434687654,-0.0032919336827350568
CCL7,,-0.025909489148425544,,,,,,,-0.051125149745616424,,,,-0.05033069314890709,
NGF,-0.01741522024751856,-0.027655682971942572,-0.0014952470532972222,,,,0.11334189342830726,,-0.02192955446669281,0.10770917501200314,0.023965396460843856,,-0.024521200573698224,
TNFSF15,0.004748239186342792,-0.019183297843648514,-0.011681853592881703,,,,,,-0.03211906976456963,,0.030867233458303264,,-0.07195855886133057,
