,UKF243,UKF248,UKF269,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,-0.015533295565289776,,,,
BMP1,-0.021680474953643926,0.04763403764351017,0.010772435734990626,-0.006410248174994154,0.041643087182916066,-0.02719909439690884,-0.05663103470439909
NDP,0.011294732856042433,0.036902344678743426,0.03232653267465635,0.010104412063007818,0.06849365038748371,-0.02933775429933949,0.08780511881795243
TNFSF18,-0.02433850871621494,0.0019499096130467899,-0.023066477592143805,,,,
IL36G,,,,,0.1380359150845936,,
RTN4,0.0153074099700246,0.01215895834585548,-0.049599335109712615,-0.058753600881410996,-0.03535674798059963,-0.003720214809801614,-0.05108965311620362
HEBP1,0.021381857025517467,0.0440699103891741,0.038418161208206306,0.012331437640124893,-0.026772298505485993,0.03886242699399742,0.009562290954411776
WNT7B,-0.05680634989459394,0.07506004775743318,-0.003186683598280879,,-0.025287685299528108,0.011672028512461612,-0.00436040693619481
PTMA,0.008525136770670759,-0.017999618910614728,-0.08356928849193326,0.027603931500029183,-0.00830885007712413,-0.015925126952177526,-0.024216726423177317
CEACAM1,,0.003804184849068411,-0.004167025687102005,,,-0.020833080826361816,0.07932300850528543
PDAP1,0.05200578826812885,-0.04508530988458983,0.011966761743915554,-0.03393638705440116,0.009327553476749656,0.027274137342093663,-0.033721928909166136
QDPR,-0.03845543801717684,-0.0012712216559312764,-0.05750197908708322,0.013464989766353694,0.018785990524718518,0.026804144041239368,0.009747931145870359
POMC,0.010385286812410039,-0.03698808971792199,0.12112762667803115,-0.038622411801929525,0.0005975819875341935,0.060271760558317684,0.12250676643989439
CCL18,-0.03263994140349923,-0.01211840734464906,,-0.04496480579454314,,-0.026946439197662816,-0.0025203259848172316
CCL17,,,,,0.07426545415132743,-0.014780062496847723,0.027780925376185813
VEGFD,0.12351326879341018,0.005503267263000487,-0.026022436781540342,-0.02042608824433621,0.02333545663544708,,0.14006471420211683
TNFSF13,,-0.013237245385503034,,,,0.03264988684102771,0.04734314615477683
WNT5A,0.03997248635031978,-0.0311355240244561,-0.0033937047491864767,-0.015754938944332202,0.018045949090139374,-0.030519602543573804,0.05001661622843039
CXCL8,0.01696035045225322,-0.06265164131028603,0.04792972502824056,0.09362788903575202,-0.00989523564339978,-0.08205866962223916,-0.02028505103101483
GRN,0.004584315582425831,0.06032250841293032,-0.0021114112624322774,0.0183425364116646,0.03444140952152074,-0.01635097751524603,-0.0987487756471619
MIA,0.06887402678495598,0.02723533866561066,-0.026644786355175917,,-0.030849650467585928,0.07087782904185151,0.11919095357695042
COL4A4,-0.005229716959413642,-0.010943488755072863,-0.015306909818133643,,0.0490435798664004,0.0041710921707343,0.0037348236745844
TAC1,-0.020211073175267276,0.08191984716521315,0.001585043273272196,0.03625978256519534,-0.05303390408885193,,
RARRES2,-0.06202838643474428,0.014912141447027887,0.06400899598824925,-0.0367638686715768,0.03952197170711942,-0.04168821515180111,0.002888868784385486
FGF7,0.05507262170673135,,-0.024143894899020798,0.12479114706998413,-0.03442444683341375,0.04998216365451582,0.06512510508626519
EFNA2,,,,,,,0.06681381381681406
HBEGF,-0.019915675678821205,0.008031515089977247,0.02427899353647688,0.00037161693797284687,0.005934908511862019,-0.005998449486766893,-0.03045810403597157
CSF3,-0.03702110450052605,,-0.01619441596615666,,,-0.035348280938491745,-0.002001168071023716
PI3,-0.04385701890437986,0.057136932323589476,-0.01823512612104747,,,-0.10179653959915509,-0.09195973226314816
PCSK1N,0.026469804388781784,0.02341729255780736,-0.008737751820735898,-0.06546628691490404,-0.038070250844242294,0.009414698082863963,-0.032493110921836675
NTS,,,-0.019904885270805178,-0.018390040832933392,,-0.008179040551594295,-0.023861018208889657
SFRP1,-0.045081859227211266,0.05885397257829856,-0.014258418627568848,-0.048565529555802206,-0.030590145268954587,0.033510449993074815,0.03789445391145767
CXCL13,,,,,,0.01999013249523967,0.11702032888297416
MICA,-0.04732309197674875,-0.009501426675505664,0.010533135223735371,-0.011314882687141743,0.02442794419287008,-0.019558965210801037,-0.06951521982806518
TG,-0.02951172929137431,-0.022500089971329847,0.05866845202025112,,0.010539558010929125,-0.019639007830906195,-0.015637005458467943
ADA,0.07328051332834763,0.03718408898643716,0.036187828028999884,0.03411957687296945,0.05048194712268404,0.03570742048063368,0.012400270453104505
LAMC3,0.08828270767232753,0.04850243759765363,0.016806094182885496,0.0014407376004084325,0.06038660752791074,-0.016663448199600712,0.031051092489119827
CCL7,,-0.028367144200733444,,,,-0.02215190686917807,
NGF,-0.02132891068312355,0.07157305180280082,,-0.01839005294155512,,-0.008083277252018762,-0.019322078460808988
TNFSF15,-0.02638652443573014,,,,,-0.0014473711814675613,
HMGB1,-0.04476175237063084,-0.019213157657019413,0.027114505410174093,0.01911632038134766,0.0389053318076756,-0.03591933933491751,-0.020118440202068755
ITGB3BP,-0.010090933740500633,0.03611344493812489,0.05288882827595312,0.09992281010917861,0.0168948141658271,0.04547345998953175,0.02783891616939501
AANAT,0.024275637268261107,-0.023225811734105307,0.1679792842455838,0.07480859649395441,-0.028193409964173227,-0.01943347281545899,0.035219378165712426
RELN,-0.03677565471640704,0.0337696219463009,0.007858933382754674,-0.03776133744310554,-0.03121253830335753,,
IL15,-0.037507989016658985,-0.0369756049695079,-0.018065064575408428,0.08639478367802869,0.025203403893206865,-0.03560291842002739,-0.003419555890516634
