,MGH258,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.016162398132855055,-0.04479955050700136,0.05174537925326424,0.02104057493556026,-0.024939385062850004,-0.007657335369236047,0.042990677912356945,0.029362645566633646,0.07268107210774927,0.05375232475661126,0.0385310264362118,-0.033604959601457055,-0.033514875817724256,0.00013152362722121025,0.039533870446369315
NDP,0.0605809623353608,-0.014054921603904138,-0.02706174135019449,0.0689072189249731,-0.03044356005610964,0.014592290930137917,-0.037708656467461917,-0.012055978741966589,0.023564669657146417,0.0730862720237522,0.022777917543403144,0.05954249893035717,-0.009485110542921098,-0.025624077532828467,0.018134198502709104
TNFSF18,0.10375318058667111,,,-0.01276318334127433,-0.012622089446573373,,,0.009266118039976786,,-0.022005871401727498,,,,,-0.024308728173287022
RTN4,-0.0010653327442085292,0.010515670344912003,-0.06217878788684783,0.03455341822959187,-0.025637244834574417,-0.0859941839475161,-0.05210015211879492,-0.026534280756901993,-0.019549648227155134,-0.088887576872159,0.08623753563905528,-0.1030631782936818,-0.06780890814313255,-0.010286056377410426,-0.029775139196349876
HEBP1,-0.0023878488455537227,-0.017778089149570783,-0.017099412146433766,-0.027899645703935296,0.05199090153086013,0.09053418245032507,0.04255207075358045,0.047484740726149784,0.008670633177711858,-0.01755664181583181,-0.07802246902795866,0.0009997958133749038,0.025918384561491915,0.03130647880228177,0.0028219203088784787
WNT7B,0.06622526484113099,0.044266354440496675,-0.031605125785041835,0.01640348927145719,0.037151897653363304,,0.031389523867086114,0.0037904228385521534,0.034549080836586615,,0.004074539039316321,0.006551997964024981,-0.0014522933508569096,-0.004051903949521374,0.0465178698096643
PTMA,0.0436491833205324,0.06585274782640514,0.015392266168927353,-0.07879802350494326,-0.05713975934245165,0.040100282649858175,0.015544335284154776,-0.028885000818946675,-0.02232685955614354,-0.010818434552846756,-0.07102509370460078,0.015934718203524698,-0.019665422370394547,-0.03816953030037051,-0.02398748173149124
FASLG,-0.016485147707189434,,,,,,,,,,,,,,
CEACAM1,0.10135406517634774,0.008903328153280595,-0.014777320781550952,,-0.01985153968813039,,,,0.00780229980582143,-0.030603842339149787,0.07024181853028498,-0.01876378603025162,-0.01448155881308741,-0.014279554052574231,
PDAP1,0.03935324101881998,-0.014572752939906522,0.011883570295388649,-0.03597039503263904,0.03029633056847197,0.03952455205810803,-0.02284589039100921,-0.013050755989852437,-0.07986651464078913,0.034780835782982654,0.04104779611923404,-0.07109518692554741,-0.03150727437255726,-0.015549285782884345,0.014122752866737764
QDPR,0.013560198582252544,-0.014849063818776223,-0.016315550999058494,-0.00803911528021009,-0.050946691345229236,0.05581417697554544,-0.006042422398212836,0.10164006100065964,0.0021301880477967196,-0.061696736363579134,-0.01613553136183192,-0.02652269915561385,0.0025512863430325666,-0.047428305036961396,-0.03274354624048405
POMC,0.010370046982370644,-0.013891005004332433,-0.029735463837070805,-0.022607034788740876,-0.014645674462481979,-0.02054680701852576,-0.02358448980173522,0.06301879539522773,0.005936025649528549,0.03214885311019528,-0.044377988690484683,0.052731779632112695,0.013222734014992391,0.03972196500503093,0.016590481024543444
CCL18,,,,,,0.08667527177759769,0.01628872155984849,,0.035650654034158846,,-0.03413661886382676,0.005829950651769489,0.10463665085325133,-0.017765517405337765,
CCL17,,-0.030799876529987846,,,-0.01574220298520926,,,,,,,-0.013311997995691004,-0.020905039290755847,,
VEGFD,,0.024281315596508375,-0.014138103859097145,,-0.01677198578689285,-0.02012694654740598,0.08056955568574395,,0.08356278460031541,0.11192365081690218,,,0.013557956070361716,,
TNFSF13,,-0.021245065508794295,,-0.012377625290796623,,,,,,,,-0.02554372466095605,0.034230179765366756,0.007056904322521861,-0.026444428863177882
WNT5A,-0.0053575787883855044,0.007108135151734513,-0.006935465556073109,0.06778570185408628,-0.011602525769233124,-0.03914858870538104,-0.02335005783658092,-0.010893903152518656,-0.02448502678192256,0.041386209438962276,0.07231036407242508,0.02646952711646266,-0.02923825423779039,0.06803900983986685,-0.008967199742690323
CXCL8,,0.1347604875258638,0.024111664880271402,-0.01760636917383358,0.08105880545471078,0.040048077400980486,0.10011185429147773,,0.06980472192444401,-0.09077384877365921,-0.046681011624227504,0.005283287878783375,0.0322705738076326,0.04823919685137739,0.03865048391670356
GRN,0.0006233047924975652,-0.05293321182981727,0.01007182706613791,0.04430208792567597,0.02593104734676894,0.010138023519012523,-0.0011021273170962005,0.029611414072464336,0.0846003246661059,-0.031011194200753836,-0.0697328986474246,-0.02070205545343404,0.012566075528470756,0.00218728812141194,-0.05291588313799656
MIA,0.1526538048745953,0.013205152356315726,0.06971016090031733,-0.022381133689583166,0.017060160851824224,,-0.0216102273250627,0.0680156464196147,0.09106590876333351,-0.03265326910055922,0.024819475263103016,0.1254963839866822,0.13230903172227945,-0.07073980539824784,0.02251342140324412
COL4A4,0.004734334168702415,-0.023516434819418126,-0.027117258482532942,-0.01177676361556033,-0.016435346959405277,,,,,-0.032577732492458815,0.028295287309359676,-0.009960955739712197,-0.02318723998054278,-0.0026069669727917526,-0.012764655897698743
TAC1,-0.016485138738298866,0.015094203372473266,-0.048575004118351764,0.041059386372110505,-0.031239436994010057,-0.06015295284241357,,,,,,,,0.08256750661395854,-0.02687996739783259
RARRES2,-0.009034816517862629,-0.0726226346558872,0.03708886022814548,-0.053574906265313235,-0.05878417204243071,0.026031226977174617,0.015943468045781787,0.027855846607128226,0.15687274295842918,0.006636770710472366,0.0010724401553268374,-0.020110197919939593,-0.0054080648294328754,-0.00679194802774437,0.09959675115493588
FGF7,0.015535197905695606,-0.007979706841959795,0.027806430835271304,-0.03375418502269121,-0.037466474725971616,0.11013010658179472,0.05024044909056019,-0.05045745835208006,-0.014579295572532272,0.0006571552116283216,0.0027627438541712483,-0.03525690387675944,0.06419343853819844,0.04808281171855311,0.003703677022383213
EFNA2,,,,,,,,,,,,,-0.013763752501361486,,
HBEGF,0.0014768038141522726,0.011869620931416663,-0.011592186657599757,-0.053882524415871776,0.028464490156579713,0.03861536988866966,0.022019887534965865,-0.006809691521042888,-0.05309055025164997,-0.025759768310645057,0.0352537728067164,-0.02820537565942486,0.02088107240701546,-0.01893942606136209,0.03140485962191981
CSF3,,0.20867244559870585,-0.038069506756485974,,,,-0.023939019787412415,,,,,0.001332910846207104,-0.05287702814444262,-0.0204716913023982,-0.031089165754314498
PI3,,0.12530688187992328,0.03514083156639873,,,,,,-0.00269822077694555,,,-0.019694575045803422,-0.03719346483805705,-0.01271489879566887,0.008759456650861006
PCSK1N,-0.017883520939285087,-0.13427178178754673,-0.010436574562335215,-0.027978780777145464,0.031020510291605158,-0.026262760411845536,-0.0011262299955729451,0.04942568966133578,0.007515542803699439,-0.021373564621098053,0.06414641555226058,-0.02874069234338849,-0.054776089470051276,0.025446861234942005,-0.02703191293067616
NTS,,,0.03754086485390583,0.1634185259978796,-0.018775473414429384,0.09911910212851363,,,,,,-0.03105550559602562,-0.01676852056610959,0.0015480410317944993,
SFRP1,0.03331182159358473,-0.01587855129821308,-0.016129128111250647,-0.023515195088902832,-0.00026681598185904166,0.1612704926775621,-0.0008095124246133505,0.00138823681593804,-0.028466263231301615,-0.02985112043624396,0.044718345377648516,-0.04721109324136246,0.025976748783320344,0.06116934431767222,-0.03878623744428039
CXCL13,,,-0.015984171936624603,,,,-0.04505937162953515,,,,,-0.029901476840327065,0.021378515557653893,-0.022496251765463087,-0.025217536545531955
