,MGH258,UKF248,UKF269,UKF296,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,0.06116874985278264,,,,0.03052638285361423,
BMP1,-0.03139527695750942,0.019316773747422612,0.12452423990258436,0.0025242742359921503,0.0008162807221122527,-0.11626531818947784,-0.05366039907001163,0.06032528630816252
NDP,0.07949086762614302,0.034252228148449075,-0.02610464130058882,0.011748056173823929,-0.06617431624479173,0.026603390910160063,0.05294587167894462,-0.014132591324263344
TNFSF18,-0.01899823095054996,-0.010095914624952284,-0.0021019096806287854,,-0.0309760058695915,,0.006136804660667987,0.08915682469829161
RTN4,0.05606773534386219,0.051747539435148086,-0.13216467492013897,-0.010299921292132848,-0.08302737880846686,-0.07868635772924291,0.04832174961369193,-0.044189123039952025
HEBP1,-0.0510021752284311,0.00010812517133911917,0.0026158918784509404,-0.004085301471619576,-0.035144349598732236,-0.03911532502912129,0.0286179931153704,0.005362941824912619
WNT7B,-0.01673684642629428,-0.008318561381172838,-0.07638091275609071,-0.017110580245243548,-0.034101559036671406,0.009886136707672364,0.011412551063163849,0.02936729882480377
PTMA,-0.0698444843159417,0.0021479898208921397,-0.07328105162436133,-0.00974157430937103,-0.04506859259909853,-0.11246367014852104,-0.06697085553042283,-0.004362007320013392
FASLG,-0.01673685115775789,,,,,,-0.024912838701429112,
CEACAM1,-0.023239264308233,-0.012941997818113494,0.13806189373649558,,,0.02001713437210509,-0.02281747638182548,
PDAP1,0.0037893876116884702,0.0627650182560484,0.1371065439349842,0.045948414460661544,-0.007939925210779932,0.03680430937651413,0.05418366266683475,-0.04214791350202026
QDPR,-0.09246210507869677,0.04486193230946438,-0.15577808663801038,0.008069369224295755,0.04232285095365539,-0.10895767616739042,0.06939565344424488,-0.03835898993730224
POMC,-0.0003527884225460169,0.002628824162341884,-0.018766532316384147,-0.007236229606640414,-0.03678889175055678,-0.012352476544193856,0.038783725562661915,0.016177697624176
CCL18,,-0.03317059024000221,,,,-0.01608747107910354,,
CCL17,,,,0.03415945387203962,,,-0.004024111903326372,
VEGFD,,-0.00011821631962836468,-0.00942161354574063,-0.015534393763791917,,-0.06381471814095853,,
TNFSF13,,-0.019526603359521433,,,,,0.009308108867708815,-0.042480456723295736
WNT5A,-0.024480675226625767,0.047004009553478006,0.13805189826440475,0.01590594943166701,0.03368426182198039,0.12993687936562243,0.011108816110121024,-0.03670915027658626
CXCL8,,-0.002448000403117118,0.0498187060977114,-0.014466302930739663,,-0.025221963937180812,-0.004976630759186908,0.01191477734526819
GRN,-0.06169145052662393,0.0003883937574540185,0.03306404896242369,-0.013566544058407251,0.039504347969562516,-0.017438766692722606,-0.08056835220845375,0.0037920993561982876
MIA,-0.02190709457605202,0.024186862620271952,0.023338773977984863,-0.017667101393448598,0.08528616946039695,0.016244716701030382,0.04401784117397347,0.07448323745559833
COL4A4,-0.01938331301513423,-0.008260277364270133,0.10171569015588003,0.07697621662923343,,,-0.03137372966825015,0.07318799822927946
TAC1,-0.01673684205192583,0.047238253034173665,-0.09141764541665891,-0.017103350023905013,,,0.00026266029312391485,0.02426797456789316
RARRES2,0.08641978252254141,-0.0365814356358583,0.1467165761287521,0.03294917851163069,0.02546110963281106,0.009811426097179084,0.026880983465216838,0.016170005528136293
FGF7,0.12700213248736134,,0.033992645730943995,0.020554981701996235,-0.03231013267448892,0.009960337606088138,0.028486929532873292,0.03089431502413262
HBEGF,-0.04050054507672001,3.8737553533952024e-05,0.08965351704502683,0.011316821541589746,0.004360125423821376,0.03683692505970598,-0.014067931004789452,0.032802978373107465
CSF3,,,0.09548931886916635,,,,-0.005999940195826337,0.0043200982606429895
PI3,,0.005756152537486328,0.04572787811312845,,,-0.07712266924433205,-0.017753002543654906,0.0608433369437243
