,UKF248,UKF251,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.019648789612219178,,,,,,-0.01660305956651903,
BMP1,0.054470106329663,-0.007186243729942482,-0.010775796775169322,-0.03722390002428249,-0.03941536018429325,-0.06775449560668127,-0.037525952700201703,0.0729048597584588,0.011626994309781367,0.059799470518657215,-0.010355759796565198
NDP,-0.006986982545667708,-0.0015831500164686623,0.056093498428658725,-0.07835017903361029,0.019601861637422446,0.016316651375940325,0.04511119747701286,0.029908990499247317,-0.004307403487794809,0.01795947086435142,0.06275903765081496
TNFSF18,0.009033262470734733,0.015355689700660652,-0.017643346722131508,-0.0028280983009324637,-0.0015448993168172113,,,-0.029717806424901936,,0.041782155102206196,-0.030335024491963864
IL36G,,,,,,,-0.013950284816500258,,,,
RTN4,-0.02602643421508199,-0.07490515511806813,0.07507446860986,0.05386365671021739,0.04629794711430013,0.05462816491922202,0.04351106995203301,0.024439021009531884,-0.0177353784693344,-0.10539632524488625,-0.016885431853212274
HEBP1,0.00699061546236165,-0.07569359422050057,-0.05243107961103524,-0.009311644157456946,0.013964837133720046,0.03757390553429412,0.01728557875842154,0.02353629823078187,0.08687978920766604,0.04699033705029987,-0.009925285123504953
WNT7B,0.019811057603082573,0.11833716547733343,0.07140009337500236,0.11412783485083128,0.012827271608692976,,-0.015332970663679252,0.012726339271929985,0.06994899832301316,-0.03580441195556274,0.021709869002707542
PTMA,0.037304350858986285,0.002167510638398489,-0.01165342129959124,-0.02141459033923367,0.0878088806125462,-0.06314628679412748,-0.05388622828742378,-0.007863304181154876,-0.023067458573189523,-0.09915607851249512,-0.019133194941695568
CEACAM1,-0.02658321210740771,-0.017760009690706624,,0.002384399079772143,-0.02720699327273553,,,,0.039805881473935184,-0.024603161934447806,
PDAP1,0.019518822835852375,0.02645994871160341,-0.06111238686062353,0.016814033002730187,0.0016415631179837568,0.038534611581298624,-0.06053960850779636,0.0868416737896339,0.057927154392876073,0.0453954420016774,-0.034108547704766866
