,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02204685954042738,,,,,,,,,-0.021872561382512767,,-0.010611383378391437,
BMP1,-0.02218491747840989,0.1531173387285219,0.04151114367816462,0.004872911463477574,0.04897985661237996,0.1173885590548074,-0.017407327525581832,-0.048614093691839284,0.06837099088906173,0.08291000188948106,0.03255634865999896,-0.012734861461435487,0.04271729206445534,0.10116792831648809,0.060715573067625095,0.00029342512078422175,0.23959431276137644,0.041156970323814594
NDP,0.011522081346352585,0.03646356422731402,-0.034200564948171294,-0.015821963246154355,-0.04871012194048124,0.013705981178460003,-0.03281877411305117,0.03219780898080321,-0.02110563715131962,0.037445873263016155,0.09899677041519626,-0.10211120282599978,0.04995823489927499,0.07729898955663152,-0.002911684826929667,0.08012577538005082,-0.004067079058197353,0.0007815856302461835
TNFSF18,0.0627523415041911,0.012163890744894134,-0.021506257932765917,,,0.026355930660854555,-0.023206041383028606,,,,-0.044179478224083836,,,,-0.022556786480404843,,0.09251951086988894,0.08155272894543056
RTN4,0.07291301785606098,0.001268389380438174,-0.0030998566022138103,-0.031822944088980315,-0.009215234832002369,-0.15798895736752655,-0.0821535090165029,-0.06302470644289104,-0.15468528030437526,-0.055053260302069654,0.026525247046357583,0.051303948620381054,-0.024701081481558695,-0.0062964142639400965,0.008511377898016655,-0.023374464912928286,-0.09140577674987815,0.01683641179365673
HEBP1,-0.027795861036509783,0.10789116270165053,-0.061912092163200594,-0.0702734783048114,-0.048326732536799484,0.036227595700406366,0.016640581950892106,0.052272365931939284,0.050978036116029815,0.0025602594438135238,0.08355952158738437,-0.038676984537265216,-0.018385725457837992,0.06674395943086053,0.03182654057009316,-0.03262588482617056,0.06285300061282817,-0.003944603847345145
WNT7B,0.04126995297183815,-0.017040207796194407,0.09610138102249728,-0.036267357496494415,-0.01830447922266611,-0.04227088388633426,-0.04640502769821082,-0.022656098574550906,,0.017548197695822047,0.13066742648830892,0.038390731452410835,-0.032501347031884543,0.006500623190891736,-0.047168065327070956,-0.021514600172265825,-0.022601423712651003,-0.04450527092948373
PTMA,0.06832195471023002,0.028374795911812793,0.0479219957484665,-0.011754162514222555,-0.005562509216888658,-0.07220782730333038,-0.035115896121305334,0.03811011545038749,0.18817405550288946,0.12810618620256073,0.026880236925562753,0.01770455541954442,-0.09765805751658914,-0.016055480416143113,0.03149528654819972,0.004475728408718579,0.17777572858029858,-0.021207427926072497
FASLG,0.05917300763500285,,,,,,,,,,,,,,,,0.04553160010599377,
CEACAM1,-0.0038302956428131535,0.04660841468024176,-0.014564823994683522,-0.0002696059118581795,0.004586919640672297,0.06510273106302414,0.006826875093990156,,,,,-0.04060188689199099,-0.018212107769076197,-0.02077640782411911,0.031314612667544574,0.09170583920778701,0.025226665307605988,
PDAP1,-0.13530565960504012,0.00011961045129762437,0.09433407738023408,-0.049421415402819614,0.0036542740433744034,0.08411842921322531,0.03485898725279902,-0.016324186624237385,-0.019075897231288667,0.10155473487153352,0.026667131849145088,-0.008209579841479438,0.027117295858609752,-0.013191884285936444,-0.01019550806837708,0.022603646955699695,-0.0583114522633605,-0.06108526959301999
QDPR,0.12253182800549114,-0.08639938301493386,0.020012270024109123,0.006528076671200398,0.031322657667394276,-0.18639753270262766,0.010724941090302566,-0.04888502535747466,0.07535747433786,0.1344980571498595,0.036467628394926,-0.05122853132518112,0.004578806432106398,-0.015861540612918196,0.04371584364993552,0.039011946587647416,-0.0477961808261685,0.0834141568676097
POMC,-0.023974853849607052,0.08083428339152036,0.027186627320965356,0.019000394887666524,0.009511909292186359,0.07150967741133127,-0.021672932349309306,-0.018330051525785755,0.0013777380690297163,-0.04063731791536564,0.10348670786622012,0.12531027850517593,0.11599627108964446,-0.0024646232720622434,0.05511276300340666,0.04233975219785622,0.19546947597986328,0.0759193567793773
CCL18,,-0.05563758941108723,,,,,,,0.12176494853263918,0.11322101385125544,,0.2499628067094626,0.03345204211096466,0.05405982213249873,,0.0010075762575982295,,
CCL17,,,,0.11301382028516167,,,0.0351279520590886,0.089678339089629,,,,,0.1213630538230612,0.07126744401370015,-0.02883770871391706,,-0.050261720818443816,
VEGFD,,-0.007887173006474282,0.050153488801635886,-0.03917721377155537,0.03606412170264626,0.006589226905619779,0.04216064052038307,-0.020569071963891718,-0.035117109908082936,0.10460922061415678,,,,-0.0006039521973352218,0.034410889364114114,,,
TNFSF13,,0.12416097958897154,,-0.028385874279997,,,,,,,,,-0.02479270791080869,0.006954410528515265,0.08570170489887134,-0.016034981007842883,0.07346178113941439,-0.025569331501731053
WNT5A,-0.056006996778847476,0.04445620127850429,-0.004286626171303037,0.03343809962381819,-0.01715133431176107,0.09013725069545976,0.027096061258923505,0.005554623417801716,-0.01641123377065105,0.05516228626653969,-0.009108430452128918,-0.05446973896949806,0.013464567067867871,0.002535065271028148,-0.008698091462366473,-0.011413989865444733,0.16998134517437832,0.03244801541455504
CXCL8,,-0.09311568403663334,0.054878050606805714,-0.027201148808640146,-0.0234806690102432,0.017632261594805104,0.0132702423358811,-0.019154814185758633,0.04566638192557967,0.009064933062033317,,-0.05068475952810178,-0.029153008844470904,0.055799991051846805,-0.014056596406528713,0.05847385178313545,-0.0004283957219260179,-0.004058648782363898
GRN,0.16271769273169262,0.22302929656526982,-0.01707553706473923,0.0603125840946946,0.03135584667815352,0.1080562321848909,0.020598700315978966,0.051899394060936306,0.14434736116908914,0.04112232315015759,0.13772454008511453,0.19624666843583202,0.0830541098253402,0.06581276943290448,0.04753699627299971,-0.02147839307920605,0.23213153304962633,0.10009315188374127
MIA,-0.017765597785527405,0.0036642689180038488,-0.04455099471255974,-0.007494129583564032,0.00703232000173952,0.12469939560850128,-0.03918835288230736,-0.02339298755270586,,-0.006348512947181832,0.04461229847872882,-0.09131875245258554,0.006321332669235814,-0.010003761674881612,-0.012245204168886354,0.001296155839322985,0.023045940894572993,-0.054449171864199813
COL4A4,0.012512541319499271,-0.02031774437498511,0.0812468128261995,0.0351802062311854,-0.05710676717904005,-0.02172554364525708,-0.0005472890517017887,0.014807155787113342,,,,-0.03639627510094872,0.02184171738153118,-0.033266277502951344,-0.044422159176858336,-0.028778234838343106,0.10467089025229522,0.02638147543679533
TAC1,0.06125918744066414,0.0029900912349716587,-0.035234656283892385,-0.0023903428007521067,0.02766663797797786,-0.08527321158079224,-0.06358504299819802,-0.013645916925546295,-0.08609299424379284,,,,,,,-0.02463629698216083,0.12940783181264642,-0.045166913119668355
RARRES2,-0.16185586303840374,0.0570348774490172,0.0153656998003308,-0.026815141185325415,0.042354955362491814,0.08644438394546798,0.06770959324777537,0.005716505126187013,0.002576100157837672,-0.03892123740611659,0.0251327427105279,0.06345163764005869,-0.0002389597610729974,0.06564564150108339,-0.04418901859213141,-0.050235096179030055,0.004952028161932949,-0.103738292148812
FGF7,-0.07037206044020873,,0.02120873029833542,-0.03662661881239808,0.1115077395912409,-0.022104772867035917,-0.060173007479476,0.032151241387847355,0.031840291966510934,0.03627873471891896,0.05189715391472386,-0.011687222187584247,0.031101606061592287,-0.05442460615917713,-0.034391493869656155,0.05951657473697318,-0.015997132416563416,0.04362395897495276
EFNA2,,,,,,,,,,,,,,-0.01974658521568093,,,,
HBEGF,0.05685312261393541,0.11647948934856062,0.05503784725054093,-0.014043481432391399,0.024189140168281303,0.06909894653112507,0.06693745493335519,0.008475869325414009,0.04839112986668699,0.08894673650591299,0.15324659737064994,0.027320092447406793,0.04117488860354352,0.06211320464617515,-0.02378102745900872,-0.00649374856400586,0.008954406612204108,0.10831812878263346
CSF3,,,,-0.00809252039791436,0.04634860356275949,-0.006571904692392139,,,,0.027333213177495444,,,0.0566393111297089,0.10230148612659752,,-0.02047168984533418,-0.06158745625968204,-0.011831026898609903
PI3,,-0.009749564694018123,,-0.035456312138858075,-0.03461548431614871,0.033945399062587214,,,,,,,-0.060359769378958095,0.050178063378837325,-0.024502336876506475,-0.0515584374822545,-0.10302692166000155,-0.10138306067714337
PCSK1N,-0.1129267296393034,-0.023785169794347152,-0.0513392540710324,0.03284113410620775,-0.02509264957243637,-0.045326360711937484,-0.020635048245840545,-0.07487384790420624,-0.17611762486903193,0.08548914682624772,0.019843238048522952,-0.07505097651159923,0.05550069576503472,-0.05092986980716528,0.031193874112280168,0.015266278047143384,-0.10496995697427172,0.03321309459019312
NTS,,,,,0.017327757644733176,0.02544639953159061,0.02619347112161871,0.0029500257571818105,0.06868199936175018,,,,-0.030142435744370033,-0.024057466905687774,,0.041125874733124575,0.02967544182275928,
SFRP1,0.1099118917469132,0.035023915963221706,0.003290962457403357,0.08976032498782381,0.17157943902312714,0.023941211504835302,0.04227014333376795,-0.028041899179849148,0.10313648409842971,0.04263784797275806,0.0534204613637919,-0.056996684901160784,-0.01715900100526125,-0.02294987265897366,-0.043901149027927064,0.010297020209370731,0.11066002765789791,0.0628959027693405
