,UKF243,UKF259,UKF269,UKF296,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,0.025827288941191233,,,,-0.03153381931037487,0.008886178231028205,
BMP1,0.14013365015326482,0.005221078928791306,0.09406541753594107,-0.024838577385424093,-0.0984336467558541,-0.014957699879012994,-0.01109782313606001,-0.004953777856100676,0.043238924183462514
NDP,0.06442510937318814,0.017651139293712745,0.05198457903188294,0.024618104399658395,0.035859753378737695,0.05096352315082376,-0.02309691713751528,0.049980942125849984,0.10950586036039933
TNFSF18,-0.0030053529219137383,,0.03516444005709432,,0.020486258158019077,,-0.03252027125019215,0.1268537323929096,0.07513527008532515
RTN4,-0.07618171798157827,0.02879080282850032,-0.11730584912954739,-0.04887954263043059,0.053328213186714955,-0.012397640410715456,0.045746761009322734,-0.04083057713913115,-0.015904429753046078
HEBP1,-0.0013789391577327924,-0.005571246191175432,0.05735976200657417,0.01785916466906348,-0.0076703009734194385,0.01695900240565023,0.06993503378989803,0.09128399364620299,0.018764651702981413
WNT7B,-0.015833215163828056,-0.02365059585237728,-0.07265416296786845,-0.024867682633553816,,0.008067745366478767,-0.011952861479743298,-0.001268244967530444,0.04234819405773282
PTMA,-0.11223035247058157,0.04964101520925275,-0.05056125855383241,0.01999567872762431,0.005537274211833928,-0.12892265379727944,-0.00743013534110642,-0.023205259246400173,-0.035419132234571805
FASLG,,,,,,,,-0.021285003844739598,
CEACAM1,,-0.029454423368401074,0.011913547364827734,,0.06561564396214803,0.015505694752365871,-0.002338613192506207,0.04354503705773883,
PDAP1,-0.030881284606651484,0.016536842653278455,0.08798947412212081,0.03758374426786446,0.07775967833906772,0.0065048859499063525,-0.03830172226088794,-0.014814876469836176,-0.06528453136241533
QDPR,0.038054388732088315,0.045066277363291204,-0.057757553102027424,0.05458632285250004,0.015348149336706612,-0.04104619039036632,-0.018122932589184244,0.01806859478729792,0.03360525058384744
POMC,-0.04818156147566301,0.033835251041827996,-0.026338398138306372,0.0018266720336629603,-0.043739301485799124,-0.07363362468454453,-0.007743240703733319,0.021343817496421735,-0.054963128590630045
CCL18,0.08421748584202392,,,,,-0.02192263062549804,,,
CCL17,,0.08584088466448889,,-0.00142626251091013,,,-0.016099336882404672,-0.019292465261735853,
