,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02500417677086558,,,,,,-0.030837040957116243,,-0.031160949809651072,
BMP1,-0.03184020225174441,0.060025157993414104,0.020782237571410324,-0.042695336494871006,-0.04140313401986456,0.04689461718754846,0.12996938531616783,-0.08715809303869297,-0.03280571841723298,-0.024568014313744772,0.04171138754634329,-0.04091334565604129,-0.009260871635260738,0.06662855130240772,0.0459389890297154,-0.02876262356594954
NDP,-0.05922015419402658,0.00014898630985576983,0.05711422928678287,0.03768280828080542,-0.08793000444984332,0.021505602875349302,0.08025113119596095,0.016706686203068078,0.01792783018156892,-0.021200476875609362,0.011806753403675933,0.0777066158928769,-0.03823462330822931,-0.055612169227541336,0.01927538786655983,0.08364562858348286
TNFSF18,0.04067336139479417,0.04199302725901757,-0.015408071813915687,-0.021027202148157658,,0.09276584508469131,0.10071135329182879,-0.021892461658346036,,,,,-0.03180169603333671,,0.09835706657410362,-0.03715911498104797
RTN4,0.01356460479226409,0.047052733570497995,-0.02729848443785344,0.027741969781847755,-0.033257356437888144,-0.1004153422784151,-0.09843359479819869,0.016819713566269972,0.00382186047472734,0.15769116068161115,-0.0185483025712756,0.0451085323985183,-0.014954924747380518,-0.004014374274380171,-0.0443582830159024,0.06442370821776677
HEBP1,-0.021431593647518378,-0.04617145662098555,-0.04550024543408023,-0.0013989774073436753,-0.0194940708117389,-0.007708010287450033,0.07584414197808421,0.016864038053145243,0.0206947781015409,-0.09769839969370901,-0.04230308500029126,0.04398052483008222,0.05708007504921954,0.07809093366080519,0.08891035339502397,-0.002694130509381907
WNT7B,0.0999021162914862,0.024120847744644108,0.050433112876876116,-0.0195713794430369,0.006642840868413758,0.005220583773317755,-0.05231820116843824,-0.023599299831810857,-0.01233231221151386,,-0.044938036425361816,0.12204116890677637,-0.058211154203718696,0.024710221311518222,0.03592563382806556,0.009881691210771563
PTMA,0.026456093216829013,0.03261670021726104,0.0004236384059560511,-0.007460904489821043,-0.018210051681342685,0.09631363724071615,-0.029253026761558824,-0.010116939047574592,-0.05018463191120564,-0.23706748715687184,-0.07392953547777455,-0.01999236455679447,0.02114142817050567,-0.03476458697713099,-0.04448885389639467,-0.02061858240335154
FASLG,-0.019303095639100536,,,,,,,,,,,,,,-0.02702588113919874,
CEACAM1,-0.02680251722954627,,0.021278709034645616,-0.015019856583322019,0.0508346446606966,,-0.04886155985374369,0.0194099075934492,,,-0.005189657463044875,-0.014481555557050295,-0.0013200889079430724,-0.015867632752308625,0.044396822220791485,
PDAP1,-0.06446614574787518,-0.061184411897756336,0.051896099826642506,-0.03896221484133205,-2.8807233899201515e-05,0.05754566956714439,0.08380109803957356,-0.0021401193126901964,0.02655039232829282,0.03207495690526695,0.025932842854325282,0.004096810652150617,0.028894535448686386,-0.02267774104126847,-0.0205868772613287,-0.026740681484863697
QDPR,0.0784368891193314,0.041084555263791865,0.05714502269389509,0.030453975932413266,0.02559459298870708,0.0253779971427148,-0.027427806992064468,0.08117007857411238,0.03181616978894061,-0.20079454553962847,-0.1240665670528794,0.023147660077449676,-0.004533011731145624,-0.062362618062566606,0.023631758681759558,0.0251852180579014
POMC,-0.025844598201930396,-0.01921344038164116,0.06927692488303036,-0.0016607045756438653,0.030580626696565104,-0.002978231292310981,0.04852960840233089,-0.02934458817886429,0.04069862402457695,-0.005654690246816628,0.015038197310873587,-0.03392511427392121,0.0068549970379695735,-0.02595736272117953,-0.011315758085676248,-0.025532359821299363
CCL18,,-0.025461615121276846,-0.03650077646155259,,,,,,,-0.08641370357031056,-0.02857417857028199,-0.03536299970710499,,-0.04743995888590148,,
CCL17,,,,,-0.026377621188386047,,,-0.014813328060816058,-0.015263945425954387,,,-0.02090503459046186,0.07634317971337809,,0.09997949215092027,
VEGFD,,0.09067647694136956,-0.00496068669937268,-0.02151293113130333,-0.029387582877196596,,0.07605196617187071,0.03281993334064711,-0.011196288563325045,-0.03165025069921408,,-0.014481555557050295,-0.007731046977447071,,,
TNFSF13,,,-0.034068290543572625,,-0.018194692747154434,0.085865253158806,,,,,,-0.00502486146441092,0.024680734643996487,-0.017818288091867085,0.1350029053305572,-0.04042381673488008
WNT5A,-0.06186423193183003,0.005431438210470188,0.015701130283819868,0.02876433059812582,0.030183131621606837,0.1355727259875337,0.05029312413150394,0.0340844485378428,-0.04045878821646105,-0.0025718704213376327,-0.01766525997915878,0.04710847056841928,0.008551272948408383,0.04564872384023842,-0.0052729399583858845,0.003788318004839727
CXCL8,,-0.023777375880718078,-0.026418387938008065,-0.02014343359925864,0.019594913894449242,-0.03119278791912787,0.009463373103008571,0.031195776692969277,-0.01042647074097984,-0.06305792215299114,-0.05030934018404227,-0.08674808919900398,-0.03985465968552995,6.744843980609606e-05,0.04883255161031255,-0.0640729172252512
GRN,0.004714148107980731,0.029373867843632807,-0.002827609049263827,-0.032559875566736216,0.002355994812802248,0.03115959350413863,0.12246218727672985,-0.009788088098694638,0.024893393617065256,-0.14254856164031876,0.07326605695912336,0.02385880147266704,0.037292870630124694,-0.008775415800443578,0.030641957620814897,-0.00953398683434711
MIA,-0.025266087258016948,0.0251162236745902,-0.025186049303644355,0.014684568409741146,-0.03232204925550068,0.016873726789706913,0.06669622047842483,-0.003453247683774645,-0.012733420324366005,,-0.04744653658844843,0.013521329594087403,0.03581982074737428,-0.07668055394119386,0.10940464032409103,-0.04329157843812835
