,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.009755281761983503,,,,,,,-0.01660307221009506,,-0.01880731669061279,
BMP1,0.1212577637039555,0.037232122626200806,0.0018087370023813427,0.003589522382263661,0.06618408293925257,0.13369866339598444,0.03479741742490195,0.0768636393463865,0.007852006478259687,0.03245716800222752,-0.03447451297801362,0.02963321728024419,-0.002467986457468177,-0.015951269383775172,-0.035669545543775806,0.030449014509477082
NDP,-0.017444441988221246,-0.019221380602899768,-0.040282485430797745,0.024394252894660243,-0.0185626502957367,0.0709103128995668,0.030999686532695397,0.0510595656459473,0.13830829169285147,0.1194295484213716,-0.034156450838904645,0.028255089405571292,0.0836960753843191,0.0358216342757361,0.0805115318707454,-0.04575484465739844
TNFSF18,0.08421745860892298,-0.014009872028569717,-0.02492196259975969,,,-0.0263065054262725,-0.015882541990676288,,,0.05273642832526507,,,-0.017122455308836482,,-0.004176966770265033,0.1295066576482222
IL36G,,,,,,,,-0.01745644020080346,,,,,,,,
RTN4,-0.03702482399664716,0.001731050388192862,-0.016607997646362047,0.07032849494565062,0.02812682499441877,-0.12602087408260013,0.04558352690699155,-0.06450041975462305,0.0002504815513855471,0.1592340328240137,0.039224001190665665,0.02624821370661648,-0.013832620464471848,0.053742085375919596,-0.0005005940718833495,-0.026593948048165995
HEBP1,-0.02938222153090146,-0.01369775229222532,-0.048132026105758195,0.010378784124164058,0.014234432323729097,0.06435225630131018,0.0033387623208619792,0.012548221104600172,-0.0393306786893158,-0.001798038251793953,0.03763039325339517,0.0676933836443885,0.024087011157622216,0.04250383113604732,0.05754225239279285,0.03561062106635469
WNT7B,0.07701799141653871,0.01394674342475487,-0.015480750617120726,-0.024950395472262868,-0.07645851194793736,-0.06910050008593432,-0.03187294832854378,-0.01918663948528177,0.013493058805871616,,0.06318079116900122,-0.039545260893056884,-0.004416076115283727,-0.02038282251573527,-0.004901423149822982,-0.0008482008830599625
PTMA,-0.07317775957924895,-0.04768557415150788,-0.02885634339003353,-0.01603895168633024,-0.08837854307132341,-0.060520071914625544,-0.01477227098379485,0.03040781666113574,-0.025335208427032057,-0.1572490293178264,0.04334618102179487,-0.033412350914988745,-0.044325703626238167,0.012004727131903628,-0.01691230786827976,-0.02038829170405696
FASLG,,,,,,,,,,,,,,,-0.01631157934955967,
CEACAM1,,-0.017332503492795102,-0.011880544994188062,0.01603462611626926,-0.0175285116811105,0.026588765673351437,-0.02497945478923088,,0.2331349952503112,-0.05672310892658897,0.040319741885473916,0.08650463461335406,-0.02460318067026859,0.04860643525500469,-0.022695166929982514,
PDAP1,-0.04854630027286458,0.025298926023337925,-0.05340370660044055,0.07169341332812029,-0.007978900550532022,0.1215859806737496,0.0007484225078584978,-0.017911295626064153,-0.10709152844556553,0.02395545901221654,-0.03198633623939433,-0.034128258446831386,0.02561921438328537,0.01253186037763947,0.027492241495436654,-0.01222908619647277
QDPR,0.07142868317626967,0.041219293402708954,0.031969298407610515,-0.011301244727248827,0.0061487673506450844,-0.08826720462857675,0.0036646563830745283,0.0067189676664353905,0.1329744518318049,0.016522832851183087,0.010798968435331334,0.08929998151901927,-0.028486916685774598,-0.01731793555781908,-0.011588186977213909,-0.06250684228955809
POMC,0.08155759613058661,0.02872964492316962,0.010763527478176143,-0.003871776188003047,0.021224563088044286,0.007543864892390666,-0.018428845764145184,0.017746869618045457,-0.05902577572423478,-0.057940181747829875,0.04466514722304172,0.06786088202340726,-0.02992971620458089,-0.034564018551937525,0.060817366575652954,-0.010046011613281725
CCL18,-0.028530837111909943,-0.021629326714277378,,,,,,,-0.044987754417159,,0.0039715120363068845,0.0014084151116414976,,-0.06732042824171318,,
CCL17,,,,-0.016698953208762413,,,-0.01980862209831768,-0.015946953711603228,,,0.07731242105670491,-0.04259424838630084,-0.021890191632227007,,-0.014784614569999284,
VEGFD,-0.03214591429641921,0.10473675358561216,-0.017016497117963103,0.05959683165431853,-0.016770287544433195,0.08311110177789778,-0.021104411409449204,0.060862526941005725,0.0164822514072796,-0.04940811641142826,,0.02437603756604662,-0.023087395779263734,,,
TNFSF13,,0.06634584412500498,,-0.011518564189795735,,,,,,,-0.035031574703809826,-0.02727353794671524,0.019808688848388992,-0.008199889160394498,-0.02409029542017648,0.0729338517746558
WNT5A,-0.0397191276554355,-0.007418683196658846,-0.02932005331363005,0.00709121697913334,-0.07399166287049525,0.13321857305445653,0.0449449820831461,0.03818388669491963,-0.03667203491669406,0.08685842216335982,-0.03686139842089957,0.009182858365376275,0.05166430084941491,-0.06135791666393831,-0.021837829190447255,0.04376129814653402
CXCL8,-0.12261974937491073,0.05115630809617845,0.06688244454509523,-0.034459400730003094,0.055376206219620284,0.11263031398431166,-0.008321987031495883,0.048686763196476746,-0.011242548825361715,0.013641440969851856,-0.06840448929330335,-0.05766598570690512,0.03489267640342814,-0.011881174032833572,0.008257892174367973,0.05521413541683387
