,UKF248,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0043683542523766,-0.01595430317887567,,
BMP1,-0.0362151476714456,-0.011716377594190835,-0.037807907382574925,0.06783741958632743,-0.0414446724345063,-0.02575936559472556,0.0813051652648381,0.01661338064252674,-0.024026989600927584,-0.06072300114934653,-0.03228747683302541,-0.09034346068093879
NDP,-0.05724733946635983,0.01772746656068611,0.02276492724770485,0.032581963719630354,0.018382077815001917,-0.03789511710654124,0.05645825107895739,0.0083910822519898,-0.03327284378916513,0.03269628671308633,-0.07841547202747252,0.037049078459357725
TNFSF18,-0.023730667740455402,0.049794223661793514,,,,-0.050711734400210845,,,-0.034741842597892585,-0.026912057126140646,0.045591047490588656,
IL36G,,,,,0.13993987607447375,,,,,,,
RTN4,-0.04216662304578137,-0.04589759045377926,0.018138100112024963,0.023663918497430027,-0.04088084366181791,0.12536818191673987,-0.007075196624299083,-0.03163377330977014,0.10335677429764863,0.06644780834500447,-0.008325446905874848,0.01554139309897997
HEBP1,-0.02631408113969985,0.014146473509041475,-0.0029599336014022367,0.06569580412409022,-0.033692172594256574,-0.028875709968672326,0.024912219441548457,0.02648990330214072,0.04312115318116803,-0.00634850397966305,-0.01120272032951824,0.041542601799528324
WNT7B,-0.025337981944319164,-0.01765675031006994,-0.013333400651793056,0.07081612184913437,-0.01657785625594831,,-0.01047381310064178,0.0153266816044571,0.01037537177307076,0.032986519426815276,0.05889080035747254,-0.03996489569801633
PTMA,-0.06182539982978934,-0.0019895310273077517,0.0012947109041032067,0.10805671318733114,-0.02694920213133018,-0.041341444657144476,-0.005358198887269336,0.05473356416521309,0.0391122098921955,-0.016877760830254097,-0.0075829536064014715,0.0702636884093712
FASLG,,,,,,,,,,-0.013837161704149694,,
CEACAM1,-0.015103919661308949,-0.003871924087323826,,,,0.06672807726400921,-0.020585075943705504,-0.024532496289467434,-0.007692447004848587,-0.01925237820219511,,
PDAP1,0.003410120221684149,0.012708336490165293,0.008775265713568941,0.0806382982991854,-0.0022153661003835273,0.017511500814589104,0.012576192474056579,0.05018767971556578,0.05211300380661267,0.01553720951709165,0.002369846801147873,-0.056542398805020766
QDPR,-0.03174323298884894,0.03163225276056503,0.0400403787042775,0.06476614585606567,0.005175529411482174,0.012387530197722613,0.02164213362116996,-0.02678343951644264,0.08132100773806625,0.08350679237305537,-0.02506596183981981,-0.054685637990748
POMC,-0.015425820325224581,-0.004727350349888126,0.024832050005988003,0.0800455551294561,0.045611156190274185,-0.04761834428861848,0.004631410482023346,0.0016650427525408715,0.03654400217762727,-0.050059832656511954,0.04411189099921197,-0.05983719972090678
CCL18,-0.01884826465815794,,,0.0068755703712017405,,,0.034861991391535556,0.06229588105178769,,,,
CCL17,,0.005939638204665163,-0.016503012281941783,,-0.013778666480600587,,0.014814462886985399,-0.023477458856972905,0.0428122640160399,-0.012541832900082123,,
VEGFD,-0.018848270643364768,0.06481802483030553,-0.012105159086754566,-0.017599377586625924,-0.014767023638536662,-0.04847756897706468,,-0.024532496289467434,-0.04684483946320985,,,
TNFSF13,-0.01422350986494013,,,,,,0.03219630171556808,-0.038494023029264954,-0.0359037098080004,-0.020435869886426247,0.0373349922355469,
WNT5A,0.02680922301462229,0.0014693081382502792,0.031165974064282804,0.057750006548188355,0.021550873891506717,-0.06237858949565861,0.09897491010657516,0.01891074920547242,0.0281647423554243,0.004291034083930672,0.0745303547682117,-0.054073593755537004
CXCL8,-0.021061340055682134,-0.0008704372176090051,0.08804406517847836,-0.06405322276872526,0.1104859686367837,0.0020346400303681805,0.061156912256329174,0.03458570535258118,0.09394222273314395,-0.021383502325044466,0.10771996072268188,-0.0438723401257689
GRN,-0.016420229952681224,-0.027207415256986462,-0.02016215067748444,0.0312843210137886,0.023359027470811835,-0.01622232742234309,0.025901585241262393,-0.015946560059997488,0.005465250800734323,-0.06606143034923508,-0.03325264961203285,0.09648664616838253
MIA,-0.037552258049841324,-0.01890977068999119,0.006600952974690897,-0.0238679177870257,0.12966799606529064,0.02913483339331838,0.0386191382596578,-0.06376511820295834,-0.00474282188884593,0.07135209867340557,0.11009396997058656,
COL4A4,-0.022636612716707732,-0.0216208583690575,-0.02312758129385177,,0.13409167865132116,-0.03795889123750397,0.008858343985789524,0.0024860716731258405,0.06888685121820844,-0.02404508756366825,0.07716347921042715,
TAC1,-0.07123933572572592,0.0037361059776808716,-0.006939248505133464,,-0.03476745412887368,,,,,-0.01648751465440502,-0.03355884746946063,0.019876584965106667
RARRES2,0.03649782015204428,0.05526411175915212,0.018783382889182885,-0.08683250734330374,0.06404008280759552,-0.04997078766410503,0.073279112950485,0.08936722764459125,-0.0016824547192281793,0.044202030464114014,0.040180572888365865,0.12312308660944132
FGF7,,0.019040666300235275,-0.023910808258581426,-0.028357549582544547,0.02760130829880279,-0.06604331406145275,-0.05759954371579032,-0.010708381655182949,-0.03520263300116084,0.0051725979195470385,0.02143137498657992,-0.049163524316882506
EFNA2,,,,,,,,-0.02331649593299626,,,,
HBEGF,0.014862505482747843,0.02389135815133466,0.00833864261483131,0.01893473414674798,0.04402604812498446,-0.026892863237656477,0.029452205751056643,0.0010510286733330485,-0.03280730693506116,0.027711853867741058,0.07726788415316943,0.054238276289417235
CSF3,,,,-0.026440006742792704,,,0.09807012122830891,0.052863380333985674,,-0.013204615237698813,0.143519538336132,
PI3,-0.019829169096283808,,,,,,0.07809175546511388,0.07610920869391523,-0.037738368973063444,-0.00012922929445137,0.07987950287505786,
PCSK1N,-0.03674714072874812,0.04414607661179288,-0.040619508814900646,-0.004439925008902748,-0.04035297846752555,-0.005304946020050616,-0.02226188927902257,-0.04631870994032119,-0.05473710957246437,0.07225530119380154,-0.07594031823055342,0.059584089304439765
NTS,,-0.02469931742287182,0.01466701123391744,,,,-0.034069880147518716,-0.028406725676256024,,-0.019554234569621697,,
SFRP1,-0.024778253161270098,0.06248548717130927,-0.016503012448140675,0.019027524131481257,0.03811566488013789,-0.01768517971677748,0.05271323202294347,-0.036209100555683535,-0.030824412911333293,-0.019099843697740437,0.013939552986286317,0.008037414601210095
CXCL13,,,,-0.015101985626179827,,,0.05224554592521498,-0.029377195896819367,,,0.04159541048090857,
MICA,0.026048389126297516,0.04306571921748481,-0.046909605605854006,0.02300911600993704,0.031661283769770725,0.0013417357049671447,0.054331103819529915,-0.018149261263545706,-0.000819600014381139,-0.0001789740154434814,-0.04163592970205383,-0.059422440469704484
TG,-0.029681444245981157,-0.0208635547005274,-0.01194315832211145,0.0473228293682714,0.028409667492380174,0.003267272351180452,-0.01940521764532658,-0.022465120113023835,,0.02381945759081772,0.03781427926792756,
ADA,0.003962400501642791,-0.03643619186917548,-0.019396649584540532,0.05037687190155032,0.0074416370529899415,0.029197916295573514,-0.0014135169423081116,-0.04777519115157543,-0.013188300388546112,-0.019749177910147055,0.040266890919823786,-0.05603065260834126
LAMC3,-0.015214739591463945,-0.04081951180140003,-0.053709492674698156,0.04150910524340018,-0.018835085854692644,0.015568151791217132,0.029463539514803624,-0.03124112590158844,-0.04902587817152676,-0.028678604390033786,0.0011393528400279373,-0.054721293170147324
CCL7,-0.011989088581865126,,,,,,-0.02188820218193122,,,0.1939005645520749,0.10859781973218212,
NGF,0.04736587033311312,,,0.07273792925527112,,0.07035890891927542,0.010500536064635722,0.048170509699445765,,-0.019953867950396394,0.0979000370344169,
TNFSF15,,,,0.10079479402547104,,0.12700419379542047,-0.021338539294259096,,,0.0012242459516314226,0.05491269519260678,
HMGB1,-0.030084186152269224,0.014250341242524504,-0.043283709691466825,0.0408250435343239,-0.05391406933442704,0.03746120305582877,-0.031092509308268734,0.08156161743489948,0.03372871076687941,0.016497302471574455,-0.06245922870265101,-0.08665007314915733
ITGB3BP,0.007097346494224843,-0.002181430705280512,0.009783438862159793,-0.018525295725612803,0.02964211180458527,0.002273599176819403,0.0708558596669699,0.0535480800886185,0.0360704408452431,0.014207900242542324,0.05627095493218622,0.00417083204222142
AANAT,-0.017394343519807152,-0.004238542497196273,-0.013767069904176624,,-0.018482763140041387,,-0.019202129396529613,-0.01858385023407281,0.018001129027931422,0.09890244427475162,-0.021331085463799877,
RELN,-0.017910088809623925,0.002552544855426071,-0.017761278844018527,,-0.020462014108740816,0.013163895321075349,,,-0.003738570933207138,,-0.01180522774248941,-0.03741355377482995
IL15,-0.03790916155184766,0.033518555806190946,-0.010219872105999627,0.0008214873529599326,-0.01714190855297239,0.05223178057823185,-0.03517908779801933,0.019203036938982943,0.008892452916052007,0.05587695066593293,0.046041673246628216,
UTS2,,,,,,,-0.016352018538685734,,,,,
