,UKF251,UKF259,UKF266,UKF269,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.015031581941808876,,,,,,,-0.01754461752152961,
BMP1,-0.010140150671394179,-0.06698298846635468,0.09551775619414944,0.10628726653146583,0.010650731250981772,0.12520896121287822,0.07155233678729699,-0.004280112244089313,0.036064512485332205,-0.06317649660641285,0.0031415102982983957,0.08690810168905096
NDP,0.06100480058704175,0.0024324937215763737,0.012347232445990624,-0.00952896659304707,0.014561046180826242,0.012326673320885509,-0.05749719181940676,-0.04865151741969866,0.05564816631399593,0.0234319247593226,0.012405014690582462,0.03335354853441019
TNFSF18,-0.02674804795050337,,0.009866950365739662,0.1707608251935579,,,-0.04723474423985288,,,,-0.0011730643467071171,-0.028861148393898486
RTN4,-0.010723353434700931,-0.025399950652606244,-0.08582084858405344,-0.1265187023582614,0.005433142372487353,-0.0907649623499503,0.05304016373435926,0.06605523108260374,-0.08295636580278155,0.06474939099618585,-0.0008728505754050088,-0.039471947661022085
HEBP1,0.08122318724767084,-0.014155860869553049,0.06386888648134426,0.022222549744002684,-0.0066206668651821645,0.08788889192154752,0.0034808655085713626,0.060180422163603066,0.07378931203686559,0.05779823446140628,0.0338832167787122,-0.03516821579979227
WNT7B,-0.022339491220333862,0.02267208613903598,0.02306693777272922,-0.04362380481176567,-0.012332311412791164,-0.057612382079234956,,-0.03932236605158972,-0.05003406314276316,0.016918971189520585,-0.01574056796199336,-0.024152662928361397
PTMA,-0.01190443131577899,0.05872867086774506,0.10071857368901262,-0.054712531854470586,0.0025460727272595455,-0.0015123614607258913,-0.043567634646905336,0.012264957762089124,-0.03878299413846216,0.015979860655366742,-0.05449687649826624,0.03896138663336538
FASLG,,,,,,,,,,,-0.015216440790989874,
CEACAM1,-0.01714421588168498,0.006783233732270573,,-0.016057267088816746,,-0.03531276136281386,-0.033214041615579996,-0.02203426115120899,0.096326991127832,-0.017474081526565988,-0.021171442472309267,
PDAP1,0.06258656114010676,0.0004137275610810296,0.04449508567748868,0.11415561342976123,-0.0191684454932977,0.08598056213841945,-0.051627953974235724,0.038302215260430844,0.014108387110470761,0.0006850690371699712,-0.03179185392097245,-0.002346392737971717
QDPR,0.03263378698296472,-0.06566897715915491,-0.04771804532337403,-0.12909872375605255,0.018919223930708922,0.1030743866566918,-0.03924608873801415,0.014838540714691501,0.04891941713592777,-0.016223481845491515,0.04763346435250147,-0.019200025920317085
POMC,0.01339623044327318,-0.02961770483364445,0.046159505504210684,-0.03786439754986199,-0.014436367672494243,-0.015606386401369174,0.09692859542450438,-0.0042687375212696515,0.054669538937210604,0.011860420157946389,0.11646932883292872,-0.0604383255856141
CCL18,,,,,,0.05720033740341725,,-0.04032242762137347,0.07987580785832406,-0.013853013336939715,,
CCL17,,-0.023611493010541877,,,-0.015263944437359594,,,0.09689729385270049,0.012456187466108942,,0.10849860060277258,
VEGFD,-0.024555649617348827,0.018604233490569784,,0.08488591807823755,-0.011196287838178809,-0.03088718775096946,-0.04515376172959203,,-0.0073932145599753165,,,
TNFSF13,,-0.01628667943785419,-0.014323537966619455,,,,,-0.029995924012704983,0.02782471599753664,-0.0196222223970885,0.11301001092786406,0.05071846050258283
WNT5A,-0.04493201284253107,-0.010825080925715751,0.12795092226430257,0.04746899101235177,-0.049263454285389266,-0.06421361955374066,-0.026984674685677616,0.05527565742209943,0.016567265121908627,-0.03879869489691623,0.016232685074331482,0.06559147226799496
CXCL8,-0.02299245484191537,0.005769879917890324,-0.020374303744938545,0.03841240960589849,-0.010426470065692134,-0.07719438204911962,-0.05055608351287409,-0.030402574857558057,-0.06902987214203507,-0.05156258761988765,0.04778244430073547,0.032263202126577364
GRN,0.00741556144538567,-0.006786648974773368,0.07986506658800603,0.08237287794851708,-0.00412832333973818,0.09316248667724733,0.15094026469885044,-0.003505905953449104,0.02866663563621447,-0.11333026983914847,0.02087496293363965,0.05675011365060542
MIA,-0.02183807752375998,0.03164521937427282,0.031242952412497922,0.031665859855775864,-0.012733419499664875,0.013083488398202506,0.04856217338335464,-0.03324075285019778,0.03515249124728041,-0.07058129664463907,0.006141777391091818,0.08355725395663903
COL4A4,-0.018754927282336617,0.061228766938812025,0.01389361194305014,-0.01481250828197077,-0.021391132104176896,,-0.03535628470290375,-0.01733531347320872,0.00766200477866905,0.04962991711304697,0.022029529809807293,-0.03509069223832425
TAC1,0.01354087004732913,0.07092172144315022,-0.04911933213977707,-0.0620217459203497,0.033880983990915936,,,,,0.019847916795165444,-0.01813097916273494,0.01122463671172968
RARRES2,0.007628417916483966,-0.012311983829304554,0.03689999061637575,0.07537257547498062,0.018485662053990867,-0.035573359043158045,-0.09765685641382499,-0.021041393054984092,0.03129736818688518,-0.02441238074254813,0.009827974022655643,0.006066733424621409
