,ZH1007inf,ZH1007nec,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
BMP1,0.058843930170913994,0.08788864808016064,0.07622641396521934,-0.0706495144081858,-0.06084249324819132,-0.05687048453940971
NDP,-0.06052485110129797,-0.006241855937110313,0.011798712131599082,0.018761834117056966,0.05636131942727409,0.04934130721546526
TNFSF18,-0.024507778059185813,,,0.032296554928206454,-0.0028835476109481148,
RTN4,0.08975998694805906,-0.09911902637239839,0.0024850437056167653,-0.03882997538791343,0.07625878887725053,0.013178401766559048
HEBP1,-0.09727265206993743,-0.006706534163585411,0.01488355908059279,-0.04180877323478438,-0.002583504365162518,-0.03196760624843795
WNT7B,0.030129470609538522,-0.021110471337515726,0.00037329308215921207,-0.03164189745208847,-0.015293854991513825,0.07298822223059076
PTMA,-0.007334091955677737,-0.04666557516976561,-0.02218076956142929,0.0072009964176410245,0.02992021268643576,-0.11330720180133556
CEACAM1,,-0.04382947166441968,-0.012918325679058902,,,
PDAP1,-0.07354237348571059,-0.1438384379056668,0.05904311848758505,-0.040211634638721835,0.015028537092927424,0.04859918220492537
QDPR,0.0721615962697561,0.14462794446560787,-0.016093658113986112,-0.06629715442415295,0.10151565482549471,0.0030868990064415506
POMC,-0.04022047397433018,-0.044179005770040344,-0.021132683786929236,,0.015201736202127076,0.013804094530917946
CCL18,,0.02263706322709314,0.028825782991878747,,,
VEGFD,,-0.04233973875230443,,,,
TNFSF13,,,-0.014506413918644928,,0.03692847190600499,
WNT5A,0.04750090598495025,-0.009872430866467455,-0.0032757288028340595,-0.052245409090617874,-0.07179267007321082,-0.0028070773063101685
CXCL8,,-0.06911715860309828,0.024618482851125802,0.12081309965396995,-0.06083699601943047,0.038078912248040574
GRN,0.06936748132262016,0.08322508990077176,-0.0048861019774198615,-0.05708341626454361,-5.1130294848881205e-05,0.006761172944781797
MIA,0.06861660486034571,-0.07489733785199121,0.01018000486814983,,-0.03555736097471364,
COL4A4,,,-0.02603489122991691,,-0.04089555524604157,
TAC1,,,-0.022287792001193355,0.07434888688114855,-0.012042298255590023,0.13668601243357137
RARRES2,-0.09982802039487315,-0.10690913509680978,0.077959388018206,0.04846062430779178,-0.05050696827709444,-0.03226057593803094
FGF7,0.027266039818814505,-0.037842247918785876,0.024069901073029542,-0.031040397317945844,0.005408885251662796,0.04256041574995961
HBEGF,-0.009355345581359104,0.07686787642721268,0.010243927751009163,-0.03387403552262412,-0.004669192305629678,0.0021900991005289797
CSF3,,,0.061038577412371585,-0.02843887318826436,-0.043017445017666335,
PI3,,0.07819498048744164,0.032131648518333895,,-0.02303334579617738,
PCSK1N,-0.03274703710932383,-0.028031609478413568,0.03419261617452744,0.00862874426802317,0.04161991303853113,0.15628005744077944
NTS,,,-0.023503889872549654,,,
SFRP1,0.019442408382698805,0.029561068545655884,0.010043084701596079,0.02794465994687643,-0.015528664999519477,-0.017246032141799175
CXCL13,,,-0.030210274872163254,,-0.034892991352714786,
MICA,0.023928494795005105,0.17458217512633808,-0.05465592548369249,0.0428629540069663,-0.032355745853297126,-0.00656545913994168
TG,-0.03140786195362396,0.015484317817700675,-0.015242396424699687,,-0.038452257039794525,
ADA,0.015687264347240198,0.0018128960897809186,-0.019897870514853824,-0.02183999378062989,-0.06340543214678271,-0.0326613640755142
LAMC3,0.08598855803734191,0.1625704857707472,-0.0022051356191210994,0.02216775642366756,0.01453886248481288,-0.0328999001169702
CCL7,,,,,-0.057350342597040936,
NGF,,,-0.031795109569213366,,-0.026814749846751713,
TNFSF15,-0.02895009804946661,,0.053028756961490245,,-0.04760938004624505,
HMGB1,0.045220904028757725,-0.10928225566539643,-0.0353812011951466,-0.06005206584045336,0.02070909875076085,-0.08345487057766018
ITGB3BP,0.05048426325517896,0.021341023279335992,0.030697276498222435,-0.0685367320827707,-0.06532345963276862,0.0045586007746444826
AANAT,,0.032977496990274,,,-0.026266398945408553,
RELN,,,-0.013891619310376213,0.0160684158758984,-0.02105652608902697,0.11335125325443535
IL15,0.1022147496792389,0.004002378912644582,0.08604524855862154,-0.030078430304527053,-0.005578533724459709,
UTS2,-0.05350360106816756,-0.00364410478323623,,,,
BSG,-0.050728297479410926,-0.03693257232807494,0.02138838563588233,-0.014169572309642886,-0.006060796604816994,0.11821525147375443
ADAMTS3,-0.0209117714274978,0.044138377240841825,-0.008831322551538666,-0.03458139644492732,0.002131104221548655,
CD34,0.05204044531835971,0.17244289787724065,-0.01473883033927892,-0.06604936421199875,0.007801406052103062,0.019583840350750514
CCL23,0.029733992189734812,,,,,
PLAT,-0.015532671428890501,0.042066480733073446,-0.013205725435372365,0.01580063683982696,-0.030434686851139803,0.027896238137491387
NTF3,,,0.06596194896356883,,,
CKLF,-0.11314046380867485,0.023781551193996633,-0.04779456820020876,-0.10721594456656539,-0.013087107610836162,-0.024729406093842814
CD24,-0.05178651517085691,0.057849556104978314,0.05032002283286688,-0.037170316003444615,0.01885544545042244,0.08169493102918773
HSP90AA1,0.09057502896147619,0.002715726064079567,0.050107707475022065,0.07612508864027194,0.004029610633089252,0.07526250042034593
BMP4,0.05403403541016779,-0.03868143363008872,-0.039852708479281684,,-0.018891932494526295,
SCGB3A1,-0.01151303014083704,0.0719845495028907,-0.023883359425022267,,0.031313207412414244,
IGFBP4,0.07458911175487598,0.15760686744257532,0.013709447351052052,0.10681324995898789,0.019637745723525238,0.05350261391350669
RSPO4,,,-0.01608442615284624,,-0.002766369670298679,
LEFTY2,-0.006049908147733982,-0.06598301139454879,-0.02187375693660721,-0.023567189046116117,0.039558643428401964,
PF4,,,,,-0.02594546620249364,
ANGPTL2,0.03259628885210232,-0.06658863663728819,0.019134065637395132,-0.08154857118237131,0.01801327090513994,-0.005544053197466743
LRIG2,0.0038667014033787433,-0.03003022404767614,-0.004951865938742175,-0.0338467717331488,0.064667982357611,0.06149016496577094
ICOSLG,0.0780419424709598,0.006542335940303537,0.03917879262775392,-0.03269641466580491,0.04808700783273294,-0.018736059218200617
WIF1,,,0.03591149640864624,0.0029650927548960557,-0.035543515490388,0.21457152722792594
NPPC,-0.024136026503972445,-0.03216057110924156,-0.0487718287702435,-0.03128282609713053,-0.04346826980119995,0.13279559838570432
LYZ,0.01457631300825187,0.011865634147454389,0.018247692433292773,-0.061259246183979356,-0.001182528417968654,-0.05259808573721268
EREG,,,0.053756341185146314,,-0.02987091749691125,
SPTAN1,-0.009076012654710551,-0.007196462117999583,0.03643758123006344,0.11000739244048444,0.010351006535959021,0.175856833383197
PTH2,,,0.031615950943800264,,,
LIPC,-0.025593785444328155,0.0825149171010165,,,-0.040460401474018415,
COL8A1,0.02305116402400747,0.03721462933697969,0.04903094701952676,-0.06487147405930496,0.008865030133225212,
GSTM2,-0.03534295802722359,-0.007820326172114657,-0.034147875267188765,-0.05392765742087401,-0.026938746125885694,
IL4,,-0.03645325938115319,,,,
SPX,0.06143498634556096,,0.01565224848585989,-0.0582204831804806,-0.06451380936774279,0.007877554337382235
MFGE8,0.10595732334796,0.08866544873588932,0.009151104177682104,0.03954129637237041,0.04809989354276445,0.13759568212027495
TGFA,-0.03407727680606782,-0.008206500070059894,0.05390265173063684,0.0791765518152813,-0.04808619943960454,-0.06251118015766532
SLIT2,0.04072877706302407,0.03092108532480411,-0.060252217956435594,0.08561176930362309,-0.020185702779150907,-0.01053134917533179
PLTP,0.12533535054821485,-0.055317323117139904,-0.03934028864525819,-0.07326899588608506,-0.031160520052617744,-0.11394665735990558
APOD,-0.024053742722993085,-0.08001457710410491,-0.04453480313749916,-0.03131081397933492,0.013395368633711166,-0.04180812992200482
B2M,-0.023633184414569557,0.1328305025605594,0.025813630931218256,-0.09680180857238008,0.06783312163076144,-0.09148646250753908
OMG,0.0031715360986828184,-0.04259485001043166,-0.015489875083957556,0.014970579678955343,0.019854508885863497,-0.07042939105758321
CXCL3,-0.024874595737713605,-0.07387882174524155,-0.017922223264306435,0.005647859096285183,-0.03908625542016079,
CXCL10,-0.02011389865046186,0.06413531741236064,0.04476360085289484,,-0.004433850337220019,
RSPO3,,,0.008794372458286097,-0.0313153149234873,0.040819820204600676,0.08812851804234162
CORT,,,-0.02675055788333884,0.0165468512212001,,-0.00924397844665014
NCAN,-0.03444958485994089,-0.03069886078724874,0.011151474855846171,-0.06511084589925659,0.05413697029152037,-0.00521766094800613
PRG4,,,-0.03835524229715881,,-0.03611255421454763,
ZG16B,,,,,0.024957463149565918,
TGM2,-0.024896647679074086,-0.005739676466931457,-0.014280198747921871,0.02260400865782931,0.08452070385405668,0.10200022383383524
VEGFC,0.055306651024509025,0.07259577767801069,-0.0274515589987233,,-0.0697321939630347,
WNT6,,0.045837835413537927,-0.02134665846730018,,-0.02287121109501505,
NRG4,,,-0.004163778466999756,,-0.03439479352504182,
PMCH,,,-0.012229058658659099,,-0.007574937006494938,
COL9A1,0.015604854068880573,0.00717917090053676,0.0036888456165786814,,0.04385490869335141,-0.022099983568889654
GDF11,-0.004694715658865159,-0.09078605770786237,0.0038149700925746706,-0.09113543119437525,0.0021613223130023808,-0.06140556661759439
IL24,,,,,-0.024771518505930634,
SORBS1,-0.028449777255345476,0.043926387556807577,-0.010723054701854168,-0.03299469022361944,0.0301496603359259,0.06056502591622839
DLL1,-0.03174479494242574,0.01021436535174987,-0.034455279996619625,-0.1220254235725437,-0.027766108121813373,0.13099745282772507
TLN1,0.05572580619267847,0.050979111367829184,-0.020305974571738255,0.006026113154851294,0.0020780383784217487,0.06867877144495131
COL2A1,,,0.0027659728945712446,,-0.030987862843261972,
SHH,-0.029253136381322077,0.0061285994570006415,0.008948140011693589,,-0.028574031922814616,
PON2,0.018465514798956476,0.13743923074498784,0.04231814010125713,-0.04553393849616517,-0.024282371358210642,-0.06420224463955887
ICAM5,,,-0.004960845750836376,0.048288901523530596,0.06639173547094211,0.133868371428826
HPX,-0.024874582723859714,-0.014901073300383741,0.06676885802264083,,-0.05489010516971354,
SFRP2,0.07158975231172243,-0.03645328083696861,0.008090374488238234,-0.051903088894204336,-0.014775611760998234,-0.04031377704464216
CFC1,,,,,0.03794489635169173,
CD70,,,0.017353281931914172,,-0.0327281056182193,
HP,0.07513507609481518,-0.012955222984594976,0.016311308438026143,,0.0341548108597552,
CXCL2,0.008126597661124715,-0.004482093140230511,-0.041216447614841556,-0.0332779461159184,-0.017615388084868917,0.004451442105501102
NPPB,,,-0.01827759209552521,,,
CCK,-0.025593806102016718,,0.04049097536864732,0.08313872109126064,0.11908857148258598,0.16337265252177946
SEMA6A,0.023552195104293662,-0.02629348794591435,-0.018403424459340362,0.011432329829952917,-0.08268707415384308,-0.10444927110081346
IRAK4,-0.07409109229568193,-0.031386529931369325,0.005367468506448402,-0.05661376995941965,-0.024253456656188423,-0.024929961776999923
GSTP1,-0.08411003811950972,-0.013235054807448304,-0.009640958869756378,-0.01843641200781719,-0.023357719931064887,-0.0750422593801472
VCAM1,-0.008920970052218133,0.1153405390869452,0.04580405528902234,-0.04443762565785062,-0.08104148115730961,-0.04450609830082555
NXPH3,0.02582516197813558,0.018243933589657747,0.032302255427817964,0.032447303052622146,0.05223651612941399,0.03053038431820117
MTMR4,-0.07196665655796815,-0.039036701572901115,-0.04670071395484946,-0.0003099312593626697,-0.005542526694238609,-0.018745875263794072
LAMC2,,,-0.011870208890071956,,-0.017420858651163176,
IL10,-0.029041840977212643,-0.047395864170652904,0.02591532100235945,,-0.036927348084744245,
SEMA4D,0.001481664340631213,-0.012129045094329702,-0.021528509233767642,0.06203152238695015,-0.0696284539432953,-0.1026077463465474
TRH,0.0319212416662963,0.040426851571696794,0.03146822723476961,-0.031641933074709805,-0.022567052119563384,
SEMA6D,0.03973252470377358,-0.008272396281323592,-0.009148173009248818,-0.0847894116811785,-0.05963815667501138,0.036811463622047506
CEL,,0.0554580641670633,-0.017170679534456623,,-0.03538517032077928,
PDCD1LG2,0.050029269115833136,0.016857106521500714,-0.01366876908692119,,-0.005188698309915912,
SPINT1,0.02161919397819798,0.08140886125348164,0.05516951817633081,,-0.012673093316533334,
CTHRC1,0.07275338084193478,-0.044998765940199865,-0.034839937318181885,,0.07088732571484896,0.11932413525636013
PODXL,0.007915232990634858,0.05570701214588834,-0.034545632018198096,0.003140165900634371,0.06742511743807968,-0.04233682048380606
JAM3,0.040548339699346916,0.008237557893515476,-0.04745815793741556,0.03846767238299658,-0.04803855387392396,-0.12776380857728747
TGFB2,0.034089565335014914,0.02303204432057555,-0.0558949285702222,0.030545475691300776,-0.01940386524370195,0.07162706725763593
COL18A1,-0.04039100697595763,0.1357779150827911,-0.008992657753335895,0.030947766197606152,0.0685843372549742,0.03142439090339397
NODAL,-0.08498094458664773,0.08598037804909993,-0.013574474147918212,,-0.046613195965234465,
INHBB,0.09552750216539377,0.05812374555091497,0.03360881971545741,-0.026338786694103274,-0.04670670709166943,0.1351755861143282
LCN1,0.01435899565564669,,,,0.01912280951834204,
ARF4,-0.054072015861426494,0.1460764600495724,-0.03607128443589628,-0.025006526987042484,-0.04883686225373069,0.0019874179729558413
CXCL14,0.0895910738838008,0.0007858716983959752,-0.010812011819416203,-0.055502896534991485,-0.03699740521032971,0.1637578650386799
LIF,-0.00046117823614425554,-0.0055663851278679845,0.028706636800944374,-0.06382410760001661,-0.06558214081637949,
IL17B,-0.019144951161683757,-0.04807310355321556,-0.01688790720762306,,-0.02626639367039688,
MMP1,-0.005210988894141557,0.0521753660655906,-0.012229057690192481,,-0.02510072915761161,
MATN1,,,-0.017404801379632087,,-0.02393682830709653,
ADAM28,0.07462587033130846,0.08249803623566082,-0.004450705887484818,-0.055486563965844005,0.018409481282858315,-0.06487751494946789
TCN2,0.020254928368446633,0.07376151201307003,0.015775325534724428,-0.046046180461136024,0.06244406352742644,-0.06544981861014143
THPO,,-0.04622530476291229,-0.01509785904433095,,-0.020872830768964953,
CUBN,0.061658164617570475,0.09295382741185432,0.02524616079546637,-0.03947949358360828,-0.03049471453812247,
TIMP3,0.03683657403217924,0.10649815233042159,0.019888699229248023,-0.05468647081032073,0.05337318138903536,0.030080341954334636
PIGF,-0.022995997453451107,0.038793260827645865,0.01350035009124324,-0.07386888436445466,-0.06094174844465155,-0.0373548370149208
CRH,,,0.027869419493836825,-0.03687560264292626,0.06952620309348863,0.08858540447563802
BDNF,-0.030200451725278698,0.1087315073856667,0.0024863620592452088,0.08734439916119446,0.019092442310334495,0.06902060563655288
CCL5,0.059335182169866676,0.029714066736225477,0.030202441753491314,-0.020961535432373044,0.16910323255788468,
