,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.02941127905212543,,,,,,,,,,,,0.04558690152947279,,-0.01427771726380925,
BMP1,0.01007414635169443,0.0843238391958343,0.0060327271314628015,0.021972540062982725,-0.05412445096866364,0.021809014646627357,-0.03603648000528156,0.18159704928315495,0.013107612331324096,0.022800998646455,-0.050251361161620205,0.07056610102455982,0.0204141230339533,0.00732044528431167,0.013483933769596692,-0.06873132869179004,0.1513500403946696,0.00024267743375338389,0.0345755668435318,0.02673074522788707,-0.003152916075227595,0.05549845951072819,0.03422122939938258
NDP,-0.044211190518359963,-0.054724855805840286,-0.04301938925853432,-0.07677247453772396,-0.018220920220203902,0.0334420886480869,-0.03841658689910379,0.026121590714751085,-0.01675153419029984,0.009656720622928156,-0.04546442326862027,-0.0128140080051407,0.056323809309662076,0.02879476393550829,0.0031884207382976036,0.05978857246881408,0.02030105690119665,0.06736361547349581,0.04710304263065388,0.07207511284891674,0.06261333798962233,0.07911413746783534,0.11043596709700541
TNFSF18,0.023569945530529414,0.008312786070757146,-0.006714125746226548,,,,-0.011155036741789456,0.05385974128741883,0.068974691604552,,,,,-0.023736405853227876,,0.10195214634801106,,,,-0.02971744430681966,,0.017946527340706987,-0.049700815533094085
IL36G,,,,,,,,,,,,,-0.016066318606732275,,,,,,,,,,
RTN4,0.025544118676995,0.011369223883127987,-0.02602082542932653,-0.015701671709933317,-0.04639113168944032,-0.003309744824901694,-0.042055083856646004,-0.16996281751203032,-0.003909208455403934,-0.052183733903021674,0.12549997575500232,0.0675484210739269,0.006634000660182256,0.014938686454234629,-0.03341533350429801,-0.00675475115316167,-0.04937781783428465,-0.0263979633656205,-0.01904614368212959,-0.05785129433817408,0.06971805926747845,-0.052103066442043516,0.12829101396495576
HEBP1,-0.015895799056299214,0.04168025346518387,0.005532017222009147,0.014795458201913617,-0.006877998292553657,0.023094469063752426,0.04160481380351463,0.07850083227732076,0.009722519033774335,-0.008406633078878982,-0.032133413155754575,0.058444994541463735,0.026417795086099254,0.0387475617815279,-0.09437284669589972,0.06304676296513659,-0.001384212929182698,0.018401044806891035,0.047791077643077336,-0.011002628515854726,0.043305506392403624,0.035275493804182614,0.0570906213459161
WNT7B,0.027466513120542147,0.023984606189688024,0.020480840103420158,-0.022132529820237366,0.045768522978429343,-0.05382323917616051,0.010851157586724605,-0.08272476766724766,-0.023219351123718597,0.007789212917585563,,-0.014041940056433524,-0.009663615979522498,-0.026131466042781902,0.01147786669987579,,0.04816391857673383,0.009500704495396264,-0.01781697088456685,0.08007469540570021,0.03050565017799327,-0.01560417939421661,0.09985410158384865
PTMA,-0.006545584170993203,-0.016170363122149117,0.04625568775028352,-0.07600918881920232,-0.02221110975846796,-0.0636200171616401,0.11016140503633241,-0.07246384424643759,0.009344052723962715,-0.014252873617017508,-0.12542067290134082,0.11830093540664866,0.05537597283579054,0.0119297993959912,-0.10509954110261209,-0.08710255790895363,-0.12092785791305322,-0.07037326907226168,-0.04598971918713519,-0.006315256825906095,0.002833756789797819,-0.041140059423272514,-0.08623293917578784
FASLG,,,,,,,,,,,,,,,,,,,,,,0.021471390753796643,
CEACAM1,,-0.0020469097958918958,-0.02111422608754791,,0.04748991644527203,0.04921059941330935,,0.02134493714576844,0.04831787733917468,,,,,,0.19502324946051255,-0.001336023048886011,0.04722249927931548,-0.03909489991657586,-0.03595400322128248,0.004012948489980993,-0.022505575057734654,0.01226467077960948,
PDAP1,0.0025089077690531965,0.050187126248035466,-0.020253435891237737,-0.02326573121460534,-0.02569396664961647,-0.012814306038335088,0.031042163646260612,0.13423129398256348,0.04111775453803055,-0.027890970943391862,0.025490235091313405,-0.0008917214397628512,-0.006115944173090157,0.03179895646296653,-0.0350680664576088,0.019675920043171206,-0.019445621234155833,0.014963569400568684,0.00961082848820366,-0.012899188877410081,0.030660878253573755,0.060342551574957694,0.0033092258926699183
