,UKF260,UKF296,UKF334,ZH916bulk
DCN,-0.01807221023839463,-0.008067882797973477,0.02448859429888853,-0.039270057767006115
RARRES2,0.017253601781945342,-0.008490923856814617,0.0660864108276958,0.13949504835070223
SEMA4A,-0.03288518009107873,-0.04361508958060739,-0.03667788932164823,-0.020895866640327453
GDF11,0.008524100957297066,0.006737168198457168,0.06582098271763086,0.03718556300558077
GPC3,0.006232014481820505,0.03351889976929169,,0.014299082644928362
OSTN,-0.013932178468107325,-0.019331588981887485,,0.03987795128339807
GRN,0.03687394387635657,0.022576321402443505,0.03579926019075906,-0.04513786790868534
CALM1,-0.04091548610835861,-0.03168115579197412,-0.09103648124583068,-0.03250717850208057
ANGPTL4,-0.026572371104264754,0.010910064490110326,0.05704291224806712,0.08984588082227594
BMP8B,-0.05318553753136494,-0.010426472517846043,0.03541928952824756,0.04271165323101819
TNFSF4,0.03895528642290218,-0.014111980617122736,0.014933860346123025,-0.04049698076125902
RBP4,0.056433275366041404,0.010933791034781967,-0.03386196689925502,-0.03639356068690753
DKK3,-0.011105484027318273,0.042953877623147285,-0.09079902110694282,-0.025242704506062773
COL11A1,0.019073615099638317,-0.01684312625668152,0.07029447799855099,0.004739017997280062
COL5A1,0.019997810827090505,-0.022517163926433614,0.03174871706501933,0.1051324104106938
KISS1,,,0.009044191872617272,
MEGF10,0.043027929997782086,0.017453576741876885,0.0102127007830464,-0.0008263935406973442
CEACAM1,-0.014562082982988457,,,
EFEMP2,-0.005202810928584656,0.028035321144162892,0.022176630483061132,0.03711242842582248
IGF1,0.024778943898776128,0.009385574478152208,0.01777779243320561,-0.07346221000568215
COL6A3,0.028479208550358393,0.010315241792973771,0.0554054389107534,0.032079432117445926
RLN2,-0.019028757831435893,-0.028266467341948258,-0.01547766470444741,-0.020323497574371487
WIF1,-0.0026916197346730573,-0.020211894078207754,-0.04363305917814264,-0.03440781179083796
IL13,,,0.06997583925638445,
PLAU,0.02434940576682321,-0.029585654120536656,0.03282915314852511,0.029952791408263364
CXCL12,0.0026862557332909326,-0.042440716641872316,-0.028485471305407625,-0.016665455047197006
MMP9,-0.01752849132471818,,0.028579872789402286,0.024129254410522688
TNFSF14,0.05651120815673012,-0.011777379120193448,,0.055401456202324256
HBEGF,-0.0014591560839664563,-0.028753143677305068,-0.01730543874183112,0.026610232632717827
NUCB2,0.023857050220786453,0.0703036614866395,0.03760072819835371,0.035335057446882215
VCAN,-0.030360597162344356,-0.05455619304449921,0.06382369515686344,0.06108349310392028
VEGFC,0.016767767870346714,0.026606405970816625,0.05272112959946923,0.051008967630990616
LMAN1,-0.08291434028530346,-0.02075993667060973,0.04267699596814894,0.07893812999916969
IRAK4,-0.009135138477311946,-0.014058434115992578,0.04299225460367338,0.05132802566354153
MICB,0.013657044129642072,0.03606794988838332,0.09227445673077628,0.03054701061544341
COL1A2,0.010528997177868782,-0.027435232082090196,0.06880696154129519,-0.020079062087370998
ICOSLG,0.024549163649301292,-0.005698684660986653,0.043255724305015626,0.04224694274011392
GNAS,-0.02119491490630611,0.0005486195592593532,0.022530164276580895,-0.028578587331482448
C4B,,,0.028313028688129575,
COL2A1,-0.011855988133503451,,-0.014781673755768564,-0.022395264105000628
GSTM2,0.0301744803926196,-0.03174621465464727,-0.02826843602262221,0.015327551122782933
NLGN1,0.0854624184070524,0.05070801849040556,0.04950278547879878,-0.018285983103855808
SCGB3A2,,,0.05692249188562819,0.006964126973314568
LEFTY2,-0.0018937077470657193,0.01193897567094693,-0.03248469097766776,0.07092060352902012
ACE,-0.030578385895604195,-0.015810709335624465,0.005253443394910208,-0.03928115875928079
RPH3A,-0.010373558643627243,-0.0012454317756685086,0.04353086037338851,-0.031877309640040465
NCAM1,0.037521331960376166,0.04913557517587638,0.008354369488335183,-0.01572144531261616
EFNB2,-0.004929606620789006,-0.02800339537943579,-0.01472843321857975,-0.013994450116942348
ICAM5,-0.03144201311917097,0.009121843170847486,-0.022431939871647166,0.014481558264573594
CCL5,-0.037963096837264024,-0.0331105936768463,-0.018506687114667162,0.01099606389993464
PSPN,0.08293708300517244,0.00012139913723760325,-0.01102660049206014,-0.046949745083012015
PENK,0.049738378224506836,0.005607998203470498,-0.006171158849771344,-0.02612204145473929
EGF,0.06094844528778069,-0.003729642722240263,-0.03788883534624437,-0.0003009018403756519
UTS2B,0.04121799871537977,-0.026206239316571733,,
F10,0.12388155480834694,-0.013489859616224323,,-0.02374896882782596
