,MGH258,UKF334,ZH1019T1
BMP1,0.06433147903188606,0.006501788571310131,0.036380863544334445
NDP,0.048296694460271475,-0.019683189898561545,-0.07688225617163776
TNFSF18,-0.028677282234047148,,0.0939965300566171
IL36G,,-0.015082912256850173,
RTN4,-0.005848630019919473,-0.004344707291563765,-0.013522304637640507
HEBP1,-0.018134950008630003,0.00033080289433581075,0.07892906496010257
WNT7B,-0.025263787450738956,-0.016577858746195134,
PTMA,-0.004993115295576359,0.01774705725635769,0.04972628403714612
FASLG,0.05138000558198493,,
CEACAM1,0.07170561897742385,,0.06729971262272168
PDAP1,0.07869717500277167,0.04075277484868114,-0.01621671426745802
QDPR,-0.11065820045527307,-0.0010154090592552098,0.06334538874356078
POMC,0.027280564796155024,0.0614644855321917,-0.007091750819402841
CCL17,,-0.01377866855036642,
VEGFD,,0.030418016679987524,-0.029182486141538223
WNT5A,0.020257940488404354,0.03755422567206896,-0.06399914463943682
CXCL8,,0.014505938740518334,0.09928164945996985
GRN,-0.11582660076146391,-0.0015325568342697152,0.012282620405426872
MIA,-0.033068128065219735,-0.020224118647612078,-0.055236283313249604
COL4A4,-0.029258552515374736,-0.019618145384751626,0.06670492667189493
TAC1,0.049521382900336315,0.03762351848320028,
RARRES2,0.13531988873812592,0.015369357848056731,0.04150264873504461
FGF7,-0.031055998181235087,-0.026183851079970268,0.0937543848438632
HBEGF,0.0719010501582993,0.018780732972303035,-0.05129988855664098
PCSK1N,0.039640944305946765,-0.0026043143109150445,-0.07428758083438924
SFRP1,0.003166656293046775,0.04652142141877053,-0.028861645625372793
MICA,0.01619731534541565,-0.03240165102300657,-0.013313867117282085
TG,-0.02925854592184728,0.11329717349758622,0.043158965237197984
ADA,-0.001800012219076099,0.04966870986265737,0.031001919845887727
LAMC3,0.11438899211389396,-0.03681357470729734,0.05417664961099798
NGF,,,0.09212159403689846
TNFSF15,,,0.019348131782472508
HMGB1,-0.008094838430714863,-0.003382541322778122,-0.0023747485622913644
ITGB3BP,0.018403070004158473,0.08867433360513398,0.014503619072914833
AANAT,,-0.018482765916434277,
RELN,-0.024256110276237502,-0.020462017182447383,-0.03188846781778588
IL15,0.0017782406947998376,0.06397143683510022,-0.055985723781058074
BSG,0.0743614206059554,0.040623832659353036,-0.0446135812775718
ADAMTS3,0.09828808649003244,-0.004076837141490596,
CD34,-0.005532229723451426,-0.039697919698663243,-0.06574152446507084
PLAT,0.05898063762318591,-0.011845235484548772,0.051479979057832935
LTA,,-0.017141913243953984,
CKLF,-0.022774950719936144,-0.021327650912781666,0.05555416902655727
CD24,-0.06760757915448255,-0.04294233966760228,-0.08163228262061795
