,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05035072234712199,,,,,,,,-0.006780663466568766,,,0.012951236113156971,,
BMP1,0.05202797620759696,-0.07151417725003302,-0.019352104423584458,0.03508548290470092,0.015473943240007506,-0.0331649553350731,-0.0890864639390018,-0.023317549127236558,0.044255814898001004,-0.03433730747989835,-0.007531608388390945,-0.08026998952858089,-0.16557184528695096,-0.037323935912453005,0.0011140812049816131,-0.025359346339322603,-0.020359602267702656,-0.06394460108810451,-0.05390851664644947,-0.06018935172310945,0.003465587203803428,0.010613736668954068
NDP,-0.017125482942181757,-0.046290239946059956,0.05368351757117762,0.02635341721098889,0.024506465083014517,-0.043504889722196814,0.17104531066063727,0.058745538437509986,0.008257548139327678,0.06228548182539764,0.05369562488912225,-0.12406145332261628,-0.024764033861071597,0.0017173446387871868,-0.10637069302002203,0.05284840127318884,-0.015247142015424608,0.057895555273330915,0.08802886221344977,0.223432166601962,0.09580032371196562,-0.16218013186359354
TNFSF18,-0.03214566897445137,-0.03348270634946424,0.0041623687148150505,0.04365039262453344,,,,0.03084492105469449,0.06202556184274963,-0.0687723441729011,,,,4.835682687844434e-05,,,-0.027343674394696794,,-0.03609442742431827,0.026719483410332256,-0.04874716588633423,
IL36G,,,,,,,,,,,,,-0.03607389833992461,,,,,,,,,
RTN4,-0.03524708050216172,0.28310868417109925,0.03185557935381995,0.0014810718109874626,0.006163297885804398,0.042958807476599234,0.25125719635797933,0.15825478941808546,-0.02012433001834337,0.08371360094531918,0.04367491129940567,0.26554971862688836,0.25158159481278486,0.09581805538854019,-0.024361365277059507,0.02798287185817805,0.016227981489044908,0.00167867317616957,0.06945089490308039,0.04720493343368703,0.16651531505415315,0.066475169954979
HEBP1,0.028576627441888974,-0.06970400357704941,0.015118363608330534,0.011162874270307821,0.05771407983449002,-0.01321608748244647,-0.04659979025472731,-0.11209118551448295,0.04300061008087179,-0.0194577030585592,-0.027177052862169947,-0.0989337079059831,-0.005161847075248988,0.06180934952886655,0.06210558024254602,0.02509043389587484,-0.08397870901834177,0.005742640705087277,-0.04332757848054743,0.11486319413991096,-0.04874915312596907,-0.16658130067329607
WNT7B,-0.02254958396445408,0.2891322720824924,0.009222753136554558,-0.015252010370096537,0.018396012238760428,0.15123114069721816,0.037415055081758554,0.09490339449211666,0.09890793152662715,-0.02205654310031264,0.025136533264524273,,0.0766390901337536,-0.019220270434622398,-0.1145379387892781,-0.03299707725695637,-0.021214490088456283,0.021244589609976678,0.0994570929759374,0.05718873864023698,0.0975593711642486,0.21198471137327393
PTMA,0.01865370323371712,0.055336463885741566,0.03453811289612856,-0.028192970126506827,-0.007554897166050472,-0.025236192195095774,-0.19107470058921747,-0.15613670184147396,-0.16540503374367022,0.04950927358585071,-0.01141456266264213,-0.3028873387300385,-0.2819009672507076,0.06641511454588468,-0.026873983377218105,-0.030571264304077708,0.009309784261631579,-0.125732268180251,-0.009926936759757768,-0.1633927594772492,-0.10182483832197121,-0.21181710767301498
FASLG,-0.0452132456271921,,,,,,,,,,,,,,,,,,,-0.031867109113595825,,
CEACAM1,0.02955584630921285,,-0.03249876890973585,-0.025000610526447597,,0.026035610406246943,0.054781683365621975,,0.024566843104126136,-0.027375754218940486,,,,,0.03200616347778433,0.07496736863881147,0.07666805099530621,-0.025086922645444747,,-0.043294353468363904,,
