,UKF269,UKF296,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,0.03814550969430047,,,0.06939188549922219,
BMP1,0.23396814382647718,0.07412053005781577,-0.04546144260377576,0.03795848902663107,0.031585508034040775
NDP,0.10405489175026356,-0.02208966162984973,0.014196297031041335,0.22839795650257735,0.032605006057310544
TNFSF18,0.08405445404502243,,0.027586713907907696,-0.0004462140840562585,0.01710988199514377
RTN4,-0.31442941711189165,0.04991554426066625,0.06338958287064567,-0.06301099308923075,-0.09023819673531733
HEBP1,0.11749802650165335,0.04474824997012348,0.027370879643420467,0.16395580668266466,0.0029553175819112773
WNT7B,-0.10846020722211515,-0.01689062789888525,,-0.016839725252340506,0.0005133861244107772
PTMA,-0.10246442165234901,0.027926920569561822,0.008710874040604633,-0.1520383791826792,-0.046118826286179984
FASLG,,,,-0.026822658069729985,
CEACAM1,0.11360316429623193,,-0.036443146233903795,0.011129518300992451,
PDAP1,0.2036794045450254,-0.04035397394358305,-0.0781560488170513,0.012070892837962298,-0.020859935790743314
QDPR,-0.19882265330332488,-0.0037607919073895935,-0.030657134814237336,0.07764786019055082,-0.056654380533551804
POMC,-0.008678314767731,0.01854572035222277,-0.07004395720585817,0.05440780943366373,0.012502756483146957
CCL17,,0.033170785103145924,,-0.020505167173082723,
VEGFD,0.10336734413287656,0.05916550520977507,0.02577908218407828,,
TNFSF13,,,,0.06003013916186831,-0.007094606088076472
WNT5A,0.23700323969646253,0.040327901539893296,0.035519688167622576,0.02190595096690185,0.04189756283133506
CXCL8,0.08101478179781442,-0.014280342125954526,0.011312518105707966,0.008051733619535397,-0.008366714109043133
GRN,0.23635645971536873,-0.014887462718346683,-0.03581757040395427,-0.1384523984674458,0.01787561717766882
MIA,0.01358344747383081,-0.017439995103121633,0.08517393018192514,0.20454688362043474,0.15224325475621991
COL4A4,0.0019997867039570866,0.031293624190226785,-0.038793660483373744,0.06301445171834676,-0.02955564023042715
TAC1,-0.18080522821520592,-0.005813633257503966,,0.0007393717105280616,-0.05846565025232884
RARRES2,0.2658345516618176,0.004991117679492273,-0.04135343426954962,0.06170757344336963,-0.04562037062136843
FGF7,0.014017866360681098,0.07564244347932181,0.019665122997643756,0.1424916092031902,0.07697068915431773
HBEGF,0.06850201932357251,0.06441962297972781,0.03415435151436193,-0.14742042399078373,0.11446846973171111
CSF3,0.019498763422957633,,,0.025835455374930837,0.034213640816007446
PI3,0.044474664356275624,,,-0.0610473627076649,-0.03742679710371403
PCSK1N,-0.12072439083680579,-0.037697515636313315,-0.016725600234593463,0.15705773728242056,-0.05016664859599322
NTS,0.009113546590149367,0.021549382291918395,,0.18276126480667912,
SFRP1,0.08811026962816827,-0.020905862634130773,0.02231136751652469,0.013193625008407673,0.0018152516913947246
CXCL13,,,,,-0.02521752529779054
MICA,0.09832291583593264,0.11928229855540283,-0.04515249766734725,0.04355285211445603,0.0323047212946747
TG,0.039138776187886616,-0.015129481849713345,0.020632226139988913,0.030510525190376895,0.008484038421969459
ADA,0.18189670901424346,0.05692951132709274,-0.04644668614769089,0.0042527564549050085,-0.025806290398482645
LAMC3,0.19548605504758718,0.03941190875153594,-0.03830388859981401,-0.01399156379327624,0.09304295119081976
CCL7,,,,-0.018904103532695938,-0.05264406360581353
NGF,,,0.08624848854896108,-0.029635439548940885,0.04331960099094129
TNFSF15,,,-0.05574889540834195,-0.037653505270588965,-0.01854782418225947
HMGB1,0.30069501611855076,-0.01638003132273857,-0.05221531904368567,0.0741388321717976,-0.048333947846948125
ITGB3BP,0.21620754874873763,0.0319715655962698,0.030910361946061338,0.0619888139645501,-0.010799066498928244
AANAT,-0.0012561175901023018,-0.017439996073178688,,0.054111641044829295,-0.01898299785169219
RELN,-0.09414885034426278,0.053904287772663526,-0.016176367086845677,,-0.06449048674128768
IL15,0.10808627976334516,-0.02155413256687264,-0.020011992701452708,0.09213686248702478,0.0616624787556192
UTS2,0.0805912495561758,,,,
BSG,-0.024352534316806014,-0.026010809369774575,-0.016258146021591775,0.035433079622031835,0.14789324042720678
ADAMTS3,0.24735821049708848,-0.010422912296021008,,0.09712931630769146,0.0591574013155998
CD34,0.16919392291023283,0.0818470478046159,-0.09381752199057189,0.009337185073655406,0.011474918820846397
CCL23,0.051373525469992985,,,,
PLAT,0.22895620425016616,0.008655939159036861,-0.05697991810378934,-0.014228850494371427,0.07426332549958418
NTF3,,-0.0077718217062724875,,,
LTA,,,,-0.029046559502226944,
CKLF,0.28165311503763907,0.016807124899665078,-0.0325381970571747,0.15278961305389993,0.06384160998313336
CD24,0.13682970473597642,0.07579382349248773,0.04006186501843141,0.042184819539689444,-0.039979002835074016
HSP90AA1,-0.2791070605134004,-0.021218957863161164,-0.07045713447350842,-0.1228456335319857,-0.10137895442927104
BMP4,0.006886770315317982,0.0015524998626641703,-0.04963162050126332,0.03399338501433646,0.07484812672416134
SCGB3A1,,0.0043610709842848835,0.01871421788814364,-0.005649398967545792,-0.0381464442367242
IGFBP4,0.16786900331643895,-0.03762886171934765,-0.09208203899692184,-0.017946746609146774,0.03932479225608032
RSPO4,,-0.014710805111123763,0.09586324518610655,0.08723445259783044,0.1440036392843859
LEFTY2,0.22695850698256115,-0.01613057772144679,,0.07472345105202081,-0.05499546517611065
PF4,,,,0.0007474313787794858,-0.018751056443128595
ANGPTL2,0.1746123867978125,0.042123750545124884,-0.0952241910593046,-0.053658754695249444,0.033485490647621644
