,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.0401925757953033,,,,,,,,0.013403925103469374,
BMP1,0.018532955700635866,0.08557820183958922,0.05315861261248107,0.03779459358776333,-0.02319167437837689,0.007161619805723345,0.15924911753252133,0.07033089434767757,0.005675369348558476,0.006890530155428203,-0.001141478118855039,-0.027702935785774235,0.005973823056811922,-0.033123659379450124,-0.00017966113789480355,0.061303237747331506,0.011452976823755495
NDP,0.027867547332939845,0.03116534961963452,0.03987545795201358,0.032028466289365114,0.006700634809524417,0.044468807999580855,-0.011717573586382125,0.04941858184537623,0.02463123057246261,-0.0015277522029626392,-0.03138977810468597,0.021925086638568785,0.07669641943378157,0.09625414722713169,-0.016832001749477365,0.0478976452184977,0.0005565914242604245
TNFSF18,0.020052005764499177,0.0010676495997431039,-0.03408029627443395,,,,-0.012941577982761314,-0.02408033132138305,-0.014339159126045905,,,,,,,-0.019518625904497017,-0.03543513547186267
IL36G,,,,,,,,,,,,0.13538417160274852,,,,,
RTN4,-0.026454191078901984,0.0111425897149491,-0.006694330087309156,0.02480765324383037,-0.03507920293462074,0.05623656488276402,-0.09585764520922545,-0.1483446452947634,-0.024600775509269774,-0.05503453268649266,-0.007764519429951057,-0.018496948684802395,0.03447594375491561,-0.008545734451122491,0.013256514544714873,0.016149618511811476,-0.032338033483852224
HEBP1,0.05167837985455738,0.04826395674043613,-0.033628595362170235,0.08012310279070671,0.029066199146281394,0.008292182288454278,0.030273351242519928,0.033854516195290243,-0.0632914560823893,-0.005264965291817351,0.09114805871478365,0.02427832904995712,-0.07522878640344341,0.07938386639414484,0.042215918803464585,0.0416718885288998,-0.013656205177508056
WNT7B,-0.04834099651332334,-0.0019452350313670173,-0.021169623598872905,-0.03255377200932156,-0.024973646077003732,0.009525664738714088,0.03488787007644527,-0.0901750078326945,-0.02036935499584895,-0.014006902501529804,0.001843858717423297,0.08367358847980093,-0.043552155515405575,-0.030100031075986897,0.007806329099247712,0.08386762632831668,0.05587035953240085
PTMA,-0.11410670012773264,-0.00803722065522697,-0.051686617765226185,-0.03168687917141262,-0.01057355239648879,-0.11227277449341168,0.08825403191276066,-0.06569082011878566,-0.016242151442330828,-0.020850101172015346,0.07264229775954567,0.040184924793934644,-0.02197046626839342,-0.05622668151165584,-0.0036617973204030145,0.011292941456938566,0.010157992271864093
FASLG,,,,,,,,,,,,,,,,-0.01036014990413906,
CEACAM1,,0.061457005758663266,-0.016246412845013124,,-0.03354670356766468,0.055746246588778345,,0.012427514263376637,-0.022552081229498408,,,,-0.04769191886388615,0.01246230113117584,-0.015867633146858635,-0.012793560906089907,
PDAP1,-0.03866902433174394,-0.04917804623614361,0.06987607517065068,0.012736213636683848,-0.012383738155646445,-0.09658826752391456,0.06890325083577165,0.14679279205074608,-0.0359873102969025,-0.046808400553051424,-0.007285999274679735,-0.02862464745559058,-0.0054863596971204,-0.03988063501281865,0.028648426768808216,0.026003140305240157,0.014395499456235465
QDPR,-0.057810629409848255,0.017200093731872777,-0.05178944215676399,-0.036544535097715665,-0.002811097963206843,0.0791494268620105,-0.06946311989000233,-0.15139785671063205,-0.009340556281442702,-0.05774505197543585,0.03988956967252027,0.08076307857015783,-0.0013742107171046418,0.06120025142311735,0.02219031039853292,0.04793104444923692,-0.02543549322887183
POMC,-0.04818155281799014,0.05253189718420629,-0.028867283630681754,,0.0064291798563204765,-0.008381250141074832,0.04161497880504624,-0.006495241742111836,-0.016638026335870106,0.01723427275118836,0.020039946168735636,-0.03308664789426087,-0.06712721306047269,0.017785112709153356,-0.02595736336661152,0.05401242860539117,-0.04233823866533032
CCL18,-0.0342212462655957,0.015413675117504346,,,,,,,,,0.09170499846447124,,0.16546272247128016,0.006569793591328196,-0.020867566840439722,,
CCL17,,,,,0.017470099439959256,,,,0.0904098810867147,0.0489642023500385,,0.056729699344726936,,-0.020953385010399735,,0.02290562483544503,
VEGFD,-0.0068875443525157655,0.017737375616751476,-0.008854548513314154,,0.006879619026731899,-0.006927654140962732,,0.026675462936950473,-0.0041468945582726555,-0.012716619527282947,-0.002173830050547882,-0.015119505845958628,0.052715703721852025,0.06468072444741604,,,
TNFSF13,,0.03940979209042208,,,-0.018821508169216416,,-0.01255063087781747,,,,,,,0.16204935550132676,0.0030229368227435915,0.055066362131965835,0.029555651342536286
WNT5A,0.04662830292937659,0.02146513246849199,-0.038160191746707775,0.017136005992897163,-0.0033138130695322507,0.022313541804823214,0.0773591287582443,0.08344784936195732,0.014461488657935742,1.2188333647896789e-05,-0.010146638030752355,-0.009450049238425507,-0.03843493537303563,-0.028665351599391695,0.008864101850115812,0.008963566898989722,0.013210497900006866
CXCL8,-0.056864665172917474,-0.007421659066276549,-0.02178839302187818,-0.050163907810530976,0.02049792968665383,0.007735240295155216,-0.01785245840037445,-0.00910495837916011,0.00885894325448191,0.011744166972193229,-0.020507845589483962,0.0007927039064532509,-0.10979012430264418,-0.08930100933014218,-0.07964546873807113,0.03339716765934891,-0.041518925255552334
GRN,-0.0007842572451482472,0.0690865386332789,0.007098535771851768,-0.006485563110922842,0.019927600499427548,-0.004974986831565505,0.03692574052712861,0.152728612430206,-0.007972914123517619,0.014336838003619175,-0.02935614023198969,0.005881827557332057,-0.07251279175001069,0.01588384349355436,-0.030004183296076355,0.043214878085436316,-0.06548678806382262
MIA,0.0916508102641029,0.0004897881752162193,-0.020694467780904828,-0.017190658953402074,0.03558037909836548,-0.032298284446426045,0.07681352131172814,0.06619376197096488,0.007729368027273309,-0.01446247661714838,-0.027872422380730996,-0.020706856146105467,0.013827493908613233,0.046526517242818304,0.027065379171622883,0.06353907253982648,-0.03407149884691354
COL4A4,0.13908989348730064,0.023727306854713394,0.00447072482036324,-0.015829570185032425,-0.04438665060678522,0.000261935769564676,0.018796988662891635,-0.023333015620544705,-0.018671160297209433,-0.02429581055419815,,0.09632857342333617,,0.01792690140330562,-0.03197876515254288,-0.0783898347784394,-0.020246989283542252
TAC1,-0.03588779146727428,-0.05186316150119355,-0.0005842337779413586,0.0598020862286437,-0.01960430680209099,0.07678181902921674,-0.10752358121373258,-0.09883399533959032,-0.026512356886391978,0.02924886057618295,,0.005196525813542306,,,-0.027376187589210097,-0.0008765537461234931,-0.050635891882740605
RARRES2,-0.006261765043939776,-0.033619901141975155,0.06698492795695253,0.014500186360770339,-0.025219803879140006,-0.041040602713069974,-0.009110886173406704,0.13935617773632583,-0.004424229207181191,0.026128717866879852,-0.0015975896161451197,0.0011157600310059816,0.025279155920549447,-0.027694364210964644,0.00143083856442725,0.04866910739863715,0.042490257989409655
FGF7,0.07538896126749596,,-0.02626418955579833,0.012690587370743026,0.01354592363172009,0.03573727584495634,0.0540443559085686,0.08802586824948123,-0.0016810404098482974,0.013258716360807232,0.06619518816125147,-0.02053450359290541,0.008152365597261641,-0.020542642463620975,-0.00029666886595969516,0.0090373335115048,-0.0407151836886217
EFNA2,,,,,,,,,,,,,,0.01630006468037776,,,
HBEGF,0.001471922988135293,0.07786846746098067,-0.01835919141390613,0.0269241213921061,-0.04506819345144238,-0.027170796259443,0.10540107240037098,0.0051293077261493295,-0.0019889371377171303,0.05626954842194125,-0.009528184941023,0.006196692321768602,0.0024264154447174347,-0.018878347498942936,0.05188877143981293,-0.018416240072370728,-0.04386966997199375
CSF3,-0.03881466325184745,,,-0.023107241087550346,0.03226058786175359,0.026482059070028624,,-0.008331791869912102,,,-0.030876050531944133,,,-0.06384221713339953,-0.022748419613540495,0.03318315667534224,0.06865421477770917
PI3,0.021604863084318315,-0.019626157927484036,,-0.054744285868539015,0.04954638346561706,-0.004593088704660795,,-0.027796628299263198,,,,,-0.06545952621066234,-0.07529933860649995,-0.03828021422201208,-0.0661754053807329,-0.035660277843282295
PCSK1N,-0.0513949499817929,-0.04035771327275172,-0.011254973014085099,-0.023001934023583394,-0.04100866091443668,-0.06508612072826858,-0.03700257946699036,-0.06351643025193798,-0.020758919180110864,-0.07144853094523328,0.0680787533759448,0.011828472549251071,-0.09643709102418914,0.007502422563415006,0.02683865509548001,0.0662643135809782,-0.11443858492869467
NTS,,,,,,0.05235587367095132,-0.01457770055523673,-0.017814308161982862,0.06776220203711,-0.04221487932577475,,,,0.08589733405835702,0.08996844866667034,0.0031371821257666173,
