,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.05258740524805072,,,,,,,,,0.036099924996498015,,,,
BMP1,0.05408217155105305,-0.021509680948626844,0.04808522543350705,0.026627354662179182,0.0525087044601985,-0.07226934744165343,0.013450062126497265,-0.3026119182005611,-0.09199220311106437,0.03954296228378354,-0.10018652578209512,-0.235528715944417,0.03903908069069618,0.20647924379819232,-0.04356691484481428,-0.10948510276737307,0.05495516619527317,-0.08016350516759475,-0.08043818041355073,0.017259048330537496,-0.05053232231105322
NDP,0.00040654881542904456,0.07648066539244283,0.038296663088155505,0.02495779380567247,-0.020834427925251822,0.18833975233703523,0.044496326553984764,-0.0435170128956604,0.09584521943386054,0.015502171075114793,-0.06095974623258571,-0.04015793050815852,0.02446734463036308,0.2049963013893702,0.05749721163594844,0.03896259414788785,0.0011155184345343838,-0.02623832673288932,0.028265695746879125,0.050973557608837074,-0.07181787546713093
TNFSF18,-0.00879662939431218,0.005122484810526752,-0.018363830630078903,,,,-0.003212585716616991,-0.04343536087864657,0.012450046610066618,,,,0.11778891296990278,,,,-0.025660697836911692,,0.22567442460890022,-0.06049725902847389,
IL36G,,,,,,,,,,,,-0.035333909455618234,,,,,,,,,
RTN4,0.2169304079475189,0.08399661131635762,-0.053987624609742935,-0.034762748799686584,0.01312020766345039,0.19248407024350397,0.1786274012203908,0.4159860874850045,0.14349207490946497,-0.011605065388492312,0.4018982204401727,0.35878066273251696,-0.10528545556296004,-0.18945348682326815,0.15698243323573102,0.09903805953087265,1.4506116519992304e-05,0.2682913044234274,-0.01887374775801597,0.33498920019816775,-0.038782364445453445
HEBP1,-0.07102763432932101,-0.0405631646727256,-0.00995045164761975,0.02170799959909922,0.0267364127605511,-0.05499981508709747,-0.06406748665618048,-0.16997910609166939,0.048838570046586954,0.023494881337689174,-0.1976155344671804,-0.05978672857295512,-0.05118698446341779,0.09143180604620542,0.09225609111358728,0.05138957576708858,-0.018865963610696375,0.0011937832560425315,0.02005513521162177,-0.05089006630284862,-0.03048861109630621
WNT7B,0.3774560677203557,0.10557964211298537,-0.002817234498726868,-0.02284797916208218,-0.00012147973248285282,0.043205735586187226,0.05381351494706411,0.24769846990766953,0.012709203577561196,-0.03876991188207855,,0.0939686482823212,,-0.005445055215868108,0.011638836982841948,0.07167140111467325,-0.044029657740353105,0.02415711201321442,0.06785663462738167,0.10524106508827884,0.04409249431502583
PTMA,-0.04976266318698823,0.024316896842710243,0.010291825417886317,0.0974816602445831,-0.051751521332309126,-0.2006227784493876,-0.15961848249866165,0.08126729938040199,0.1310465066451984,-0.041938688042383945,-0.49030801071472185,-0.3803069043259806,-0.025485230287272558,-0.432103256897664,-0.018518915723981497,0.040151578422909,-0.07541531092546393,-0.052353353142259,-0.06584131954391256,-0.1329605067563162,-0.221097408369237
CEACAM1,,-0.04673554669504666,-0.0324340736964831,,-0.002250956538239953,-0.008563442221552134,,-0.10276293727352961,0.005793963917987386,,,,-0.014952523754687055,0.11034086583751908,0.026727865536606173,0.07456466222983966,0.00401361197820425,-0.015400613233044497,,,
PDAP1,-0.09902381633773324,0.020536452381526075,0.02136424991340553,0.1386783784796503,0.023217019574480333,-0.0962054833744209,-0.04839332403281841,-0.22525963596074075,0.05207410351442434,0.03981564626069161,0.020237720230932194,-0.20621585088248087,0.12857501390075476,0.09336928765865296,-0.02049617346554983,0.010065957501802088,0.04959632060292004,0.03226160025191848,-0.07358221283325697,-0.07022078028994848,0.029362903174943365
QDPR,0.15334266354691797,0.09872274737955393,-0.021819299059912933,0.049433019594345096,0.013683824782952525,0.19878095470294727,0.0681172083443128,0.15476667240728476,0.12069076530629141,-0.033050370995642474,-0.3714388764558461,0.08780266975761272,-0.021972293702731044,-0.3442109633473761,0.10423943617503041,0.13463774182054195,-0.013137279124630624,0.028368583262688263,-0.04506315145919372,0.17582889688237524,-0.12426038151213198
POMC,0.11774876089973879,0.07278225246526067,-0.02005269805815901,,0.052179220995298085,0.13255273194611328,0.03384119337633647,0.03516736218346021,-0.002987380420766317,-0.02654625210522318,-0.04248015224616328,0.08526680743357563,0.01927602260550909,-0.022215495766808858,0.0026422552255546345,0.06997761525820383,0.0014285185623492144,0.01905226805226635,,0.10144484636428755,-0.05018612660860358
CCL18,-0.027674952304354728,-0.02539548747024529,,,,,,,,,-0.14870455727445314,,,-0.12267791283847501,-0.05079636748641031,-0.057481341245899736,,-0.10031898858927675,,,
CCL17,,,,,0.02878415933898298,,,,-0.0165599923960127,0.043031279976762274,,0.014310213257068955,,,-0.062149545214830605,0.011338487447431822,-0.03280590212881333,,,,
VEGFD,0.0013989334982087579,-0.015519920458232958,-0.03173095550770935,,0.014880206985512264,0.03598577777712382,,-0.05238390941643362,0.013156562058378986,-0.016755735814412923,0.031181184521122483,0.02854382175288511,-0.11421382452937853,,,0.010284415119457243,0.02494922080771576,,,,
TNFSF13,,0.021272291088842283,,,-0.009720671363452421,,0.015744422393408383,,,,,,,,0.07957446130532594,0.04756003550007932,0.05093111784936983,-0.038686503059812284,,0.03759861056042377,
WNT5A,-0.06607261214172558,0.03412669383400208,0.041023999301668765,0.07398549368137339,0.009564887148434667,-0.14404606015215496,-0.09428328875494175,-0.26527372418148365,-0.010866293245575748,0.026286139788499988,0.0913667854626026,-0.07308744508343566,0.026608842451235157,0.20497445807519263,0.04792045138433291,0.06543312118206321,0.03875811702902327,0.04836023721217008,-0.08918549297710161,-0.09407697318559437,0.03590431197764385
CXCL8,-0.14854707154990937,-0.053888955318261544,0.033363011465003575,-0.08336192494545641,-0.073744612192465,-0.09454990741312537,-0.013256737176597196,-0.1034864549511211,-0.08175648893298193,-0.019808641253293676,-0.12564023335554422,-0.07023081310587964,0.046759602728729116,-0.17526902120537316,-0.2008540543107644,-0.23033770808108658,0.009623073286102556,-0.09805742071548412,-0.025781976558183366,-0.16681188873625907,0.03533841912827318
GRN,-0.08502216653538135,-0.05608890478439579,-0.009048235519654264,0.07280194163634407,0.007362307419215621,-0.07419963915026084,-0.07200931843076934,-0.3049988866110373,0.014571014129513426,-0.0021928754135580996,-0.3233428711003089,-0.007915972467127391,0.07040803726316049,0.15087892630270816,0.013457499998412071,-0.006720858910714569,0.04443512627962066,-0.1177831398461794,0.049466898492485166,0.05759291281122919,-0.09760897923569563
MIA,0.040622929674759486,-0.03674835092483891,-0.038834137688381315,-0.051030534347450064,-0.059987600299024585,-0.05906291289625801,0.011061754957051447,-0.14627214115310094,-0.06626137920749067,-0.010153506672125686,,-0.04005224549229083,0.0837721629996909,0.1524879571711843,0.09578358074310123,0.09831020891478363,0.03256110657945283,-0.11790909890790167,,-0.04020888852141254,
COL4A4,-0.03818190876385799,0.03436358424521477,-0.01601956534260324,0.09223119694135977,0.05740416864348157,-0.09267026012612778,-0.034320397160554114,-0.05182098456301045,-0.025587455080121738,0.0015508967652304057,,-0.06474515037518835,-0.005602470363637806,-0.011422449426090588,0.08683406266128267,0.040364675348887574,-0.01956611173139456,0.04402468066560926,,-0.0041461409064676704,
TAC1,0.3602540910438429,0.11438602827895522,0.028895935672062348,0.019518676665808157,0.10004856508904862,0.29395140642343925,0.15924850778948446,0.37750526825110103,0.22065906652175504,0.06125500948735336,0.3369539599842033,0.35184351779845224,,,,,,0.019574959968264923,0.00884259541395941,0.22006372940691565,0.10196110454012439
RARRES2,0.1132064051209344,0.036024726454958834,0.020595464771322836,0.002628602456372985,0.016581502193354972,-0.19970705887698428,-0.07052123654903,-0.3717544851863884,0.17271304470825372,-0.03544597184623407,-0.10210220203725519,-0.12736813040900455,-0.2780442152563112,0.10132653845239518,-0.11467434265054602,-0.11190279353814855,-0.09370493421256396,-0.08276047762477752,0.035080295193697174,-0.18577027090082426,0.0024014459512925633
FGF7,-0.05894796799740331,,-0.02304874905945395,-0.014197905266636193,0.018595938801232847,0.1783754466575083,0.012480175541420889,-0.09685057763269038,-0.007699156214682653,-0.010187160958031238,0.04012297141378885,-0.03517316764739984,0.040809489756312614,0.12536567168209176,0.11166645944805308,-0.015213976890942088,0.017321620912783678,0.08662689691414602,0.00014654360202168807,0.013323121500200352,-0.014269997319105407
EFNA2,,,,,,,,,,,,,,,,0.015286675578060216,,,,,
HBEGF,-0.057411593313295414,-0.011041484150913303,-0.014167124372423935,-0.06137326353133757,-0.012657467240155571,-0.13226046617499182,-0.09957641340892293,-0.07734472076284221,-0.18002094418583464,0.011446631600037309,-0.19613791187310006,-0.0923398893389184,0.04897840626795298,0.10012598115475661,0.035562121716803945,0.013886722509566735,0.0032439746973629627,-0.05227539894944651,-0.10954044271946078,-0.16579053940856098,0.16422115790847278
CSF3,-0.0600892341410558,,,-0.053044434219574076,-0.014122235634752582,-0.011681092585479322,,-0.017548476692627657,,,,,,,-0.11685927147253906,-0.14476983565779414,,-0.0021002466471696135,0.015773764671874555,-0.09613064045127571,
PI3,-0.07118465840576271,-0.07672659444200124,,-0.020545455601562505,-0.03422257918411754,-0.045546052468948495,,-0.04845530998493736,,,,,,,-0.22428172789272802,-0.2501964216888994,-0.02787396438018536,-0.08625707359467999,,-0.10120272940810963,
PCSK1N,0.30078019818960827,0.09889289185570352,0.00356298546200927,0.08734535426284169,0.035550647288142966,0.08701693200202401,0.07943610407334784,0.2029831065972504,-0.06614790823185807,0.045303999413136474,0.4859402865838881,0.35318494981201387,-0.009230674360187008,0.0959631691093636,0.1666301168779379,0.1141166599759132,-0.027108673516008687,0.22820840793996544,0.07397021623554376,0.3081840647885824,0.18431622953006596
NTS,,,,,,-0.03972996951525484,0.005812230337869744,-0.061531240713508045,-0.009451501137425738,-0.01086705793807121,-0.08778816436571375,,,,0.05381192891210794,0.11988727427680945,,0.15864343230798839,,,
SFRP1,0.18449613294227413,0.033700627952484206,0.04051284357122683,,-0.04347291597083832,0.2118646374070661,-0.027504524200170084,-0.038812500045738295,-0.00013795320345210535,0.004944174527809663,-0.11176561085612177,0.05219659010584209,-0.019438533902294726,0.14088039998968305,0.125450624780158,0.13109301305556387,0.03120925516295952,0.09804544164445629,-0.0012349154481172896,0.04092836236421362,0.08577695162782502
CXCL13,,,-0.006749855287265216,0.051420566227868086,,0.023397628208546416,,,,,,,,,-0.015841417955395638,-0.07761953037272472,,0.009393480220848524,,-0.06820607757932108,
MICA,-0.05971517426049023,-0.04435391552632624,0.04291511005262501,-0.03267982307949818,-0.08795105952032994,-0.011646041661202276,0.01877969001012906,-0.14289467009483767,0.0052907513814504335,-0.041880425857507904,-0.03301360075573614,-0.08963742925395166,0.06376279117556916,0.1227252554324717,0.02114780063677725,0.039774614347681286,0.0006560225721859617,0.028303592693357613,0.017634389067702115,-0.028082083433909555,0.10647657691563796
TG,-0.03557743161130213,0.06520361762720256,0.04097092042075438,,-0.03387333824633987,0.04077948282775811,-0.05889421538080036,-0.04045904493595083,0.020073838818115287,0.0550380051232978,,-0.01962047413655238,0.05828374373590167,0.095013163862165,0.00715638106978168,0.05487249560974044,,0.013726486299201972,,0.03970631827051941,
ADA,-0.002008753763450793,-0.03179014747736911,0.02590375394320242,-0.026593926653785318,-0.03244682341769855,0.004441463336390603,-0.014557665264838133,-0.258033170817379,-0.0971318340928106,-0.012183124658563832,-0.2294628294614591,-0.1373122458218047,0.026755165317490438,0.0878737022827685,0.010559602867424153,0.017608727983709518,0.007725467075348588,-0.04621676298821484,-0.10684441810685669,-0.01938880443654256,0.1561956240131001
LAMC3,0.0384792653268759,-0.043837957422746814,0.022647194513014095,0.06980295980132252,-0.02257191729308387,0.029674795258333216,0.026134353659787377,-0.18422377889130204,-0.06315162958163362,-0.010673553430443308,-0.08065391044180278,0.05295707678135779,0.04476407844578176,0.15710354888085465,0.033916479387248136,0.08544752301403964,0.05676239583792666,-0.02010590560775003,0.023426026239989885,0.07851905725508128,0.014347114964525448
CCL7,,-0.038718523706664267,,,-0.03391886556604458,-0.0403733016452076,,,,,,,,,-0.016506510119511236,,,,,-0.08883099813274584,
NGF,-0.0346191159151847,-0.056052552914817914,,,-0.05214600742336561,0.016642236885742127,0.024292867310957603,,,,0.09398311623520055,,0.16895019317396048,0.021619016637941108,0.051847804459716026,0.05112285802585202,,-0.059462252000620816,,0.05036553968576988,
TNFSF15,-0.016021436462482195,,,,0.010809721625015884,0.006973894875391391,0.00213828333266474,,,,,,0.1061277494161207,0.07638767743099333,0.01334695807822472,,,0.012401391381428166,,-0.07107423379885983,
